time,note,scale degree,length
3.875,59,7,0.125
4.000,59,7,0.125
4.125,59,7,0.125
4.250,59,7,0.125
4.375,59,7,0.125
4.500,59,7,0.125
4.625,59,7,0.125
4.750,59,7,0.25
5.000,59,7,0.125
5.125,59,7,0.125
5.250,61,9,0.125
5.375,59,7,0.25
5.625,57,5,0.125
5.750,56,4,0.375
6.125,57,5,0.125
6.250,56,4,0.125
6.375,56,4,0.125
6.500,54,2,0.25
6.750,52,0,0.125
6.875,54,2,0.25
7.125,56,4,0.875
8.000,56,4,0.125
8.125,56,4,0.125
8.250,56,4,0.125
8.375,56,4,0.25
8.625,56,4,0.25
8.875,56,4,0.25
9.125,54,2,0.125
9.250,56,4,0.125
9.375,57,5,0.125
9.500,56,4,0.125
9.625,54,2,0.5
10.125,57,5,0.125
10.250,56,4,0.125
10.375,56,4,0.125
10.500,54,2,0.25
10.750,52,0,0.125
10.875,54,2,0.25
11.125,56,4,0.5
11.625,59,7,0.375
12.000,59,7,0.125
12.125,59,7,0.125
12.250,59,7,0.125
12.375,59,7,0.125
12.500,59,7,0.125
12.625,59,7,0.375
13.000,59,7,0.125
13.125,59,7,0.125
13.250,59,7,0.125
13.375,61,9,0.125
13.500,59,7,0.5
14.000,59,7,0.125
14.125,59,7,0.125
14.250,59,7,0.125
14.375,59,7,0.125
14.500,59,7,0.125
14.625,59,7,0.25
14.875,56,4,0.125
15.000,59,7,0.125
15.125,58,6,0.125
15.250,59,7,0.125
15.375,61,9,0.125
15.500,57,5,0.375
15.875,58,6,0.125
16.000,59,7,0.125
16.125,59,7,0.125
16.250,59,7,0.125
16.375,59,7,0.125
16.500,59,7,0.125
16.625,59,7,0.25
16.875,58,6,0.125
17.000,59,7,0.125
17.125,59,7,0.125
17.250,59,7,0.125
17.375,61,9,0.125
17.500,59,7,0.25
17.750,52,0,0.25
18.000,57,5,0.25
18.250,56,4,0.25
18.500,52,0,0.25
18.750,59,7,0.125
18.875,61,9,0.125
19.000,59,7,2.875
21.875,59,7,0.125
22.000,59,7,0.125
22.125,59,7,0.125
22.250,59,7,0.125
22.375,59,7,0.125
22.500,59,7,0.125
22.625,59,7,0.125
22.750,59,7,0.25
23.000,59,7,0.125
23.125,59,7,0.125
23.250,61,9,0.125
23.375,59,7,0.25
23.625,57,5,0.125
23.750,56,4,0.375
24.125,57,5,0.125
24.250,56,4,0.125
24.375,56,4,0.125
24.500,54,2,0.25
24.750,52,0,0.125
24.875,54,2,0.25
25.125,56,4,0.875
26.000,56,4,0.125
26.125,56,4,0.125
26.250,56,4,0.125
26.375,56,4,0.25
26.625,56,4,0.25
26.875,56,4,0.25
27.125,54,2,0.125
27.250,56,4,0.125
27.375,57,5,0.125
27.500,56,4,0.125
27.625,54,2,0.5
28.125,57,5,0.125
28.250,56,4,0.125
28.375,56,4,0.125
28.500,54,2,0.25
28.750,52,0,0.125
28.875,54,2,0.25
29.125,56,4,0.5
29.625,59,7,0.375
30.000,59,7,0.125
30.125,59,7,0.125
30.250,59,7,0.125
30.375,59,7,0.125
30.500,59,7,0.125
30.625,59,7,0.375
31.000,59,7,0.125
31.125,59,7,0.125
31.250,59,7,0.125
31.375,61,9,0.125
31.500,59,7,0.5
32.000,59,7,0.125
32.125,59,7,0.125
32.250,59,7,0.125
32.375,59,7,0.125
32.500,59,7,0.125
32.625,59,7,0.25
32.875,56,4,0.125
33.000,59,7,0.125
33.125,58,6,0.125
33.250,59,7,0.125
33.375,61,9,0.125
33.500,58,6,0.375
33.875,58,6,0.125
34.000,59,7,0.125
34.125,59,7,0.125
34.250,59,7,0.125
34.375,59,7,0.125
34.500,59,7,0.125
34.625,59,7,0.25
34.875,58,6,0.125
35.000,59,7,0.125
35.125,58,6,0.125
35.250,59,7,0.125
35.375,61,9,0.125
