time,note,scale degree,length
4.188,55,7,0.06200000000000028
4.250,55,7,0.125
4.375,55,7,0.125
4.500,55,7,0.25
4.750,59,11,0.125
4.875,59,11,0.06299999999999972
4.938,57,9,1.3120000000000003
6.250,55,7,0.125
6.375,55,7,0.125
6.500,55,7,0.125
6.625,59,11,0.125
6.750,59,11,0.125
6.875,59,11,0.06299999999999972
6.938,57,9,1.3120000000000003
8.250,55,7,0.125
8.375,55,7,0.375
8.750,59,11,0.125
8.875,59,11,0.06300000000000061
8.938,57,9,1.5
10.438,55,7,0.06199999999999939
10.500,55,7,0.06199999999999939
10.562,55,7,0.1880000000000006
10.750,59,11,0.125
10.875,59,11,0.125
11.000,57,9,1.1880000000000006
12.188,57,9,0.06199999999999939
12.250,60,0,0.06199999999999939
12.312,57,9,0.12600000000000122
12.438,60,0,0.3119999999999994
12.750,64,4,0.125
12.875,64,4,0.125
13.000,62,2,0.125
13.125,57,9,0.875
14.000,59,11,0.125
14.125,59,11,0.375
14.500,59,11,0.25
14.750,60,0,0.125
14.875,62,2,0.625
15.500,64,4,0.125
15.625,67,7,0.25
15.875,64,4,0.06300000000000061
15.938,62,2,0.06199999999999939
16.000,60,0,0.375
16.375,55,7,0.06299999999999883
16.438,55,7,0.062000000000001165
16.500,55,7,0.062000000000001165
16.562,55,7,0.06299999999999883
16.625,55,7,0.125
16.750,59,11,0.125
16.875,59,11,0.125
17.000,57,9,1.1879999999999988
18.188,52,4,0.062000000000001165
18.250,55,7,0.062000000000001165
18.312,55,7,0.06299999999999883
18.375,55,7,0.375
18.750,59,11,0.125
18.875,59,11,0.06299999999999883
18.938,57,9,1.3120000000000012
20.250,55,7,0.062000000000001165
20.312,55,7,0.06299999999999883
20.375,55,7,0.06299999999999883
20.438,55,7,0.31200000000000117
20.750,59,11,0.125
20.875,59,11,0.06299999999999883
20.938,57,9,0.18700000000000117
21.125,57,9,1.125
22.250,55,7,0.062000000000001165
22.312,55,7,0.12599999999999767
22.438,55,7,0.062000000000001165
22.500,55,7,0.125
22.625,59,11,0.25
22.875,59,11,0.06299999999999883
22.938,57,9,1.1870000000000012
24.125,57,9,0.125
24.250,60,0,0.125
24.375,57,9,0.125
24.500,60,0,0.25
24.750,64,4,0.125
24.875,64,4,0.125
25.000,62,2,0.062000000000001165
25.062,60,0,0.06299999999999883
25.125,57,9,0.875
26.000,59,11,0.125
26.125,59,11,0.375
26.500,59,11,0.25
26.750,60,0,0.125
26.875,62,2,0.625
27.500,64,4,0.125
27.625,67,7,0.25
27.875,64,4,0.06299999999999883
27.938,62,2,0.062000000000001165
28.000,60,0,0.31200000000000117
28.312,57,9,0.12599999999999767
28.438,60,0,0.062000000000001165
28.500,59,11,0.125
28.625,60,0,0.06299999999999883
28.688,59,11,0.062000000000001165
28.750,57,9,0.125
28.875,57,9,0.06299999999999883
28.938,59,11,0.062000000000001165
29.000,60,0,0.125
29.125,60,0,1.1870000000000012
30.312,57,9,0.06299999999999883
30.375,60,0,0.125
30.500,59,11,0.125
30.625,59,11,0.06299999999999883
30.688,57,9,0.12400000000000233
30.812,57,9,0.06299999999999883
30.875,52,4,1.3130000000000024
32.188,57,9,0.06199999999999761
32.250,57,9,0.125
32.375,60,0,0.125
32.500,59,11,0.125
