time,note,scale degree,length
11.875,65,7,0.125
12.000,65,7,0.125
12.125,65,7,0.125
12.250,65,7,0.125
12.375,65,7,0.125
12.500,65,7,0.125
12.625,65,7,0.125
12.750,63,5,0.125
12.875,62,4,0.125
13.000,63,5,0.125
13.125,62,4,0.25
13.375,65,7,0.5
13.875,65,7,0.125
14.000,65,7,0.125
14.125,65,7,0.125
14.250,65,7,0.125
14.375,65,7,0.125
14.500,65,7,0.125
14.625,62,4,0.125
14.750,63,5,0.125
14.875,62,4,0.125
15.000,63,5,0.125
15.125,62,4,0.25
15.375,58,0,0.5
15.875,58,0,0.125
16.000,65,7,0.125
16.125,61,3,0.125
16.250,63,5,0.25
16.500,63,5,0.125
16.625,61,3,0.125
16.750,63,5,0.125
16.875,61,3,0.125
17.000,63,5,0.25
17.250,61,3,0.125
17.375,65,7,0.5
17.875,65,7,0.125
18.000,65,7,0.125
18.125,65,7,0.125
18.250,65,7,0.125
18.375,62,4,0.125
18.500,65,7,0.125
18.625,62,4,0.125
18.750,63,5,0.125
18.875,62,4,0.125
19.000,63,5,0.125
19.125,62,4,0.125
19.250,58,0,0.125
19.375,58,0,0.5
19.875,65,7,0.125
20.000,65,7,0.125
20.125,62,4,0.125
20.250,63,5,0.125
20.375,62,4,0.125
20.500,63,5,0.125
20.625,62,4,0.125
20.750,63,5,0.125
20.875,62,4,0.125
21.000,63,5,0.25
21.250,62,4,0.125
21.375,65,7,0.25
21.625,58,0,0.125
21.750,62,4,0.125
21.875,63,5,0.125
22.000,65,7,0.125
22.125,65,7,0.125
22.250,65,7,0.125
22.375,65,7,0.25
22.625,62,4,0.125
22.750,63,5,0.125
22.875,62,4,0.125
23.000,63,5,0.125
23.125,62,4,0.125
23.250,58,0,0.125
23.375,58,0,0.25
23.625,65,7,0.25
23.875,65,7,1.0
24.875,65,7,0.375
25.250,63,5,0.125
25.375,62,4,0.125
25.500,65,7,0.375
25.875,65,7,1.0
26.875,65,7,0.375
27.250,63,5,0.125
27.375,62,4,0.125
27.500,65,7,0.375
27.875,65,7,1.0
28.875,65,7,0.375
29.250,63,5,0.125
29.375,62,4,0.125
29.500,65,7,0.375
29.875,65,7,1.0
30.875,65,7,0.375
31.250,63,5,0.125
31.375,62,4,0.125
31.500,65,7,0.375
31.875,65,7,1.625
33.500,63,5,0.125
33.625,62,4,0.125
33.750,58,0,0.125
33.875,58,0,1.75
35.625,65,7,0.125
35.750,65,7,0.125
35.875,65,7,0.125
36.000,65,7,0.125
36.125,65,7,0.125
36.250,65,7,0.125
36.375,62,4,0.125
36.500,65,7,0.25
36.750,63,5,0.125
36.875,62,4,0.125
37.000,63,5,0.125
37.125,62,4,0.25
