time,note,scale degree,length
0.438,67,4,0.062
0.500,68,5,0.125
0.625,70,7,0.06299999999999994
0.688,68,5,0.12400000000000011
0.812,66,3,0.18799999999999994
1.000,65,2,0.375
1.375,63,0,0.25
1.625,65,2,0.75
2.375,66,3,0.06300000000000017
2.438,65,2,0.06199999999999983
2.500,66,3,0.18800000000000017
2.688,65,2,0.12399999999999967
2.812,65,2,0.06300000000000017
2.875,65,2,0.125
3.000,63,0,0.25
3.250,60,9,0.125
3.375,66,3,0.06300000000000017
3.438,65,2,0.18699999999999983
3.625,63,0,0.75
4.375,66,3,0.06299999999999972
4.438,68,5,0.06200000000000028
4.500,70,7,0.25
4.750,63,0,0.4379999999999997
5.188,70,7,0.12400000000000055
5.312,68,5,0.12599999999999945
5.438,66,3,0.06200000000000028
5.500,65,2,0.125
5.625,63,0,0.06299999999999972
5.688,65,2,0.4370000000000003
6.125,63,0,0.06299999999999972
6.188,60,9,0.4370000000000003
6.625,70,7,0.25
6.875,63,0,0.06299999999999972
6.938,60,9,0.4370000000000003
7.375,75,0,0.375
7.750,51,0,0.125
7.875,51,0,0.06299999999999972
7.938,51,0,0.06200000000000028
8.000,58,7,0.75
8.750,75,0,0.375
9.125,72,9,0.5
9.625,54,3,0.06300000000000061
9.688,53,2,0.1869999999999994
9.875,51,0,0.06300000000000061
9.938,48,9,0.06199999999999939
10.000,51,0,0.625
10.625,66,3,0.1869999999999994
10.812,65,2,0.06300000000000061
10.875,63,0,0.125
11.000,63,0,0.125
11.125,65,2,0.625
11.750,51,0,0.125
11.875,51,0,0.06300000000000061
11.938,51,0,0.06199999999999939
12.000,60,9,0.25
12.250,58,7,0.25
12.500,60,9,0.125
12.625,58,7,0.3130000000000006
12.938,66,3,0.12399999999999878
13.062,65,2,0.5630000000000006
13.625,60,9,0.25
13.875,58,7,0.06300000000000061
13.938,55,4,0.06199999999999939
14.000,58,7,0.125
14.125,60,9,0.06300000000000061
14.188,58,7,0.06199999999999939
14.250,55,4,0.875
15.125,67,4,0.25
15.375,70,7,0.25
15.625,72,9,0.6870000000000012
16.312,63,0,0.06299999999999883
16.375,63,0,0.125
16.500,62,11,0.18799999999999883
16.688,62,11,0.12400000000000233
16.812,63,0,0.06299999999999883
16.875,62,11,0.06299999999999883
16.938,62,11,0.12400000000000233
17.062,60,9,0.5
17.562,58,7,0.06299999999999883
17.625,67,4,0.25
17.875,70,7,0.18700000000000117
18.062,63,0,0.06299999999999883
18.125,60,9,0.06299999999999883
18.188,58,7,0.6240000000000023
18.812,66,3,0.12599999999999767
18.938,65,2,0.12400000000000233
19.062,66,3,0.12599999999999767
19.188,63,0,0.12400000000000233
19.312,63,0,0.06299999999999883
19.375,65,2,1.125
20.500,63,0,0.125
20.625,62,11,0.06299999999999883
20.688,62,11,0.12400000000000233
20.812,58,7,0.12599999999999767
20.938,60,9,0.9370000000000012
21.875,60,9,0.25
22.125,58,7,0.6870000000000012
22.812,63,0,0.12599999999999767
22.938,63,0,0.12400000000000233
23.062,60,9,0.9379999999999988
24.000,67,4,0.6879999999999988
24.688,70,7,0.12400000000000233
24.812,67,4,0.12599999999999767
24.938,65,2,0.12400000000000233
25.062,63,0,0.25
25.312,67,4,0.12599999999999767
25.438,67,4,0.062000000000001165
25.500,65,2,0.062000000000001165
25.562,63,0,0.06299999999999883
25.625,60,9,0.18700000000000117
25.812,63,0,0.12599999999999767
25.938,60,9,0.062000000000001165
26.000,67,4,0.5620000000000012
26.562,58,7,0.06299999999999883
26.625,60,9,0.06299999999999883
26.688,63,0,0.12400000000000233
26.812,65,2,0.18799999999999883
27.000,67,4,0.062000000000001165
27.062,65,2,0.06299999999999883
27.125,63,0,0.06299999999999883
