time,note,scale degree,length
4.125,64,10,0.125
4.250,66,0,0.06200000000000028
4.312,64,10,0.12599999999999945
4.438,66,0,0.4370000000000003
4.875,64,10,0.125
5.000,66,0,0.125
5.125,64,10,0.125
5.250,66,0,0.125
5.375,64,10,0.125
5.500,68,2,0.25
5.750,66,0,0.375
6.125,64,10,0.125
6.250,66,0,0.125
6.375,64,10,0.06299999999999972
6.438,66,0,0.4370000000000003
6.875,66,0,0.125
7.000,70,4,0.125
7.125,73,7,0.125
7.250,70,4,0.125
7.375,68,2,0.125
7.500,66,0,0.25
7.750,68,2,0.375
8.125,64,10,0.125
8.250,66,0,0.06199999999999939
8.312,64,10,0.12600000000000122
8.438,66,0,0.4369999999999994
8.875,64,10,0.125
9.000,66,0,0.125
9.125,64,10,0.125
9.250,66,0,0.125
9.375,64,10,0.125
9.500,68,2,0.25
9.750,66,0,0.375
10.125,64,10,0.125
10.250,66,0,0.06199999999999939
10.312,64,10,0.12600000000000122
10.438,66,0,0.4369999999999994
10.875,66,0,0.06300000000000061
10.938,66,0,0.06199999999999939
11.000,70,4,0.125
11.125,68,2,0.06300000000000061
11.188,68,2,0.12399999999999878
11.312,66,0,0.12600000000000122
11.438,68,2,0.12399999999999878
11.562,63,9,0.1880000000000006
11.750,63,9,0.06199999999999939
11.812,66,0,0.1880000000000006
12.000,68,2,0.25
12.250,66,0,0.125
12.375,66,0,0.5
12.875,70,4,0.25
13.125,70,4,0.25
13.375,68,2,0.06300000000000061
13.438,66,0,0.06199999999999939
13.500,63,9,0.25
13.750,63,9,0.06199999999999939
13.812,61,7,0.12600000000000122
13.938,63,9,0.1869999999999994
14.125,66,0,0.25
14.375,63,9,0.06300000000000061
14.438,61,7,0.06199999999999939
14.500,58,4,0.125
14.625,56,2,0.06300000000000061
14.688,54,0,0.1869999999999994
14.875,54,0,1.25
16.125,64,10,0.125
16.250,66,0,0.125
16.375,64,10,0.06299999999999883
16.438,66,0,0.43700000000000117
16.875,64,10,0.125
17.000,66,0,0.125
17.125,64,10,0.125
17.250,66,0,0.125
17.375,64,10,0.125
17.500,68,2,0.25
17.750,66,0,0.375
18.125,64,10,0.125
18.250,66,0,0.125
18.375,64,10,0.06299999999999883
18.438,66,0,0.43700000000000117
18.875,66,0,0.125
19.000,70,4,0.125
19.125,73,7,0.125
19.250,70,4,0.125
19.375,68,2,0.125
19.500,66,0,0.18799999999999883
19.688,68,2,0.43700000000000117
20.125,64,10,0.125
20.250,66,0,0.125
20.375,64,10,0.06299999999999883
20.438,66,0,0.43700000000000117
20.875,64,10,0.06299999999999883
20.938,66,0,0.18700000000000117
21.125,64,10,0.06299999999999883
21.188,66,0,0.18700000000000117
21.375,64,10,0.06299999999999883
21.438,68,2,0.25
21.688,66,0,0.43700000000000117
22.125,64,10,0.06299999999999883
22.188,64,10,0.062000000000001165
22.250,66,0,0.125
22.375,64,10,0.06299999999999883
22.438,66,0,0.43700000000000117
22.875,66,0,0.125
23.000,69,3,0.125
23.125,68,2,0.125
23.250,68,2,0.062000000000001165
23.312,66,0,0.06299999999999883
23.375,68,2,0.06299999999999883
23.438,63,9,0.31200000000000117
23.750,63,9,0.062000000000001165
23.812,66,0,0.18799999999999883
24.000,68,2,0.25
24.250,66,0,0.125
24.375,66,0,0.5
24.875,70,4,0.25
25.125,70,4,0.25
25.375,68,2,0.06299999999999883
25.438,66,0,0.062000000000001165
25.500,63,9,0.25
25.750,63,9,0.062000000000001165
