time,note,scale degree,length
12.000,59,7,0.25
12.250,59,7,0.16699999999999982
12.417,59,7,0.25
12.667,59,7,0.08300000000000018
12.750,59,7,0.16699999999999982
12.917,59,7,0.08300000000000018
13.000,60,8,0.16699999999999982
13.167,60,8,0.08300000000000018
13.250,60,8,0.16699999999999982
13.417,60,8,0.5
13.917,57,5,0.08300000000000018
14.000,59,7,0.16699999999999982
14.167,59,7,0.08300000000000018
14.250,59,7,0.16699999999999982
14.417,59,7,0.5
14.917,57,5,0.08300000000000018
15.000,59,7,0.16699999999999982
15.167,59,7,0.08300000000000018
15.250,59,7,0.16699999999999982
15.417,59,7,0.5830000000000002
16.000,59,7,0.25
16.250,59,7,0.1670000000000016
16.417,59,7,0.25
16.667,59,7,0.16599999999999682
16.833,59,7,0.08400000000000318
16.917,59,7,0.08299999999999841
17.000,60,8,0.25
17.250,60,8,0.1670000000000016
17.417,60,8,0.5
17.917,57,5,0.08299999999999841
18.000,59,7,0.1670000000000016
18.167,59,7,0.08299999999999841
18.250,59,7,0.1670000000000016
18.417,59,7,0.08299999999999841
18.500,59,7,0.4170000000000016
18.917,59,7,0.08299999999999841
19.000,59,7,0.25
19.250,59,7,0.1670000000000016
19.417,59,7,0.5829999999999984
20.000,59,7,0.25
20.250,59,7,0.1670000000000016
20.417,59,7,0.25
20.667,59,7,0.25
20.917,59,7,0.08299999999999841
21.000,60,8,0.1670000000000016
21.167,60,8,0.08299999999999841
21.250,60,8,0.1670000000000016
21.417,63,11,0.5829999999999984
22.000,59,7,0.1670000000000016
22.167,59,7,0.08299999999999841
22.250,59,7,0.08299999999999841
22.333,59,7,0.08400000000000318
22.417,59,7,0.25
22.667,55,3,0.25
22.917,57,5,0.08299999999999841
23.000,59,7,0.1670000000000016
23.167,59,7,0.08299999999999841
23.250,59,7,0.1670000000000016
23.417,59,7,0.5829999999999984
24.000,59,7,0.25
24.250,59,7,0.1670000000000016
24.417,59,7,0.25
24.667,59,7,0.08299999999999841
24.750,59,7,0.1670000000000016
24.917,59,7,0.08299999999999841
25.000,60,8,0.1670000000000016
25.167,60,8,0.16599999999999682
25.333,60,8,0.1670000000000016
25.500,60,8,0.4170000000000016
25.917,57,5,0.08299999999999841
26.000,59,7,0.1670000000000016
26.167,59,7,0.08299999999999841
26.250,59,7,0.1670000000000016
26.417,59,7,0.4159999999999968
26.833,59,7,0.08400000000000318
26.917,59,7,0.08299999999999841
27.000,59,7,0.1670000000000016
27.167,59,7,0.25
27.417,59,7,0.5
27.917,59,7,0.08299999999999841
28.000,59,7,0.1670000000000016
28.167,52,0,0.25
28.417,52,0,0.08299999999999841
28.500,52,0,0.1670000000000016
28.667,52,0,0.25
28.917,62,10,0.08299999999999841
29.000,59,7,0.25
29.250,59,7,0.08299999999999841
29.333,59,7,0.08400000000000318
29.417,59,7,0.5829999999999984
30.000,59,7,0.1670000000000016
30.167,52,0,0.25
30.417,52,0,0.08299999999999841
30.500,52,0,0.1670000000000016
30.667,52,0,0.25
30.917,59,7,0.08299999999999841
31.000,59,7,0.1670000000000016
31.167,59,7,0.16599999999999682
31.333,59,7,0.08400000000000318
31.417,59,7,0.08299999999999841
31.500,59,7,0.5
32.000,59,7,0.1670000000000016
32.167,52,0,0.25
32.417,52,0,0.08299999999999841
32.500,52,0,0.08299999999999841
32.583,52,0,0.3340000000000032
32.917,60,8,0.08299999999999841
33.000,59,7,0.1670000000000016
33.167,59,7,0.25
33.417,59,7,0.08299999999999841
33.500,55,3,0.4170000000000016
33.917,57,5,0.08299999999999841
34.000,59,7,0.1670000000000016
34.167,59,7,0.25
34.417,59,7,0.08299999999999841
34.500,59,7,0.1670000000000016
34.667,59,7,0.25
34.917,57,5,1.0829999999999984
36.000,62,10,0.1670000000000016
36.167,62,10,0.16599999999999682
36.333,59,7,0.1670000000000016
36.500,64,0,0.1670000000000016
36.667,62,10,0.16599999999999682
36.833,64,0,1.0
37.833,59,7,0.08400000000000318
37.917,59,7,0.08299999999999841
38.000,60,8,0.08299999999999841
38.083,60,8,0.08400000000000318
38.167,60,8,0.16599999999999682
38.333,60,8,0.1670000000000016
38.500,60,8,0.6670000000000016
39.167,62,10,0.08299999999999841
39.250,62,10,0.08299999999999841
39.333,61,9,0.08400000000000318
39.417,60,8,0.16599999999999682
39.583,59,7,0.1670000000000016
39.750,65,1,0.1670000000000016
39.917,60,8,0.08299999999999841
40.000,65,1,0.1670000000000016
40.167,63,11,0.08299999999999841
40.250,62,10,0.08299999999999841
40.333,65,1,0.6670000000000016
41.000,59,7,0.25
41.250,59,7,0.1670000000000016
41.417,59,7,0.25
41.667,59,7,0.16599999999999682
41.833,59,7,0.08400000000000318
41.917,59,7,0.08299999999999841
42.000,60,8,0.1670000000000016
42.167,60,8,0.08299999999999841
42.250,60,8,0.1670000000000016
42.417,60,8,0.5829999999999984
43.000,59,7,0.1670000000000016
43.167,59,7,0.08299999999999841
43.250,58,6,0.1670000000000016
43.417,57,5,0.5
43.917,57,5,0.08299999999999841
44.000,59,7,0.1670000000000016
44.167,59,7,0.08299999999999841
44.250,59,7,0.08299999999999841
44.333,59,7,0.08400000000000318
44.417,59,7,0.5829999999999984
45.000,59,7,0.25
45.250,59,7,0.1670000000000016
45.417,59,7,0.25
45.667,59,7,0.25
45.917,59,7,0.04099999999999682
45.958,59,7,0.04200000000000159
46.000,60,8,0.1670000000000016
46.167,59,7,0.08299999999999841
46.250,57,5,0.1670000000000016
46.417,60,8,0.5
46.917,59,7,0.08299999999999841
47.000,60,8,0.1670000000000016
47.167,59,7,0.08299999999999841
47.250,57,5,0.1670000000000016
47.417,59,7,0.25
47.667,55,3,0.25
47.917,55,3,0.08299999999999841
48.000,71,7,0.1670000000000016
48.167,55,3,0.16599999999999682
48.333,55,3,0.08400000000000318
48.417,53,1,0.08299999999999841
48.500,52,0,0.5
49.000,59,7,0.25
49.250,59,7,0.1670000000000016
49.417,59,7,0.25
