time,note,scale degree,length
8.000,59,2,0.875
8.875,57,0,0.875
9.750,57,0,0.125
9.875,59,2,0.125
10.000,57,0,1.125
11.125,55,10,0.125
11.250,59,2,0.125
11.375,59,2,0.375
11.750,55,10,0.125
11.875,59,2,0.375
12.250,55,10,0.125
12.375,60,3,0.25
12.625,59,2,0.25
12.875,59,2,0.25
13.125,57,0,0.75
13.875,52,7,0.125
14.000,60,3,0.25
14.250,60,3,0.25
14.500,60,3,0.25
14.750,60,3,0.125
14.875,59,2,0.25
15.125,55,10,0.75
15.875,55,10,0.125
16.000,59,2,0.125
16.125,59,2,0.25
16.375,60,3,0.375
16.750,59,2,0.125
16.875,57,0,2.375
19.250,59,2,0.25
19.500,59,2,0.25
19.750,59,2,0.25
20.000,60,3,0.5
20.500,59,2,0.375
20.875,57,0,1.5
22.375,57,0,0.125
22.500,57,0,0.125
22.625,59,2,0.25
22.875,55,10,1.375
24.250,60,3,0.25
24.500,60,3,0.125
24.625,60,3,0.125
24.750,59,2,0.125
24.875,59,2,0.125
25.000,57,0,1.25
26.250,60,3,0.25
26.500,60,3,0.125
26.625,60,3,0.125
26.750,57,0,0.125
26.875,59,2,0.625
27.500,59,2,0.5
28.000,60,3,0.25
28.250,60,3,0.25
28.500,60,3,0.25
28.750,59,2,0.125
28.875,59,2,0.125
29.000,57,0,1.25
30.250,60,3,0.25
30.500,60,3,0.25
30.750,57,0,0.125
30.875,59,2,0.5
31.375,59,2,0.5
31.875,59,2,0.75
32.625,60,3,0.125
32.750,59,2,0.125
32.875,59,2,0.25
33.125,57,0,0.25
33.375,55,10,0.125
33.500,57,0,0.25
33.750,55,10,0.125
33.875,59,2,0.125
34.000,57,0,1.25
35.250,59,2,0.25
35.500,59,2,0.25
35.750,59,2,0.25
36.000,60,3,0.5
36.500,59,2,0.375
36.875,57,0,1.0
37.875,57,0,0.125
38.000,57,0,0.125
38.125,57,0,0.25
38.375,57,0,0.375
38.750,59,2,0.125
38.875,55,10,1.0
39.875,55,10,0.125
40.000,60,3,0.25
40.250,60,3,0.125
40.375,57,0,0.125
40.500,60,3,0.25
40.750,59,2,0.125
40.875,59,2,0.125
41.000,57,0,0.875
41.875,57,0,0.125
42.000,60,3,0.25
42.250,60,3,0.125
42.375,57,0,0.125
42.500,60,3,0.25
42.750,59,2,0.125
42.875,57,0,1.75
