time,note,scale degree,length
7.875,64,0,0.25
8.125,64,0,0.125
8.250,64,0,0.125
8.375,64,0,0.125
8.500,64,0,0.125
8.625,59,7,0.125
8.750,59,7,0.125
8.875,59,7,0.125
9.000,59,7,0.25
9.250,59,7,0.125
9.375,61,9,2.5
11.875,54,2,0.125
12.000,59,7,0.25
12.250,59,7,0.125
12.375,59,7,0.125
12.500,59,7,0.125
12.625,68,4,0.125
12.750,56,4,0.125
12.875,54,2,0.125
13.000,52,0,0.25
13.250,52,0,0.125
13.375,52,0,2.5
15.875,64,0,0.375
16.250,64,0,0.125
16.375,64,0,0.125
16.500,64,0,0.25
16.750,59,7,0.25
17.000,59,7,0.25
17.250,59,7,0.125
17.375,61,9,0.25
17.625,59,7,0.125
17.750,57,5,2.125
19.875,57,5,0.125
20.000,59,7,0.125
20.125,59,7,0.375
20.500,59,7,0.125
20.625,71,7,0.125
20.750,56,4,0.125
20.875,54,2,0.125
21.000,52,0,0.25
21.250,52,0,0.25
21.500,52,0,0.125
21.625,54,2,0.125
21.750,56,4,1.875
23.625,57,5,0.125
23.750,59,7,0.125
23.875,57,5,0.125
24.000,59,7,0.25
24.250,59,7,0.125
24.375,59,7,0.25
24.625,68,4,0.125
24.750,56,4,0.125
24.875,54,2,0.125
25.000,52,0,0.25
25.250,52,0,0.25
25.500,52,0,8.5
34.000,64,0,0.125
34.125,64,0,0.25
34.375,64,0,0.125
34.500,64,0,0.125
34.625,73,9,0.125
34.750,59,7,0.125
34.875,59,7,0.125
35.000,59,7,0.25
35.250,59,7,0.125
35.375,59,7,0.125
35.500,61,9,2.375
37.875,57,5,0.125
38.000,59,7,0.125
38.125,57,5,0.125
38.250,59,7,0.125
38.375,59,7,0.125
38.500,59,7,0.125
38.625,68,4,0.125
38.750,56,4,0.125
38.875,54,2,0.125
39.000,52,0,0.125
39.125,52,0,0.125
39.250,52,0,0.125
39.375,52,0,0.25
39.625,47,7,2.375
42.000,64,0,0.125
42.125,64,0,0.25
42.375,64,0,0.125
42.500,64,0,0.375
42.875,59,7,0.25
43.125,59,7,0.125
43.250,59,7,0.25
43.500,59,7,0.125
43.625,61,9,0.125
43.750,73,9,2.125
45.875,54,2,0.125
46.000,59,7,0.25
46.250,59,7,0.125
46.375,59,7,0.125
46.500,59,7,0.125
46.625,71,7,0.125
46.750,56,4,0.125
46.875,54,2,0.125
47.000,52,0,0.25
47.250,52,0,0.25
47.500,52,0,2.375
49.875,59,7,0.125
50.000,59,7,0.25
50.250,59,7,0.125
50.375,59,7,0.25
50.625,68,4,0.125
50.750,56,4,0.125
50.875,54,2,0.125
51.000,52,0,0.25
51.250,52,0,0.125
51.375,52,0,30.5
81.875,64,0,0.25
82.125,64,0,0.125
82.250,64,0,0.125
82.375,64,0,0.125
82.500,64,0,0.125
82.625,59,7,0.125
82.750,59,7,0.125
82.875,59,7,0.125
83.000,59,7,0.25
83.250,59,7,0.125
83.375,59,7,0.125
83.500,61,9,0.125
83.625,59,7,0.125
83.750,57,5,2.125
85.875,54,2,0.125
86.000,59,7,0.25
86.250,59,7,0.125
86.375,59,7,0.125
86.500,59,7,0.125
86.625,68,4,0.125
86.750,56,4,0.125
86.875,54,2,0.125
87.000,52,0,0.25
87.250,52,0,0.125
87.375,52,0,2.5
89.875,64,0,0.125
90.000,64,0,0.25
90.250,64,0,0.125
90.375,64,0,0.25
90.625,73,9,0.125
90.750,59,7,0.25
91.000,59,7,0.25
91.250,59,7,0.25
91.500,59,7,0.125
91.625,61,9,2.25
93.875,54,2,0.125
94.000,59,7,0.25
94.250,59,7,0.25
94.500,59,7,0.125
94.625,68,4,0.125
94.750,56,4,0.125
94.875,54,2,0.125
95.000,52,0,0.25
95.250,52,0,0.25
95.500,52,0,0.125
95.625,54,2,0.125
95.750,56,4,2.125
97.875,59,7,0.125
98.000,59,7,0.25
98.250,59,7,0.25
98.500,59,7,0.125
98.625,68,4,0.125
98.750,56,4,0.125
98.875,54,2,0.125
99.000,52,0,0.25
99.250,52,0,0.25
