time,note,scale degree,length
2.250,60,7,0.125
2.375,65,0,0.125
2.500,67,2,0.125
2.625,69,4,0.08300000000000018
2.708,68,3,0.16699999999999982
2.875,67,2,0.125
3.000,65,0,0.125
3.125,67,2,0.25
3.375,60,7,0.75
4.125,57,4,0.08300000000000018
4.208,60,7,0.041999999999999815
4.250,60,7,0.125
4.375,60,7,0.125
4.500,60,7,0.125
4.625,60,7,0.08300000000000018
4.708,58,5,1.4169999999999998
6.125,65,0,0.125
6.250,65,0,0.125
6.375,65,0,0.125
6.500,67,2,0.125
6.625,69,4,0.08300000000000018
6.708,68,3,0.16699999999999982
6.875,67,2,0.125
7.000,65,0,0.125
7.125,67,2,0.25
7.375,62,9,0.125
7.500,60,7,0.625
8.125,57,4,0.08300000000000018
8.208,60,7,0.041999999999999815
8.250,60,7,0.125
8.375,60,7,0.125
8.500,60,7,0.125
8.625,60,7,0.08300000000000018
8.708,58,5,1.5419999999999998
10.250,65,0,0.08300000000000018
10.333,60,7,0.041999999999999815
10.375,62,9,0.125
10.500,65,0,0.125
10.625,65,0,0.08300000000000018
10.708,65,0,0.041999999999999815
10.750,65,0,0.125
10.875,65,0,0.08300000000000018
10.958,67,2,0.125
11.083,67,2,0.041999999999999815
11.125,69,4,0.08300000000000018
11.208,69,4,0.125
11.333,67,2,0.08399999999999963
11.417,69,4,0.04100000000000037
11.458,67,2,0.041999999999999815
11.500,65,0,0.041999999999999815
11.542,67,2,0.5830000000000002
12.125,57,4,0.08300000000000018
12.208,60,7,0.041999999999999815
12.250,60,7,0.125
12.375,60,7,0.125
12.500,60,7,0.08300000000000018
12.583,65,0,0.041999999999999815
12.625,65,0,0.08300000000000018
12.708,65,0,1.4169999999999998
14.125,65,0,0.08300000000000018
14.208,60,7,0.041999999999999815
14.250,65,0,0.125
14.375,65,0,0.125
14.500,65,0,0.08300000000000018
14.583,60,7,0.041999999999999815
14.625,62,9,0.08300000000000018
14.708,60,7,0.041999999999999815
14.750,65,0,0.125
14.875,65,0,0.125
15.000,67,2,0.125
15.125,69,4,0.08300000000000018
15.208,69,4,0.125
15.333,67,2,0.08399999999999963
15.417,69,4,0.04100000000000037
15.458,67,2,0.041999999999999815
15.500,65,0,0.041999999999999815
15.542,67,2,0.3330000000000002
15.875,62,9,0.125
16.000,65,0,0.08299999999999841
16.083,65,0,0.25
16.333,60,7,0.04200000000000159
16.375,62,9,0.125
16.500,65,0,0.08299999999999841
16.583,65,0,0.04200000000000159
16.625,62,9,0.125
16.750,65,0,0.125
