time,note,scale degree,length
4.375,57,9,0.06299999999999972
4.438,60,0,0.18700000000000028
4.625,60,0,0.06299999999999972
4.688,57,9,0.12400000000000055
4.812,62,2,0.12599999999999945
4.938,57,9,1.4370000000000003
6.375,45,9,0.125
6.500,57,9,0.06200000000000028
6.562,59,11,0.06299999999999972
6.625,60,0,0.125
6.750,57,9,0.125
6.875,62,2,1.5
8.375,57,9,0.06300000000000061
8.438,60,0,0.1869999999999994
8.625,60,0,0.06300000000000061
8.688,57,9,0.1869999999999994
8.875,62,2,0.1869999999999994
9.062,57,9,0.06300000000000061
9.125,57,9,0.25
9.375,55,7,0.25
9.625,57,9,0.75
10.375,55,7,0.06300000000000061
10.438,64,4,0.1869999999999994
10.625,62,2,0.125
10.750,60,0,0.1880000000000006
10.938,57,9,0.12399999999999878
11.062,62,2,0.5630000000000006
11.625,60,0,0.25
11.875,62,2,0.375
12.250,64,4,0.1880000000000006
12.438,64,4,0.8119999999999994
13.250,64,4,0.125
13.375,64,4,0.75
14.125,52,4,0.06300000000000061
14.188,52,4,0.06199999999999939
14.250,64,4,0.1880000000000006
14.438,64,4,0.1869999999999994
14.625,62,2,0.5
15.125,52,4,0.06300000000000061
15.188,52,4,0.06199999999999939
15.250,64,4,1.0
16.250,64,4,0.125
16.375,64,4,0.75
17.125,52,4,0.06299999999999883
17.188,64,4,0.12400000000000233
17.312,64,4,0.18799999999999883
17.500,64,4,0.125
17.625,62,2,0.06299999999999883
17.688,57,9,0.5
18.188,64,4,0.12400000000000233
18.312,64,4,0.18799999999999883
18.500,64,4,0.18799999999999883
18.688,60,0,0.18700000000000117
18.875,55,7,0.06299999999999883
18.938,55,7,0.18700000000000117
19.125,64,4,0.25
19.375,64,4,0.375
19.750,60,0,0.125
19.875,57,9,0.06299999999999883
19.938,57,9,4.687000000000001
24.625,57,9,0.06299999999999883
24.688,60,0,0.062000000000001165
24.750,60,0,0.062000000000001165
24.812,57,9,0.12599999999999767
24.938,62,2,0.18700000000000117
25.125,57,9,1.0629999999999988
26.188,55,7,0.062000000000001165
26.250,57,9,0.125
26.375,57,9,0.06299999999999883
26.438,57,9,0.18700000000000117
26.625,59,11,0.25
26.875,60,0,0.06299999999999883
26.938,57,9,0.12400000000000233
27.062,62,2,1.3129999999999988
28.375,57,9,0.06299999999999883
28.438,57,9,0.18700000000000117
28.625,59,11,0.125
28.750,60,0,0.062000000000001165
28.812,60,0,0.06299999999999883
28.875,57,9,0.125
29.000,62,2,0.18799999999999883
29.188,57,9,0.9370000000000012
30.125,57,9,0.06299999999999883
30.188,57,9,0.12400000000000233
30.312,57,9,0.12599999999999767
30.438,64,4,0.18700000000000117
30.625,62,2,0.06299999999999883
30.688,60,0,0.12400000000000233
30.812,57,9,0.12599999999999767
30.938,62,2,0.6870000000000012
31.625,60,0,0.18700000000000117
31.812,62,2,0.43799999999999883
32.250,64,4,0.125
32.375,64,4,0.875
33.250,64,4,0.125
33.375,64,4,0.75
34.125,53,5,0.125
34.250,64,4,0.125
34.375,64,4,0.125
34.500,64,4,0.1880000000000024
34.688,62,2,0.1869999999999976
34.875,60,0,0.25
35.125,62,2,0.06300000000000239
35.188,64,4,0.12399999999999523
35.312,64,4,0.75
36.062,52,4,0.12600000000000477
36.188,64,4,0.5619999999999976
36.750,52,4,0.125
36.875,52,4,0.25
37.125,63,3,0.125
37.250,62,2,0.125
37.375,60,0,0.1869999999999976
37.562,57,9,0.12600000000000477
37.688,57,9,0.12399999999999523
37.812,55,7,0.3130000000000024
38.125,64,4,0.06300000000000239
38.188,64,4,0.12399999999999523
38.312,62,2,0.12600000000000477
38.438,60,0,0.12399999999999523
38.562,55,7,0.3130000000000024
38.875,64,4,0.06300000000000239
38.938,64,4,0.12399999999999523
39.062,62,2,0.12600000000000477
39.188,60,0,0.12399999999999523
39.312,55,7,0.3130000000000024
39.625,62,2,4.75
44.375,55,7,0.06300000000000239
44.438,55,7,0.06199999999999761
44.500,57,9,0.125
44.625,59,11,0.1869999999999976
44.812,60,0,0.12600000000000477
44.938,57,9,0.12399999999999523
45.062,62,2,0.12600000000000477
45.188,57,9,1.1239999999999952
46.312,57,9,0.06300000000000239
46.375,57,9,0.125
46.500,57,9,0.125
46.625,59,11,0.06300000000000239
46.688,60,0,0.3119999999999976
47.000,57,9,0.125
47.125,62,2,1.1869999999999976
48.312,57,9,0.06300000000000239
48.375,57,9,0.125
48.500,57,9,0.125
48.625,59,11,0.1869999999999976
48.812,60,0,0.06300000000000239
48.875,57,9,0.1869999999999976
49.062,62,2,0.1880000000000024
49.250,57,9,1.0619999999999976
50.312,55,7,0.06300000000000239
50.375,55,7,0.06300000000000239
50.438,64,4,0.12399999999999523
50.562,62,2,0.25
50.812,60,0,0.06300000000000239
50.875,57,9,0.1869999999999976
51.062,62,2,1.0630000000000024
52.125,52,4,0.06300000000000239
52.188,52,4,0.06199999999999761
52.250,64,4,0.125
52.375,64,4,0.125
52.500,64,4,0.625
53.125,64,4,0.2079999999999984
53.333,64,4,0.08400000000000318
53.417,64,4,0.08299999999999841
53.500,64,4,0.5619999999999976
54.062,55,7,0.12600000000000477
54.188,64,4,0.12399999999999523
54.312,64,4,0.12600000000000477
54.438,64,4,0.12399999999999523
54.562,62,2,0.12600000000000477
54.688,60,0,0.1869999999999976
54.875,57,9,0.25
55.125,64,4,0.1869999999999976
55.312,64,4,0.1880000000000024
55.500,64,4,0.625
56.125,52,4,0.06300000000000239
56.188,64,4,0.644999999999996
56.833,55,7,0.08400000000000318
56.917,55,7,0.08299999999999841
57.000,63,3,0.125
57.125,62,2,0.125
57.250,60,0,0.375
57.625,57,9,0.1869999999999976
57.812,55,7,0.3130000000000024
58.125,64,4,0.25
58.375,60,0,0.125
58.500,60,0,0.125
58.625,60,0,0.125
58.750,55,7,0.125
58.875,55,7,0.125
59.000,64,4,0.125
59.125,64,4,0.125
59.250,62,2,0.125
59.375,60,0,0.25
59.625,62,2,0.1869999999999976
59.812,60,0,0.3130000000000024
60.125,67,7,0.25
60.375,65,5,0.06300000000000239
60.438,64,4,0.06199999999999761
60.500,60,0,0.125
60.625,62,2,0.3130000000000024
60.938,67,7,0.25
61.188,67,7,0.06199999999999761
61.250,65,5,0.06199999999999761
61.312,64,4,0.12600000000000477
61.438,60,0,0.4369999999999976
61.875,67,7,0.375
62.250,65,5,0.06199999999999761
62.312,64,4,0.12600000000000477
62.438,60,0,0.12399999999999523
62.562,62,2,0.3130000000000024
62.875,67,7,0.3130000000000024
63.188,67,7,0.06199999999999761
63.250,65,5,0.06199999999999761
63.312,64,4,0.12600000000000477
63.438,60,0,0.4369999999999976
63.875,55,7,0.06300000000000239
63.938,67,7,0.1869999999999976
64.125,65,5,0.25
64.375,64,4,0.06300000000000239
64.438,60,0,0.1869999999999976
64.625,62,2,0.25
64.875,55,7,0.06300000000000239
64.938,67,7,0.12399999999999523
65.062,67,7,0.12600000000000477
65.188,65,5,0.12399999999999523
65.312,64,4,0.12600000000000477
65.438,62,2,0.5
65.938,62,2,0.06199999999999761
66.000,62,2,0.125
66.125,62,2,0.1869999999999976
66.312,64,4,0.1880000000000024
66.500,62,2,0.25
66.750,59,11,0.125
66.875,60,0,0.5
67.375,55,7,0.06300000000000239
67.438,60,0,0.12399999999999523
67.562,64,4,0.1880000000000024
67.750,62,2,0.125
67.875,60,0,0.5
68.375,57,9,0.06300000000000239
68.438,60,0,0.12399999999999523
68.562,62,2,0.06300000000000239
68.625,64,4,0.125
68.750,65,5,0.125
68.875,64,4,0.375
69.250,64,4,0.125
69.375,64,4,0.875
70.250,64,4,0.1880000000000024
70.438,64,4,0.8119999999999976
71.250,64,4,0.125
71.375,64,4,0.25
71.625,62,2,0.125
71.750,60,0,0.125
71.875,57,9,0.125
72.000,64,4,0.125
72.125,64,4,0.125
72.250,62,2,0.125
72.375,64,4,0.875
73.250,65,5,0.125
73.375,64,4,0.875
74.250,64,4,0.06199999999999761
74.312,64,4,0.12600000000000477
74.438,64,4,0.1869999999999976
74.625,60,0,0.625
75.250,64,4,0.125
75.375,64,4,0.75
76.125,64,4,0.25
76.375,62,2,0.06300000000000239
76.438,60,0,0.06199999999999761
76.500,55,7,0.75
77.250,64,4,0.125
77.375,64,4,0.375
77.750,62,2,0.125
77.875,60,0,0.25
78.125,63,3,0.125
78.250,62,2,0.125
78.375,60,0,0.25
78.625,55,7,0.06300000000000239
78.688,57,9,0.12399999999999523
78.812,55,7,0.3130000000000024
79.125,64,4,0.06300000000000239
79.188,64,4,0.12399999999999523
79.312,62,2,0.12600000000000477
79.438,60,0,0.12399999999999523
79.562,55,7,0.3130000000000024
79.875,64,4,0.06300000000000239
79.938,64,4,0.1869999999999976
80.125,62,2,0.125
80.250,60,0,0.125
80.375,55,7,0.25
80.625,62,2,2.25
82.875,62,2,6.375
89.250,67,7,0.1880000000000024
89.438,69,9,0.3119999999999976
89.750,67,7,0.75
90.500,64,4,0.125
90.625,67,7,0.125
90.750,67,7,0.625
91.375,67,7,0.25
91.625,60,0,0.25
91.875,67,7,0.25
92.125,60,0,0.25
92.375,67,7,0.25
92.625,60,0,0.25
92.875,74,2,0.5
93.375,72,0,1.25
94.625,64,4,0.125
94.750,67,7,0.125
94.875,74,2,0.4689999999999941
95.344,76,4,0.03100000000000591
95.375,74,2,0.125
95.500,72,0,0.875
96.375,65,5,0.5
96.875,74,2,0.5
97.375,72,0,1.5
98.875,74,2,0.5
