time,note,scale degree,length
4.375,65,4,0.06299999999999972
4.438,66,5,0.12400000000000055
4.562,65,4,0.06299999999999972
4.625,61,0,0.125
4.750,58,9,0.125
4.875,56,7,0.06299999999999972
4.938,58,9,0.06200000000000028
5.000,61,0,0.25
5.250,58,9,0.125
5.375,63,2,0.25
5.625,65,4,0.5
6.125,56,7,0.06299999999999972
6.188,65,4,0.12400000000000055
6.312,66,5,0.12599999999999945
6.438,65,4,0.06200000000000028
6.500,63,2,0.125
6.625,61,0,0.125
6.750,58,9,0.125
6.875,56,7,0.06299999999999972
6.938,58,9,0.06200000000000028
7.000,61,0,0.125
7.125,61,0,0.25
7.375,58,9,0.875
8.250,61,0,0.06199999999999939
8.312,63,2,0.06300000000000061
8.375,65,4,0.06300000000000061
8.438,68,7,0.12399999999999878
8.562,65,4,0.25
8.812,56,7,0.06300000000000061
8.875,56,7,0.06300000000000061
8.938,58,9,0.06199999999999939
9.000,61,0,0.25
9.250,58,9,0.125
9.375,63,2,0.25
9.625,65,4,0.375
10.000,70,9,0.125
10.125,68,7,0.125
10.250,65,4,0.125
10.375,63,2,0.125
10.500,61,0,0.06199999999999939
10.562,56,7,0.06300000000000061
10.625,58,9,0.1869999999999994
10.812,56,7,0.06300000000000061
10.875,58,9,0.125
11.000,61,0,0.25
11.250,58,9,0.125
11.375,58,9,2.9369999999999994
14.312,56,7,0.06300000000000061
14.375,65,4,0.06300000000000061
14.438,66,5,0.12399999999999878
14.562,65,4,0.06300000000000061
14.625,61,0,0.125
14.750,58,9,0.125
14.875,56,7,0.06300000000000061
14.938,58,9,0.06199999999999939
15.000,61,0,0.25
15.250,58,9,0.125
15.375,63,2,0.25
15.625,65,4,0.6870000000000012
16.312,65,4,0.06299999999999883
16.375,66,5,0.06299999999999883
16.438,65,4,0.12400000000000233
16.562,63,2,0.12599999999999767
16.688,61,0,0.062000000000001165
16.750,58,9,0.062000000000001165
16.812,56,7,0.18799999999999883
17.000,61,0,0.25
17.250,58,9,0.125
17.375,58,9,0.9370000000000012
18.312,65,4,0.12599999999999767
18.438,66,5,0.12400000000000233
18.562,65,4,0.06299999999999883
18.625,61,0,0.18700000000000117
18.812,56,7,0.06299999999999883
18.875,56,7,0.06299999999999883
18.938,58,9,0.062000000000001165
19.000,61,0,0.25
19.250,58,9,0.125
19.375,63,2,0.18700000000000117
19.562,65,4,0.43799999999999883
20.000,70,9,0.062000000000001165
20.062,65,4,0.12599999999999767
20.188,68,7,0.12400000000000233
20.312,65,4,0.06299999999999883
20.375,63,2,0.125
20.500,61,0,0.125
20.625,58,9,0.31299999999999883
20.938,56,7,0.062000000000001165
21.000,58,9,0.062000000000001165
21.062,61,0,0.18799999999999883
21.250,58,9,0.125
21.375,58,9,4.937000000000001
26.312,66,4,0.12599999999999767
26.438,67,5,0.062000000000001165
26.500,66,4,0.125
26.625,64,2,0.125
26.750,62,0,0.125
26.875,59,9,0.375
27.250,57,7,0.062000000000001165
27.312,59,9,0.06299999999999883
27.375,64,2,0.125
27.500,59,9,0.125
27.625,64,2,0.125
27.750,66,4,0.5
28.250,62,0,0.062000000000001165
28.312,64,2,0.06299999999999883
28.375,66,4,0.06299999999999883
28.438,69,7,0.18700000000000117
28.625,66,4,0.125
28.750,64,2,0.125
28.875,57,7,0.06299999999999883
28.938,59,9,0.062000000000001165
29.000,62,0,0.25
29.250,59,9,0.125
29.375,59,9,0.18700000000000117
29.562,59,9,0.06299999999999883
29.625,64,2,0.125
29.750,59,9,0.062000000000001165
29.812,57,7,0.5
30.312,57,7,0.12599999999999767
