time,note,scale degree,length
6.000,59,9,0.125
6.125,62,0,0.125
6.250,62,0,0.125
6.375,62,0,0.25
6.625,64,2,0.125
6.750,62,0,0.125
6.875,66,4,0.125
7.000,66,4,1.0
8.000,64,2,0.125
8.125,66,4,0.125
8.250,65,3,0.125
8.375,66,4,0.125
8.500,64,2,0.125
8.625,62,0,0.125
8.750,62,0,0.125
8.875,62,0,0.125
9.000,64,2,0.125
9.125,66,4,0.25
9.375,66,4,0.625
10.000,65,3,0.125
10.125,66,4,0.125
10.250,65,3,0.125
10.375,66,4,0.125
10.500,64,2,0.125
10.625,62,0,0.125
10.750,62,0,0.125
10.875,66,4,0.25
11.125,66,4,0.125
11.250,66,4,0.125
11.375,64,2,0.25
11.625,62,0,0.375
12.000,64,2,0.125
12.125,66,4,0.125
12.250,64,2,0.125
12.375,66,4,0.125
12.500,64,2,0.125
12.625,62,0,0.125
12.750,62,0,0.25
13.000,64,2,0.125
13.125,66,4,0.25
13.375,66,4,0.625
14.000,64,2,0.125
14.125,64,2,0.25
14.375,62,0,0.125
14.500,64,2,0.125
14.625,64,2,0.25
14.875,64,2,0.25
15.125,66,4,0.75
15.875,65,3,0.375
16.250,64,2,0.125
16.375,62,0,0.125
16.500,64,2,0.125
16.625,62,0,0.25
16.875,62,0,0.25
17.125,59,9,0.75
17.875,66,4,0.25
18.125,66,4,0.75
18.875,66,4,0.25
19.125,66,4,0.75
19.875,66,4,0.25
20.125,66,4,0.125
20.250,64,2,0.125
20.375,62,0,0.125
20.500,64,2,0.25
20.750,62,0,1.25
22.000,59,9,0.125
22.125,62,0,0.125
22.250,62,0,0.125
22.375,59,9,0.125
22.500,62,0,0.25
22.750,64,2,0.125
22.875,66,4,0.25
23.125,66,4,0.875
24.000,65,3,0.125
24.125,66,4,0.125
24.250,65,3,0.125
24.375,66,4,0.125
24.500,64,2,0.125
24.625,62,0,0.125
24.750,62,0,0.125
24.875,62,0,0.125
25.000,64,2,0.125
25.125,66,4,0.25
25.375,66,4,0.625
26.000,65,3,0.125
26.125,66,4,0.125
26.250,65,3,0.125
26.375,66,4,0.125
26.500,64,2,0.125
26.625,62,0,0.125
26.750,62,0,0.125
26.875,66,4,0.25
27.125,66,4,0.125
27.250,65,3,0.125
27.375,66,4,0.125
27.500,64,2,0.125
27.625,62,0,0.375
28.000,66,4,0.125
28.125,66,4,0.125
28.250,65,3,0.125
28.375,66,4,0.125
28.500,64,2,0.125
28.625,62,0,0.125
28.750,62,0,0.125
28.875,62,0,0.125
29.000,64,2,0.125
29.125,66,4,0.125
29.250,66,4,0.25
29.500,66,4,0.5
30.000,64,2,0.125
30.125,64,2,0.25
30.375,62,0,0.125
30.500,64,2,0.125
30.625,64,2,0.25
30.875,64,2,0.25
31.125,66,4,0.75
31.875,65,3,0.375
32.250,64,2,0.125
32.375,62,0,0.125
32.500,64,2,0.125
32.625,62,0,0.25
32.875,62,0,0.25
33.125,59,9,0.75
33.875,66,4,0.25
34.125,66,4,0.75
34.875,66,4,0.25
35.125,66,4,0.75
35.875,66,4,0.25
36.125,66,4,0.125
36.250,64,2,0.125
36.375,62,0,0.125
36.500,64,2,0.25
36.750,62,0,19.125
55.875,66,4,0.25
56.125,66,4,0.75
56.875,66,4,0.25
57.125,66,4,0.75
57.875,66,4,0.25
58.125,66,4,0.125
58.250,64,2,0.125
58.375,62,0,0.125
58.500,64,2,0.25
58.750,62,0,7.25
66.000,59,9,0.125
66.125,62,0,0.125
66.250,59,9,0.125
66.375,62,0,0.25
66.625,64,2,0.125
66.750,62,0,0.125
66.875,66,4,0.25
67.125,66,4,0.875
68.000,65,3,0.125
68.125,66,4,0.125
68.250,65,3,0.125
68.375,66,4,0.125
68.500,64,2,0.125
68.625,62,0,0.125
68.750,62,0,0.125
68.875,64,2,0.25
69.125,66,4,0.125
69.250,66,4,0.125
69.375,66,4,0.625
70.000,66,4,0.125
70.125,66,4,0.125
70.250,65,3,0.125
70.375,66,4,0.125
70.500,64,2,0.125
70.625,62,0,0.25
70.875,66,4,0.25
71.125,66,4,0.125
71.250,65,3,0.125
71.375,66,4,0.125
71.500,64,2,0.125
71.625,62,0,0.375
72.000,65,3,0.125
72.125,66,4,0.125
72.250,65,3,0.125
72.375,66,4,0.125
72.500,64,2,0.125
72.625,62,0,0.125
72.750,62,0,0.125
72.875,64,2,0.25
73.125,66,4,0.125
73.250,66,4,0.125
73.375,66,4,0.625
74.000,64,2,0.125
74.125,64,2,0.25
74.375,62,0,0.125
74.500,64,2,0.125
74.625,64,2,0.25
74.875,64,2,0.25
75.125,66,4,0.75
75.875,65,3,0.375
76.250,64,2,0.125
76.375,62,0,0.125
76.500,64,2,0.125
76.625,62,0,0.25
76.875,62,0,0.25
77.125,59,9,0.75
77.875,66,4,0.25
78.125,66,4,0.75
78.875,66,4,0.25
79.125,66,4,0.75
79.875,66,4,0.25
80.125,66,4,0.125
80.250,64,2,0.125
80.375,62,0,0.125
80.500,64,2,0.25
80.750,62,0,1.125
81.875,66,4,0.25
82.125,66,4,0.75
82.875,66,4,0.25
83.125,66,4,0.75
83.875,66,4,0.25
84.125,66,4,0.125
84.250,64,2,0.125
84.375,62,0,0.125
84.500,64,2,0.25
84.750,62,0,1.125
85.875,66,4,0.25
86.125,66,4,0.75
86.875,66,4,0.25
87.125,66,4,0.75
87.875,66,4,0.25
88.125,66,4,0.125
88.250,64,2,0.125
88.375,62,0,0.125
88.500,64,2,0.25
