time,note,scale degree,length
4.594,53,7,0.030999999999999694
4.625,60,2,0.030999999999999694
4.656,60,2,0.03200000000000003
4.688,60,2,0.031000000000000583
4.719,60,2,0.030999999999999694
4.750,60,2,0.0940000000000003
4.844,60,2,0.06199999999999939
4.906,58,0,0.03200000000000003
4.938,55,9,0.06200000000000028
5.000,58,0,0.06200000000000028
5.062,60,2,1.4689999999999994
6.531,53,7,0.031000000000000583
6.562,60,2,0.03200000000000003
6.594,60,2,0.030999999999999694
6.625,60,2,0.030999999999999694
6.656,60,2,0.03200000000000003
6.688,60,2,0.09299999999999997
6.781,60,2,0.0940000000000003
6.875,58,0,0.030999999999999694
6.906,55,9,0.03200000000000003
6.938,58,0,1.5930000000000009
8.531,60,2,0.030999999999998806
8.562,60,2,0.03200000000000003
8.594,60,2,0.031000000000000583
8.625,60,2,0.031000000000000583
8.656,60,2,0.03200000000000003
8.688,60,2,0.09299999999999997
8.781,60,2,0.09399999999999942
8.875,58,0,0.031000000000000583
8.906,55,9,0.03200000000000003
8.938,58,0,0.09299999999999997
9.031,60,2,0.9379999999999988
9.969,46,0,0.031000000000000583
10.000,63,5,0.125
10.125,63,5,0.125
10.250,63,5,0.125
10.375,63,5,0.125
10.500,63,5,0.125
10.625,63,5,0.125
10.750,63,5,0.125
10.875,63,5,0.125
11.000,63,5,0.25
11.250,63,5,0.25
11.500,62,4,0.25
11.750,60,2,0.125
11.875,58,0,0.125
12.000,58,0,0.25
12.250,58,0,0.125
12.375,60,2,0.06300000000000061
12.438,58,0,0.06199999999999939
12.500,62,4,0.25
12.750,62,4,0.06199999999999939
12.812,60,2,0.06300000000000061
12.875,58,0,0.06300000000000061
12.938,58,0,1.3119999999999994
14.250,58,0,0.125
14.375,60,2,0.06300000000000061
14.438,58,0,0.06199999999999939
14.500,62,4,0.25
14.750,62,4,0.06199999999999939
14.812,60,2,0.06300000000000061
14.875,58,0,0.06300000000000061
14.938,58,0,1.3119999999999994
16.250,58,0,0.125
16.375,60,2,0.06299999999999883
16.438,58,0,0.062000000000001165
16.500,62,4,0.25
16.750,62,4,0.062000000000001165
16.812,60,2,0.06299999999999883
16.875,58,0,0.06299999999999883
16.938,55,9,0.062000000000001165
17.000,53,7,1.9690000000000012
18.969,46,0,0.030999999999998806
19.000,63,5,0.125
19.125,63,5,0.125
19.250,63,5,0.125
19.375,63,5,0.125
19.500,63,5,0.125
19.625,63,5,0.125
19.750,63,5,0.125
19.875,63,5,0.125
20.000,63,5,0.25
20.250,63,5,0.25
20.500,62,4,0.25
20.750,60,2,0.125
20.875,58,0,0.125
21.000,58,0,0.18799999999999883
21.188,62,4,0.062000000000001165
21.250,62,4,0.030999999999998806
21.281,60,2,0.03100000000000236
21.312,62,4,0.03200000000000003
21.344,60,2,0.030999999999998806
21.375,60,2,0.030999999999998806
21.406,62,4,0.06300000000000239
21.469,62,4,0.2809999999999988
21.750,65,7,0.062000000000001165
21.812,60,2,0.06299999999999883
21.875,58,0,0.06299999999999883
21.938,58,0,0.062000000000001165
22.000,58,0,2.530999999999999
24.531,60,2,0.03100000000000236
24.562,60,2,0.03200000000000003
24.594,60,2,0.030999999999998806
24.625,60,2,0.030999999999998806
24.656,60,2,0.03200000000000003
24.688,60,2,0.062000000000001165
24.750,60,2,0.062000000000001165
24.812,58,0,0.03200000000000003
24.844,55,9,0.09399999999999764
24.938,58,0,0.37400000000000233
25.312,62,4,0.06299999999999883
25.375,60,2,1.0629999999999988
26.438,60,2,0.03100000000000236
26.469,60,2,0.030999999999998806
26.500,62,4,0.062000000000001165
26.562,62,4,0.03200000000000003
26.594,62,4,0.030999999999998806
26.625,62,4,0.06299999999999883
26.688,65,7,0.062000000000001165
26.750,62,4,0.030999999999998806
26.781,60,2,0.0940000000000012
26.875,58,0,0.030999999999998806
26.906,55,9,0.03200000000000003
26.938,58,0,0.03100000000000236
26.969,60,2,1.4689999999999976
28.438,53,7,0.062000000000001165
28.500,63,5,0.125
28.625,63,5,0.125
28.750,63,5,0.125
28.875,63,5,0.125
29.000,63,5,0.25
29.250,63,5,0.25
29.500,62,4,0.25
29.750,60,2,0.125
29.875,58,0,0.125
30.000,58,0,0.25
30.250,58,0,0.125
30.375,60,2,0.06299999999999883
30.438,58,0,0.062000000000001165
30.500,62,4,0.25
30.750,62,4,0.062000000000001165
30.812,60,2,0.06299999999999883
30.875,58,0,0.06299999999999883
30.938,58,0,1.3120000000000012
32.250,58,0,0.125
32.375,60,2,0.06300000000000239
32.438,58,0,0.06199999999999761
32.500,62,4,0.25
32.750,62,4,0.06199999999999761
32.812,60,2,0.06300000000000239
32.875,58,0,0.06300000000000239
32.938,58,0,1.3119999999999976
34.250,58,0,0.125
34.375,60,2,0.06300000000000239
34.438,58,0,0.06199999999999761
34.500,62,4,0.25
34.750,62,4,0.06199999999999761
34.812,60,2,0.06300000000000239
34.875,58,0,0.06300000000000239
34.938,55,9,0.06199999999999761
35.000,53,7,2.0
37.000,63,5,0.125
37.125,63,5,0.125
37.250,63,5,0.125
37.375,63,5,0.125
37.500,63,5,0.125
37.625,63,5,0.125
37.750,63,5,0.125
37.875,63,5,0.125
38.000,63,5,0.25
38.250,63,5,0.25
38.500,62,4,0.25
38.750,60,2,0.125
38.875,58,0,0.125
39.000,58,0,0.125
39.125,60,2,0.030999999999998806
39.156,60,2,0.03200000000000358
39.188,63,5,0.030999999999998806
39.219,65,7,0.06199999999999761
39.281,65,7,0.0940000000000012
39.375,62,4,0.030999999999998806
39.406,65,7,0.0940000000000012
39.500,65,7,0.125
39.625,65,7,0.06300000000000239
39.688,65,7,0.06199999999999761
39.750,62,4,0.06199999999999761
39.812,65,7,0.06300000000000239
39.875,62,4,0.06300000000000239
39.938,62,4,0.06199999999999761
40.000,65,7,0.06199999999999761
40.062,62,4,0.03200000000000358
40.094,60,2,0.030999999999998806
40.125,58,0,2.405999999999999
42.531,60,2,0.030999999999998806
42.562,60,2,0.06300000000000239
42.625,60,2,0.030999999999998806
42.656,60,2,0.03200000000000358
42.688,60,2,0.06199999999999761
42.750,60,2,0.06199999999999761
42.812,58,0,0.03200000000000358
42.844,58,0,0.06199999999999761
42.906,55,9,0.03200000000000358
42.938,58,0,0.3119999999999976
43.250,58,0,0.030999999999998806
43.281,58,0,0.030999999999998806
43.312,62,4,0.06300000000000239
43.375,58,0,0.06300000000000239
43.438,61,3,1.0929999999999964
44.531,61,3,0.030999999999998806
44.562,61,3,0.03200000000000358
44.594,61,3,0.030999999999998806
44.625,61,3,0.030999999999998806
44.656,61,3,0.03200000000000358
44.688,61,3,0.030999999999998806
44.719,58,0,0.3429999999999964
45.062,58,0,0.03200000000000358
45.094,58,0,0.030999999999998806
45.125,58,0,0.06300000000000239
45.188,58,0,0.030999999999998806
45.219,58,0,0.030999999999998806
45.250,58,0,0.030999999999998806
45.281,58,0,0.030999999999998806
45.312,58,0,0.03200000000000358
45.344,60,2,0.06199999999999761
45.406,55,9,0.4059999999999988
45.812,58,0,0.03200000000000358
45.844,58,0,0.030999999999998806
45.875,58,0,0.030999999999998806
45.906,58,0,0.03200000000000358
45.938,58,0,0.5929999999999964
46.531,53,7,0.06300000000000239
46.594,55,9,0.030999999999998806
46.625,58,0,0.030999999999998806
46.656,58,0,0.03200000000000358
46.688,60,2,0.06199999999999761
46.750,58,0,0.06199999999999761
46.812,55,9,0.4380000000000024
47.250,62,4,0.125
47.375,65,7,0.125
47.500,62,4,0.125
47.625,62,4,0.125
47.750,58,0,0.5
48.250,58,0,0.125
48.375,60,2,0.06300000000000239
48.438,58,0,0.06199999999999761
48.500,62,4,0.25
48.750,62,4,0.06199999999999761
48.812,60,2,0.06300000000000239
48.875,58,0,0.06300000000000239
48.938,58,0,0.25
49.188,61,3,0.06199999999999761
49.250,58,0,0.125
49.375,55,9,0.875
50.250,58,0,0.125
50.375,60,2,0.06300000000000239
50.438,58,0,0.06199999999999761
50.500,62,4,0.25
50.750,62,4,0.06199999999999761
50.812,60,2,0.06300000000000239
50.875,58,0,0.06300000000000239
50.938,58,0,0.75
51.688,63,5,0.030999999999998806
51.719,65,7,0.030999999999998806
51.750,64,6,0.030999999999998806
51.781,63,5,0.030999999999998806
51.812,63,5,0.06300000000000239
51.875,63,5,0.06300000000000239
51.938,63,5,0.06199999999999761
52.000,63,5,0.030999999999998806
52.031,63,5,0.030999999999998806
52.062,63,5,0.03200000000000358
52.094,60,2,0.06199999999999761
52.156,63,5,0.03200000000000358
52.188,65,7,0.06199999999999761
52.250,58,0,0.125
52.375,60,2,0.06300000000000239
52.438,58,0,0.06199999999999761
52.500,62,4,0.25
52.750,62,4,0.06199999999999761
52.812,60,2,0.06300000000000239
52.875,58,0,0.06300000000000239
52.938,55,9,0.06199999999999761
53.000,53,7,2.125
55.125,68,10,0.06300000000000239
55.188,68,10,0.030999999999998806
55.219,68,10,0.06199999999999761
55.281,65,7,0.06300000000000239
55.344,63,5,0.06199999999999761
55.406,63,5,0.06300000000000239
55.469,61,3,0.030999999999998806
55.500,58,0,0.1559999999999988
55.656,68,10,0.06300000000000239
55.719,68,10,0.030999999999998806
55.750,68,10,0.030999999999998806
55.781,65,7,0.06300000000000239
55.844,63,5,0.06199999999999761
