time,note,scale degree,length
4.500,75,3,0.18799999999999972
4.688,72,0,0.12400000000000055
4.812,69,9,0.6259999999999994
5.438,72,0,0.12400000000000055
5.562,72,0,0.06299999999999972
5.625,72,0,0.125
5.750,69,9,0.75
6.500,75,3,0.18799999999999972
6.688,74,2,0.12400000000000055
6.812,72,0,0.06299999999999972
6.875,74,2,0.5
7.375,70,10,0.06299999999999972
7.438,70,10,0.06200000000000028
7.500,72,0,0.125
7.625,72,0,0.125
7.750,70,10,0.125
7.875,72,0,0.625
8.500,75,3,0.125
8.625,74,2,0.125
8.750,72,0,0.125
8.875,69,9,0.625
9.500,69,9,0.25
9.750,70,10,0.06199999999999939
9.812,70,10,0.06300000000000061
9.875,71,11,0.125
10.000,72,0,0.125
10.125,70,10,0.06300000000000061
10.188,67,7,0.06199999999999939
10.250,72,0,0.125
10.375,67,7,0.375
10.750,72,0,0.125
10.875,67,7,0.125
11.000,69,9,0.125
11.125,72,0,0.375
11.500,72,0,0.125
11.625,70,10,0.125
11.750,72,0,0.125
11.875,70,10,1.0
12.875,72,0,0.125
13.000,69,9,1.375
14.375,75,3,0.1869999999999994
14.562,74,2,0.12600000000000122
14.688,72,0,0.06199999999999939
14.750,74,2,0.06199999999999939
14.812,72,0,0.06300000000000061
14.875,74,2,0.5630000000000006
15.438,72,0,0.12399999999999878
15.562,72,0,0.06300000000000061
15.625,69,9,0.875
16.500,75,3,0.125
16.625,74,2,0.125
16.750,72,0,0.062000000000001165
16.812,69,9,0.06299999999999883
16.875,72,0,0.06299999999999883
16.938,74,2,0.43700000000000117
17.375,69,9,0.06299999999999883
17.438,72,0,0.12400000000000233
17.562,72,0,0.06299999999999883
17.625,70,10,0.125
17.750,72,0,0.75
18.500,75,3,0.18799999999999883
18.688,74,2,0.12400000000000233
18.812,72,0,0.12599999999999767
18.938,69,9,0.5620000000000012
19.500,69,9,0.25
19.750,72,0,0.062000000000001165
19.812,72,0,0.06299999999999883
19.875,72,0,0.125
20.000,76,4,0.125
20.125,72,0,0.06299999999999883
20.188,72,0,0.062000000000001165
20.250,72,0,0.125
20.375,72,0,0.5629999999999988
