time,note,scale degree,length
3.750,63,0,0.16699999999999982
3.917,63,0,0.25
4.167,63,0,0.08300000000000018
4.250,63,0,0.25
4.500,63,0,0.5
5.000,63,0,0.25
5.250,60,9,0.25
5.500,60,9,0.25
5.750,58,7,0.16699999999999982
5.917,58,7,0.08300000000000018
6.000,55,4,1.75
7.750,63,0,0.16699999999999982
7.917,63,0,0.25
8.167,63,0,0.08300000000000018
8.250,63,0,0.25
8.500,63,0,0.5
9.000,63,0,0.25
9.250,60,9,0.25
9.500,60,9,0.25
9.750,58,7,0.16699999999999982
9.917,58,7,0.08300000000000018
10.000,55,4,1.6669999999999998
11.667,63,0,0.25
11.917,63,0,0.08300000000000018
12.000,63,0,0.16699999999999982
12.167,63,0,0.08300000000000018
12.250,63,0,0.25
12.500,63,0,0.16699999999999982
12.667,58,7,0.08300000000000018
12.750,60,9,0.16699999999999982
12.917,58,7,0.08300000000000018
13.000,61,10,0.25
13.250,60,9,0.16699999999999982
13.417,58,7,0.08300000000000018
13.500,60,9,0.25
13.750,58,7,0.16699999999999982
13.917,58,7,0.08300000000000018
14.000,51,0,1.6669999999999998
15.667,63,0,0.25
15.917,63,0,0.08300000000000018
16.000,63,0,0.25
16.250,63,0,0.25
16.500,63,0,0.1670000000000016
16.667,58,7,0.25
16.917,58,7,0.08299999999999841
17.000,63,0,0.25
17.250,60,9,0.25
17.500,60,9,0.25
17.750,58,7,0.1670000000000016
17.917,58,7,0.08299999999999841
18.000,55,4,1.6670000000000016
19.667,63,0,0.25
19.917,63,0,0.08299999999999841
20.000,63,0,0.25
20.250,63,0,0.25
20.500,63,0,0.1670000000000016
20.667,51,0,0.25
20.917,51,0,0.08299999999999841
21.000,63,0,0.25
21.250,60,9,0.25
21.500,60,9,0.25
21.750,58,7,0.1670000000000016
21.917,58,7,0.08299999999999841
22.000,55,4,1.6670000000000016
23.667,58,7,0.08299999999999841
23.750,63,0,0.1670000000000016
23.917,61,10,0.08299999999999841
24.000,63,0,0.25
24.250,63,0,0.1670000000000016
24.417,63,0,0.3329999999999984
24.750,60,9,0.1670000000000016
24.917,60,9,0.08299999999999841
25.000,61,10,0.25
25.250,60,9,0.1670000000000016
25.417,60,9,0.3329999999999984
25.750,58,7,0.1670000000000016
25.917,58,7,0.08299999999999841
26.000,51,0,1.6670000000000016
27.667,63,0,0.25
27.917,63,0,0.08299999999999841
28.000,63,0,0.25
28.250,63,0,0.1670000000000016
28.417,63,0,0.08299999999999841
28.500,63,0,0.25
28.750,63,0,0.1670000000000016
28.917,63,0,0.08299999999999841
29.000,63,0,0.1670000000000016
29.167,63,0,0.08299999999999841
29.250,63,0,0.25
29.500,60,9,0.25
29.750,58,7,0.25
30.000,55,4,1.6670000000000016
31.667,63,0,0.25
31.917,63,0,0.08299999999999841
32.000,66,3,0.25
32.250,65,2,0.1670000000000016
32.417,63,0,0.08299999999999841
32.500,63,0,0.25
32.750,63,0,0.1670000000000016
32.917,63,0,0.08299999999999841
33.000,63,0,0.1670000000000016
33.167,63,0,0.08299999999999841
33.250,63,0,0.08299999999999841
33.333,58,7,0.1670000000000016
33.500,63,0,0.25
33.750,63,0,0.1670000000000016
33.917,63,0,1.75
35.667,63,0,0.25
35.917,63,0,0.25
36.167,63,0,0.25
36.417,63,0,0.08299999999999841
36.500,63,0,0.4170000000000016
36.917,58,7,0.08299999999999841
37.000,61,10,0.1670000000000016
37.167,58,7,0.08299999999999841
37.250,60,9,0.25
37.500,60,9,0.1670000000000016
37.667,58,7,0.25
37.917,58,7,0.08299999999999841
38.000,51,0,1.6670000000000016
39.667,58,7,0.08299999999999841
39.750,60,9,0.25
40.000,63,0,0.5
40.500,63,0,0.1670000000000016
40.667,63,0,0.08299999999999841
40.750,63,0,0.1670000000000016
40.917,63,0,1.0829999999999984
42.000,63,0,0.5
42.500,63,0,0.1670000000000016
42.667,63,0,0.08299999999999841
42.750,63,0,0.1670000000000016
42.917,63,0,1.0829999999999984
44.000,63,0,0.5
44.500,63,0,0.1670000000000016
44.667,63,0,0.08299999999999841
44.750,63,0,0.1670000000000016
44.917,63,0,0.08299999999999841
45.000,66,3,1.0
46.000,63,0,0.5
46.500,63,0,0.1670000000000016
46.667,63,0,0.08299999999999841
46.750,63,0,0.1670000000000016
46.917,63,0,0.75
47.667,63,0,0.25
47.917,63,0,0.08299999999999841
48.000,63,0,0.25
48.250,63,0,0.25
48.500,63,0,0.4170000000000016
48.917,58,7,0.08299999999999841
49.000,61,10,0.25
49.250,60,9,0.25
49.500,60,9,0.25
49.750,58,7,0.25
50.000,58,7,0.08299999999999841
50.083,51,0,0.5840000000000032
50.667,63,0,0.5
51.167,67,4,0.25
51.417,67,4,12.25
63.667,63,0,0.08299999999999841
63.750,63,0,0.1670000000000016
63.917,60,9,0.08299999999999841
64.000,63,0,0.1670000000000016
64.167,63,0,0.25
64.417,63,0,0.5829999999999984
65.000,63,0,0.1670000000000016
65.167,58,7,0.08299999999999841
65.250,60,9,0.1670000000000016
65.417,58,7,0.08299999999999841
65.500,60,9,0.1670000000000016
65.667,58,7,0.25
65.917,58,7,0.08299999999999841
66.000,55,4,1.6670000000000016
67.667,63,0,0.08299999999999841
67.750,63,0,0.1670000000000016
67.917,60,9,0.08299999999999841
68.000,63,0,0.1670000000000016
68.167,63,0,0.3329999999999984
68.500,63,0,0.5
69.000,63,0,0.1670000000000016
69.167,58,7,0.08299999999999841
69.250,60,9,0.1670000000000016
69.417,58,7,0.08299999999999841
69.500,63,0,0.1670000000000016
69.667,63,0,0.25
69.917,63,0,1.75
71.667,63,0,0.08299999999999841
71.750,63,0,0.1670000000000016
71.917,63,0,0.08299999999999841
72.000,63,0,0.1670000000000016
72.167,63,0,0.25
72.417,63,0,0.3329999999999984
72.750,61,10,0.1670000000000016
72.917,61,10,0.08299999999999841
73.000,61,10,0.25
73.250,60,9,0.25
73.500,60,9,0.25
73.750,58,7,0.1670000000000016
73.917,58,7,0.08299999999999841
74.000,51,0,1.6670000000000016
75.667,63,0,0.3329999999999984
76.000,63,0,0.5
76.500,63,0,0.1670000000000016
76.667,63,0,0.08299999999999841
76.750,63,0,0.1670000000000016
76.917,63,0,1.0829999999999984
78.000,63,0,0.5
78.500,63,0,0.1670000000000016
78.667,63,0,0.08299999999999841
78.750,63,0,0.1670000000000016
78.917,63,0,1.0829999999999984
80.000,63,0,0.5
80.500,63,0,0.1670000000000016
80.667,63,0,0.08299999999999841
80.750,63,0,0.1670000000000016
80.917,63,0,1.0829999999999984
82.000,63,0,0.5
82.500,63,0,0.1670000000000016
82.667,63,0,0.08299999999999841
82.750,63,0,0.1670000000000016
82.917,63,0,0.75
83.667,63,0,0.25
83.917,63,0,0.08299999999999841
84.000,63,0,0.25
84.250,63,0,0.25
84.500,63,0,0.4170000000000016
84.917,58,7,0.08299999999999841
85.000,61,10,0.25
85.250,60,9,0.25
85.500,60,9,0.25
85.750,58,7,0.25
86.000,58,7,0.08299999999999841
86.083,51,0,1.5840000000000032
87.667,63,0,0.08299999999999841
87.750,63,0,0.1670000000000016
87.917,63,0,0.08299999999999841
88.000,67,4,0.1670000000000016
88.167,67,4,0.08299999999999841
88.250,65,2,0.1670000000000016
88.417,67,4,0.5829999999999984
89.000,67,4,0.08299999999999841
89.083,63,0,0.1670000000000016
89.250,65,2,0.08299999999999841
89.333,63,0,0.1670000000000016
89.500,63,0,0.25
89.750,60,9,0.1670000000000016
89.917,51,0,1.75
91.667,58,7,0.08299999999999841
91.750,63,0,0.1670000000000016
91.917,63,0,0.25
92.167,63,0,0.08299999999999841
92.250,63,0,0.1670000000000016
92.417,63,0,0.5829999999999984
93.000,63,0,0.1670000000000016
93.167,63,0,0.16599999999999682
93.333,60,9,0.1670000000000016
93.500,63,0,0.25
93.750,63,0,0.1670000000000016
93.917,63,0,1.75
95.667,60,9,0.08299999999999841
95.750,63,0,0.1670000000000016
95.917,63,0,0.08299999999999841
96.000,63,0,0.25
96.250,63,0,0.1670000000000016
96.417,63,0,0.5829999999999984
97.000,63,0,0.1670000000000016
97.167,58,7,0.08299999999999841
97.250,60,9,0.1670000000000016
97.417,58,7,0.08299999999999841
97.500,60,9,0.25
97.750,60,9,0.25
98.000,60,9,0.08299999999999841
98.083,51,0,1.5840000000000032
99.667,58,7,0.08299999999999841
99.750,60,9,0.25
100.000,63,0,0.5
100.500,63,0,0.1670000000000016
100.667,63,0,0.08299999999999841
100.750,63,0,0.1670000000000016
100.917,63,0,1.0829999999999984
102.000,63,0,0.5
102.500,63,0,0.1670000000000016
102.667,63,0,0.08299999999999841
102.750,63,0,0.1670000000000016
102.917,63,0,1.0829999999999984
104.000,63,0,0.5
104.500,63,0,0.1670000000000016
104.667,63,0,0.08299999999999841
104.750,63,0,0.1670000000000016
104.917,63,0,0.08299999999999841
105.000,67,4,1.0
106.000,63,0,0.5
106.500,63,0,0.1670000000000016
106.667,63,0,0.08299999999999841
106.750,63,0,0.1670000000000016
106.917,63,0,0.75
107.667,63,0,0.25
107.917,63,0,0.08299999999999841
108.000,63,0,0.25
108.250,63,0,0.25
108.500,63,0,0.1670000000000016
108.667,61,10,0.25
108.917,58,7,0.08299999999999841
109.000,61,10,0.25
109.250,60,9,0.25
109.500,60,9,0.25
109.750,58,7,0.25
110.000,58,7,0.08299999999999841
110.083,51,0,0.8340000000000032
110.917,63,0,0.16599999999999682
111.083,63,0,0.08400000000000318
111.167,63,0,0.08299999999999841
111.250,63,0,0.1670000000000016
111.417,60,9,0.08299999999999841
