time,note,scale degree,length
7.625,61,4,0.125
7.750,64,7,0.125
7.875,66,9,0.875
8.750,61,4,0.125
8.875,64,7,1.5
10.375,57,0,0.06300000000000061
10.438,59,2,0.06199999999999939
10.500,61,4,0.1880000000000006
10.688,59,2,0.25
10.938,57,0,0.6869999999999994
11.625,57,0,0.125
11.750,59,2,0.125
11.875,61,4,0.06300000000000061
11.938,59,2,0.06199999999999939
12.000,57,0,0.625
12.625,57,0,0.125
12.750,61,4,0.125
12.875,59,2,0.125
13.000,57,0,0.125
13.125,59,2,0.125
13.250,57,0,0.4380000000000006
13.688,59,2,0.12399999999999878
13.812,59,2,0.1880000000000006
14.000,57,0,1.625
15.625,61,4,0.125
15.750,64,7,0.125
15.875,66,9,0.75
16.625,61,4,0.125
16.750,64,7,0.125
16.875,66,9,0.5
17.375,62,5,0.125
17.500,62,5,0.125
17.625,61,4,0.125
17.750,59,2,0.125
17.875,57,0,0.06299999999999883
17.938,59,2,0.062000000000001165
18.000,61,4,0.625
18.625,59,2,0.125
18.750,59,2,0.25
19.000,57,0,0.625
19.625,57,0,0.125
19.750,59,2,0.125
19.875,61,4,0.06299999999999883
19.938,59,2,0.062000000000001165
20.000,57,0,0.625
20.625,59,2,0.125
20.750,61,4,0.125
20.875,59,2,0.125
21.000,57,0,0.625
21.625,61,4,0.125
21.750,59,2,0.125
21.875,57,0,0.25
22.125,57,0,0.75
22.875,66,9,0.125
23.000,66,9,0.125
23.125,64,7,0.125
23.250,64,7,0.25
23.500,69,0,0.125
23.625,68,11,0.125
23.750,68,11,0.25
24.000,66,9,0.125
24.125,64,7,0.125
24.250,66,9,0.43799999999999883
24.688,66,9,0.25
24.938,66,9,0.43700000000000117
25.375,66,9,0.25
25.625,64,7,0.125
25.750,66,9,0.125
25.875,61,4,0.125
26.000,59,2,0.062000000000001165
26.062,57,0,0.06299999999999883
26.125,59,2,0.06299999999999883
26.188,61,4,0.43700000000000117
26.625,59,2,0.18700000000000117
26.812,61,4,0.06299999999999883
26.875,59,2,0.06299999999999883
26.938,57,0,0.062000000000001165
27.000,57,0,0.625
27.625,61,4,0.375
28.000,59,2,0.125
28.125,57,0,1.125
29.250,61,4,0.125
29.375,59,2,0.125
29.500,57,0,0.125
29.625,57,0,0.625
30.250,61,4,0.125
30.375,59,2,0.125
30.500,57,0,0.25
30.750,57,0,0.875
31.625,61,4,0.125
31.750,64,7,0.125
31.875,66,9,0.75
32.625,61,4,0.125
32.750,64,7,0.08299999999999841
32.833,64,7,0.08400000000000318
32.917,66,9,0.08299999999999841
33.000,64,7,0.3119999999999976
33.312,66,9,1.0630000000000024
34.375,60,3,0.125
34.500,61,4,0.125
34.625,61,4,0.125
34.750,59,2,0.25
35.000,57,0,0.625
35.625,57,0,0.125
35.750,59,2,0.125
35.875,61,4,0.1869999999999976
36.062,59,2,0.06300000000000239
36.125,57,0,0.75
36.875,60,3,0.125
37.000,61,4,0.125
37.125,59,2,0.125
37.250,57,0,0.375
37.625,57,0,0.125
37.750,59,2,0.25
38.000,57,0,1.625
39.625,61,4,0.125
39.750,64,7,0.125
39.875,64,7,0.125
40.000,66,9,0.625
40.625,61,4,0.125
40.750,66,9,0.1880000000000024
40.938,66,9,0.4369999999999976
41.375,66,9,0.125
41.500,66,9,0.1880000000000024
41.688,64,7,0.1869999999999976
41.875,60,3,0.125
42.000,59,2,0.06199999999999761
42.062,57,0,0.06300000000000239
42.125,59,2,0.06300000000000239
42.188,61,4,0.4369999999999976
42.625,59,2,0.125
42.750,59,2,0.25
43.000,57,0,0.625
43.625,57,0,0.125
43.750,59,2,0.125
43.875,61,4,0.06300000000000239
43.938,59,2,0.06199999999999761
44.000,57,0,0.625
44.625,59,2,0.125
44.750,61,4,0.125
44.875,59,2,0.125
45.000,57,0,0.625
45.625,61,4,0.125
45.750,59,2,0.125
45.875,57,0,0.25
46.125,57,0,0.75
46.875,66,9,0.125
47.000,66,9,0.125
47.125,64,7,0.125
47.250,64,7,0.25
47.500,69,0,0.125
47.625,68,11,0.125
47.750,68,11,0.25
48.000,66,9,0.125
48.125,64,7,0.125
48.250,66,9,0.375
48.625,66,9,0.25
48.875,66,9,0.5
49.375,66,9,0.25
49.625,64,7,0.25
49.875,60,3,0.06300000000000239
49.938,59,2,0.06199999999999761
50.000,57,0,0.125
50.125,59,2,0.06300000000000239
50.188,61,4,0.4369999999999976
50.625,59,2,0.1869999999999976
50.812,61,4,0.06300000000000239
50.875,59,2,0.06300000000000239
50.938,57,0,0.06199999999999761
51.000,59,2,0.06199999999999761
51.062,57,0,0.5630000000000024
51.625,66,9,0.25
51.875,60,3,0.06300000000000239
51.938,59,2,0.06199999999999761
52.000,57,0,0.125
52.125,59,2,0.06300000000000239
52.188,57,0,1.0619999999999976
53.250,61,4,0.125
53.375,59,2,0.125
53.500,57,0,0.25
53.750,57,0,0.5
54.250,61,4,0.125
54.375,59,2,0.125
54.500,57,0,0.1880000000000024
54.688,57,0,16.311999999999998
71.000,66,9,0.125
71.125,64,7,0.125
71.250,64,7,0.25
71.500,69,0,0.125
71.625,68,11,0.125
71.750,68,11,0.25
72.000,66,9,0.125
72.125,64,7,0.125
72.250,66,9,0.375
72.625,66,9,0.25
72.875,66,9,0.5
73.375,66,9,0.25
73.625,64,7,0.25
73.875,60,3,0.125
74.000,59,2,0.06199999999999761
74.062,57,0,0.06300000000000239
74.125,59,2,0.06300000000000239
74.188,61,4,0.4369999999999976
74.625,59,2,0.1869999999999976
74.812,61,4,0.06300000000000239
74.875,59,2,0.06300000000000239
74.938,57,0,0.06199999999999761
75.000,59,2,0.06199999999999761
75.062,57,0,0.5630000000000024
75.625,66,9,0.25
75.875,60,3,0.125
76.000,57,0,0.1880000000000024
76.188,59,2,0.6869999999999976
76.875,61,4,0.125
77.000,59,2,0.06199999999999761
77.062,57,0,0.1880000000000024
77.250,57,0,0.625
77.875,61,4,0.125
78.000,59,2,0.06199999999999761
78.062,57,0,0.1880000000000024
78.250,57,0,0.625
78.875,66,9,0.125
79.000,66,9,0.125
79.125,64,7,0.125
79.250,64,7,0.125
79.375,66,9,0.125
79.500,64,7,0.125
79.625,66,9,0.125
79.750,64,7,0.125
