time,note,scale degree,length
4.000,59,2,0.06200000000000028
4.062,60,3,0.06299999999999972
4.125,61,4,0.125
4.250,61,4,0.06200000000000028
4.312,59,2,0.06299999999999972
4.375,57,0,0.06299999999999972
4.438,59,2,0.12400000000000055
4.562,59,2,0.06299999999999972
4.625,59,2,0.06299999999999972
4.688,52,7,0.3120000000000003
5.000,59,2,0.06200000000000028
5.062,61,4,0.18799999999999972
5.250,61,4,0.06200000000000028
5.312,61,4,0.06299999999999972
5.375,57,0,0.06299999999999972
5.438,59,2,0.5620000000000003
6.000,61,4,0.125
6.125,61,4,0.06299999999999972
6.188,61,4,0.12400000000000055
6.312,59,2,0.06299999999999972
6.375,57,0,0.125
6.500,59,2,0.125
6.625,59,2,0.06299999999999972
6.688,61,4,0.18700000000000028
6.875,55,10,0.06299999999999972
6.938,55,10,0.06200000000000028
7.000,57,0,0.18799999999999972
7.188,57,0,0.12400000000000055
7.312,54,9,0.12599999999999945
7.438,57,0,0.5620000000000003
8.000,59,2,0.06199999999999939
8.062,61,4,0.12600000000000122
8.188,57,0,0.06199999999999939
8.250,61,4,0.06199999999999939
8.312,59,2,0.12600000000000122
8.438,59,2,0.12399999999999878
8.562,59,2,0.06300000000000061
8.625,59,2,0.06300000000000061
8.688,52,7,0.3119999999999994
9.000,60,3,0.125
9.125,61,4,0.125
9.250,61,4,0.06199999999999939
9.312,61,4,0.06300000000000061
9.375,57,0,0.06300000000000061
9.438,59,2,0.5
9.938,52,7,0.06199999999999939
10.000,59,2,0.06199999999999939
10.062,61,4,0.06300000000000061
10.125,61,4,0.06300000000000061
10.188,61,4,0.1869999999999994
10.375,59,2,0.06300000000000061
10.438,57,0,0.06199999999999939
10.500,59,2,0.06199999999999939
10.562,59,2,0.12600000000000122
10.688,61,4,0.1869999999999994
10.875,55,10,0.06300000000000061
10.938,55,10,0.06199999999999939
11.000,55,10,0.125
11.125,55,10,0.06300000000000061
11.188,55,10,0.12399999999999878
11.312,55,10,0.06300000000000061
11.375,60,3,0.06300000000000061
11.438,57,0,0.06199999999999939
11.500,50,5,0.4380000000000006
11.938,57,0,0.06199999999999939
12.000,59,2,0.06199999999999939
12.062,59,2,0.12600000000000122
12.188,59,2,0.12399999999999878
12.312,59,2,0.06300000000000061
12.375,59,2,0.06300000000000061
12.438,59,2,0.06199999999999939
12.500,61,4,0.06199999999999939
12.562,61,4,0.06300000000000061
12.625,61,4,0.06300000000000061
12.688,66,9,0.25
12.938,64,7,0.1869999999999994
13.125,61,4,0.06300000000000061
13.188,61,4,0.06199999999999939
13.250,61,4,0.06199999999999939
13.312,61,4,0.12600000000000122
13.438,62,5,0.6869999999999994
14.125,59,2,0.06300000000000061
14.188,59,2,0.06199999999999939
14.250,59,2,0.06199999999999939
14.312,59,2,0.06300000000000061
14.375,59,2,0.06300000000000061
14.438,61,4,0.1869999999999994
14.625,66,9,0.25
14.875,64,7,0.125
15.000,67,10,0.125
15.125,64,7,0.125
15.250,64,7,0.125
15.375,61,4,0.06300000000000061
15.438,64,7,0.3119999999999994
15.750,59,2,0.06199999999999939
15.812,57,0,0.12600000000000122
15.938,59,2,1.0619999999999994
17.000,62,5,0.25
17.250,62,5,0.25
17.500,62,5,0.125
17.625,57,0,0.25
17.875,57,0,4.125
22.000,60,3,0.062000000000001165
22.062,61,4,0.18799999999999883
22.250,61,4,0.062000000000001165
22.312,61,4,0.06299999999999883
22.375,57,0,0.06299999999999883
22.438,59,2,0.12400000000000233
22.562,59,2,0.18799999999999883
22.750,59,2,0.375
23.125,60,3,0.06299999999999883
23.188,61,4,0.062000000000001165
23.250,61,4,0.062000000000001165
23.312,61,4,0.06299999999999883
23.375,61,4,0.6870000000000012
24.062,57,0,0.06299999999999883
24.125,61,4,0.06299999999999883
24.188,61,4,0.062000000000001165
24.250,61,4,0.062000000000001165
24.312,59,2,0.06299999999999883
24.375,57,0,0.06299999999999883
24.438,59,2,0.12400000000000233
24.562,59,2,0.12599999999999767
24.688,61,4,0.18700000000000117
24.875,55,10,0.06299999999999883
24.938,55,10,0.062000000000001165
25.000,55,10,0.062000000000001165
25.062,55,10,0.06299999999999883
25.125,55,10,0.06299999999999883
25.188,55,10,0.062000000000001165
25.250,57,0,0.062000000000001165
25.312,57,0,0.12599999999999767
25.438,57,0,0.5
25.938,64,7,0.062000000000001165
26.000,64,7,0.125
26.125,64,7,0.125
26.250,64,7,0.125
26.375,62,5,0.125
26.500,62,5,0.062000000000001165
26.562,62,5,0.06299999999999883
26.625,62,5,0.06299999999999883
26.688,64,7,0.25
26.938,57,0,0.062000000000001165
27.000,64,7,0.125
27.125,64,7,0.06299999999999883
27.188,64,7,0.12400000000000233
27.312,62,5,0.12599999999999767
27.438,62,5,0.6870000000000012
28.125,64,7,0.06299999999999883
28.188,64,7,0.12400000000000233
28.312,62,5,0.06299999999999883
28.375,61,4,0.06299999999999883
28.438,62,5,0.12400000000000233
28.562,62,5,0.12599999999999767
28.688,64,7,0.18700000000000117
28.875,57,0,0.06299999999999883
28.938,57,0,0.062000000000001165
29.000,57,0,0.125
29.125,57,0,0.06299999999999883
29.188,57,0,0.12400000000000233
29.312,57,0,0.12599999999999767
29.438,57,0,0.5
29.938,57,0,0.062000000000001165
30.000,59,2,0.062000000000001165
30.062,59,2,0.12599999999999767
30.188,59,2,0.062000000000001165
30.250,59,2,0.18799999999999883
30.438,59,2,0.062000000000001165
30.500,61,4,0.062000000000001165
30.562,61,4,0.12599999999999767
30.688,66,9,0.18700000000000117
30.875,66,9,0.06299999999999883
30.938,69,0,0.18700000000000117
31.125,64,7,0.125
31.250,64,7,0.062000000000001165
31.312,62,5,0.06299999999999883
31.375,61,4,0.06299999999999883
31.438,64,7,0.6239999999999988
32.062,55,10,0.06300000000000239
32.125,59,2,0.06300000000000239
32.188,59,2,0.06199999999999761
32.250,59,2,0.06199999999999761
32.312,59,2,0.06300000000000239
32.375,57,0,0.06300000000000239
32.438,59,2,0.12399999999999523
32.562,61,4,0.12600000000000477
32.688,66,9,0.12399999999999523
32.812,66,9,0.12600000000000477
32.938,67,10,0.1869999999999976
33.125,64,7,0.06300000000000239
33.188,67,10,0.12399999999999523
33.312,57,0,0.12600000000000477
33.438,60,3,0.1869999999999976
33.625,57,0,0.06300000000000239
33.688,57,0,0.06199999999999761
33.750,57,0,0.06199999999999761
33.812,57,0,0.06300000000000239
33.875,59,2,1.125
35.000,62,5,0.25
35.250,59,2,0.25
35.500,59,2,0.125
35.625,54,9,0.25
35.875,59,2,4.125
40.000,60,3,0.06199999999999761
40.062,60,3,0.06300000000000239
40.125,60,3,0.06300000000000239
40.188,60,3,0.1869999999999976
40.375,57,0,0.06300000000000239
40.438,57,0,0.06199999999999761
40.500,59,2,0.125
40.625,59,2,0.125
40.750,61,4,0.25
41.000,60,3,0.06199999999999761
41.062,61,4,0.06300000000000239
41.125,61,4,0.06300000000000239
41.188,61,4,0.06199999999999761
41.250,61,4,0.06199999999999761
41.312,59,2,0.06300000000000239
41.375,57,0,0.125
41.500,59,2,0.375
41.875,59,2,0.06300000000000239
41.938,60,3,0.06199999999999761
42.000,61,4,0.06199999999999761
42.062,61,4,0.06300000000000239
42.125,62,5,0.06300000000000239
42.188,64,7,0.12399999999999523
42.312,57,0,0.06300000000000239
42.375,59,2,0.1869999999999976
42.562,59,2,0.12600000000000477
42.688,60,3,0.12399999999999523
42.812,55,10,0.06300000000000239
42.875,55,10,0.125
43.000,57,0,0.125
43.125,57,0,0.06300000000000239
43.188,57,0,0.12399999999999523
43.312,52,7,0.12600000000000477
43.438,50,5,0.4369999999999976
43.875,64,7,0.06300000000000239
43.938,64,7,0.06199999999999761
44.000,64,7,0.1880000000000024
44.188,64,7,0.06199999999999761
44.250,64,7,0.1880000000000024
44.438,62,5,0.06199999999999761
44.500,62,5,0.06199999999999761
44.562,62,5,0.12600000000000477
44.688,64,7,0.1869999999999976
44.875,57,0,0.06300000000000239
44.938,57,0,0.06199999999999761
45.000,60,3,0.06199999999999761
45.062,60,3,0.06300000000000239
45.125,60,3,0.06300000000000239
45.188,60,3,0.06199999999999761
45.250,60,3,0.06199999999999761
45.312,57,0,0.12600000000000477
45.438,59,2,0.5619999999999976
46.000,61,4,0.06199999999999761
46.062,61,4,0.06300000000000239
46.125,61,4,0.06300000000000239
46.188,61,4,0.06199999999999761
46.250,61,4,0.125
46.375,59,2,0.06300000000000239
46.438,57,0,0.06199999999999761
46.500,59,2,0.06199999999999761
46.562,59,2,0.12600000000000477
46.688,61,4,0.1869999999999976
46.875,55,10,0.06300000000000239
46.938,55,10,0.12399999999999523
47.062,57,0,0.12600000000000477
47.188,57,0,0.12399999999999523
47.312,57,0,0.06300000000000239
47.375,57,0,0.06300000000000239
47.438,62,5,0.5619999999999976
48.000,59,2,0.06199999999999761
48.062,59,2,0.12600000000000477
48.188,59,2,0.06199999999999761
48.250,59,2,0.1880000000000024
48.438,57,0,0.06199999999999761
48.500,59,2,0.06199999999999761
48.562,61,4,0.06300000000000239
48.625,64,7,0.25
48.875,61,4,0.06300000000000239
48.938,64,7,0.1869999999999976
49.125,61,4,0.125
49.250,64,7,0.125
49.375,61,4,0.06300000000000239
49.438,62,5,0.5619999999999976
50.000,57,0,0.06199999999999761
50.062,59,2,0.12600000000000477
50.188,59,2,0.06199999999999761
50.250,59,2,0.06199999999999761
50.312,57,0,0.06300000000000239
50.375,61,4,0.06300000000000239
50.438,61,4,0.3739999999999952
50.812,62,5,0.06300000000000239
50.875,64,7,0.125
51.000,67,10,0.06199999999999761
51.062,67,10,0.06300000000000239
51.125,64,7,0.125
51.250,67,10,0.125
51.375,62,5,0.06300000000000239
51.438,67,10,0.25
51.688,57,0,0.06199999999999761
51.750,57,0,0.06199999999999761
51.812,57,0,0.12600000000000477
51.938,59,2,1.0619999999999976
53.000,62,5,0.25
53.250,60,3,0.25
53.500,62,5,0.125
53.625,57,0,0.375
54.000,59,2,4.0
58.000,61,4,0.06199999999999761
58.062,61,4,0.1880000000000024
58.250,61,4,0.06199999999999761
