time,note,scale degree,length
4.625,64,7,0.375
5.000,64,7,0.25
5.250,63,6,0.25
5.500,62,5,0.25
5.750,61,4,0.125
5.875,62,5,0.25
6.125,64,7,0.875
7.000,64,7,0.125
7.125,64,7,0.375
7.500,62,5,0.25
7.750,61,4,0.125
7.875,64,7,1.125
9.000,64,7,0.125
9.125,64,7,0.375
9.500,62,5,0.25
9.750,61,4,0.125
9.875,62,5,0.25
10.125,64,7,0.5
10.625,66,9,0.125
10.750,64,7,0.25
11.000,67,10,0.25
11.250,66,9,0.125
11.375,64,7,0.375
11.750,62,5,0.25
12.000,60,3,0.25
12.250,60,3,0.125
12.375,59,2,0.25
12.625,57,0,0.375
13.000,60,3,0.375
13.375,54,9,1.125
14.500,54,9,0.125
14.625,57,0,0.375
15.000,60,3,0.375
15.375,54,9,1.125
16.500,66,9,0.125
16.625,64,7,0.625
17.250,67,10,0.375
17.625,66,9,0.375
18.000,64,7,0.375
18.375,62,5,0.375
18.750,64,7,0.5
19.250,67,10,0.375
19.625,64,7,0.375
20.000,62,5,0.5
20.500,64,7,0.25
20.750,60,3,0.375
21.125,57,0,1.5
22.625,64,7,0.375
23.000,64,7,0.25
23.250,64,7,0.25
23.500,62,5,0.125
23.625,61,4,0.25
23.875,62,5,0.25
24.125,64,7,0.875
25.000,64,7,0.125
25.125,64,7,0.125
25.250,63,6,0.25
25.500,62,5,0.25
25.750,61,4,0.25
26.000,64,7,0.875
26.875,64,7,0.375
27.250,63,6,0.25
27.500,62,5,0.25
27.750,61,4,0.25
28.000,62,5,0.25
28.250,64,7,0.25
28.500,66,9,0.25
28.750,64,7,0.125
28.875,67,10,0.375
29.250,66,9,0.25
29.500,64,7,0.25
29.750,62,5,0.25
30.000,60,3,0.25
30.250,60,3,0.125
30.375,59,2,0.25
30.625,57,0,0.375
31.000,60,3,0.375
31.375,54,9,1.125
32.500,54,9,0.125
32.625,57,0,0.375
33.000,60,3,0.375
33.375,54,9,1.0
34.375,66,9,0.25
34.625,64,7,0.625
35.250,67,10,0.375
35.625,66,9,0.375
36.000,64,7,0.375
36.375,62,5,0.375
36.750,64,7,0.5
37.250,67,10,0.375
37.625,64,7,0.375
38.000,62,5,0.5
38.500,64,7,0.25
38.750,60,3,0.375
39.125,57,0,21.5
60.625,64,7,0.375
61.000,64,7,0.25
61.250,63,6,0.25
61.500,62,5,0.25
61.750,61,4,0.125
61.875,62,5,0.25
62.125,64,7,0.625
62.750,64,7,0.25
63.000,64,7,0.25
63.250,63,6,0.25
63.500,62,5,0.25
63.750,61,4,0.25
64.000,64,7,0.625
64.625,64,7,0.375
65.000,64,7,0.25
65.250,63,6,0.125
65.375,62,5,0.25
65.625,62,5,0.125
65.750,61,4,0.25
66.000,62,5,0.25
66.250,64,7,0.25
66.500,66,9,0.125
66.625,64,7,0.375
67.000,67,10,0.25
67.250,66,9,0.125
67.375,64,7,0.375
67.750,62,5,0.25
68.000,60,3,0.25
68.250,60,3,0.125
68.375,59,2,0.25
68.625,57,0,0.375
69.000,60,3,0.375
69.375,54,9,1.125
70.500,54,9,0.125
70.625,57,0,0.375
71.000,60,3,0.375
71.375,54,9,1.125
72.500,66,9,0.125
72.625,64,7,0.625
73.250,67,10,0.375
73.625,66,9,0.375
74.000,64,7,0.375
74.375,62,5,0.375
74.750,64,7,0.5
75.250,67,10,0.375
75.625,64,7,0.375
76.000,62,5,0.5
76.500,64,7,0.25
76.750,60,3,0.375
77.125,57,0,1.125
78.250,64,7,0.25
78.500,64,7,0.125
78.625,64,7,0.25
78.875,64,7,0.625
79.500,62,5,0.375
79.875,61,4,0.25
80.125,64,7,0.875
81.000,64,7,0.5
81.500,62,5,0.375
81.875,61,4,0.25
82.125,64,7,0.875
83.000,64,7,0.5
83.500,62,5,0.375
83.875,60,3,0.25
84.125,57,0,0.125
84.250,60,3,0.25
84.500,59,2,0.25
84.750,57,0,0.125
84.875,60,3,0.25
85.125,57,0,0.125
85.250,54,9,1.25
86.500,54,9,0.125
86.625,57,0,0.375
87.000,60,3,0.375
87.375,54,9,1.125
88.500,66,9,0.125
88.625,64,7,0.625
89.250,67,10,0.375
89.625,66,9,0.375
90.000,64,7,0.375
90.375,62,5,0.375
90.750,64,7,0.5
91.250,67,10,0.375
91.625,64,7,0.375
92.000,62,5,0.5
92.500,64,7,0.25
92.750,60,3,0.375
