time,note,scale degree,length
4.000,52,9,0.125
4.125,55,0,0.125
4.250,55,0,0.125
4.375,55,0,0.125
4.500,57,2,0.25
4.750,55,0,0.125
4.875,59,4,0.875
5.750,57,2,0.125
5.875,59,4,0.125
6.000,60,5,0.125
6.125,60,5,0.125
6.250,60,5,0.125
6.375,60,5,0.125
6.500,60,5,0.125
6.625,59,4,0.125
6.750,58,3,0.125
6.875,59,4,0.125
7.000,57,2,1.0
8.000,52,9,0.125
8.125,55,0,0.25
8.375,55,0,0.125
8.500,57,2,0.25
8.750,55,0,0.125
8.875,59,4,0.875
9.750,59,4,0.125
9.875,59,4,0.125
10.000,60,5,0.125
10.125,60,5,0.125
10.250,60,5,0.125
10.375,60,5,0.125
10.500,62,7,0.25
10.750,59,4,0.125
10.875,59,4,0.5
11.375,59,4,0.5
11.875,52,9,0.125
12.000,55,0,0.125
12.125,55,0,0.125
12.250,55,0,0.125
12.375,55,0,0.125
12.500,55,0,0.125
12.625,55,0,0.125
12.750,55,0,0.125
12.875,57,2,0.625
13.500,57,2,0.125
13.625,59,4,0.125
13.750,59,4,0.125
13.875,64,9,0.125
14.000,62,7,0.125
14.125,59,4,0.06300000000000061
14.188,57,2,0.06199999999999939
14.250,55,0,0.25
14.500,59,4,0.125
14.625,57,2,0.125
14.750,55,0,0.125
14.875,57,2,0.5
15.375,64,9,0.125
15.500,62,7,0.125
15.625,57,2,0.125
15.750,57,2,0.25
16.000,52,9,0.125
16.125,55,0,0.125
16.250,55,0,0.125
16.375,52,9,0.125
16.500,55,0,0.125
16.625,55,0,0.125
16.750,55,0,0.125
16.875,57,2,0.625
17.500,57,2,0.125
17.625,55,0,0.125
17.750,52,9,0.125
17.875,55,0,0.5629999999999988
18.438,59,4,0.12400000000000233
18.562,57,2,0.06299999999999883
18.625,55,0,0.375
19.000,52,9,0.875
19.875,52,9,0.125
20.000,55,0,0.125
20.125,55,0,0.31299999999999883
20.438,59,4,0.062000000000001165
20.500,57,2,0.062000000000001165
20.562,55,0,0.06299999999999883
20.625,52,9,0.125
20.750,55,0,0.125
20.875,59,4,0.25
21.125,59,4,0.75
21.875,60,5,0.25
22.125,60,5,0.125
22.250,60,5,0.125
22.375,58,3,0.125
22.500,60,5,0.125
22.625,59,4,0.25
22.875,59,4,1.0
23.875,52,9,0.125
24.000,55,0,0.125
24.125,55,0,0.375
24.500,57,2,0.125
24.625,55,0,0.125
24.750,55,0,0.125
24.875,59,4,0.25
25.125,59,4,0.5
25.625,55,0,0.125
25.750,59,4,0.125
25.875,59,4,0.125
26.000,60,5,0.125
26.125,60,5,0.125
26.250,60,5,0.125
26.375,60,5,0.125
26.500,60,5,0.125
26.625,59,4,0.125
26.750,58,3,0.125
