time,note,scale degree,length
36.125,64,0,0.375
36.500,64,0,0.125
36.625,64,0,0.125
36.750,64,0,0.125
36.875,64,0,0.125
37.000,67,3,0.125
37.125,64,0,0.125
37.250,62,10,0.125
37.375,64,0,0.875
38.250,64,0,0.125
38.375,64,0,0.125
38.500,67,3,0.125
38.625,64,0,0.125
38.750,64,0,0.125
38.875,64,0,0.125
39.000,67,3,0.125
39.125,64,0,0.25
39.375,64,0,0.25
39.625,62,10,0.25
39.875,59,7,0.125
40.000,57,5,0.125
40.125,55,3,0.125
40.250,57,5,1.375
41.625,64,0,0.125
41.750,59,7,0.25
42.000,64,0,1.625
43.625,64,0,0.25
43.875,59,7,0.125
44.000,62,10,4.25
48.250,64,0,0.125
48.375,62,10,0.125
48.500,64,0,0.25
48.750,64,0,0.125
48.875,62,10,0.125
49.000,64,0,0.125
49.125,62,10,0.125
49.250,64,0,1.0
50.250,64,0,0.125
50.375,67,3,0.25
50.625,67,3,0.125
50.750,64,0,0.25
51.000,68,4,0.125
51.125,64,0,0.25
51.375,64,0,0.25
51.625,62,10,0.25
51.875,58,6,0.25
52.125,57,5,0.25
52.375,55,3,0.25
52.625,52,0,1.0
53.625,64,0,0.125
53.750,59,7,0.25
54.000,64,0,1.625
55.625,64,0,0.25
55.875,59,7,0.125
56.000,62,10,4.25
60.250,64,0,0.125
60.375,62,10,0.125
60.500,64,0,0.125
60.625,64,0,0.625
61.250,64,0,0.125
61.375,62,10,0.125
61.500,64,0,0.625
62.125,62,10,0.125
62.250,64,0,0.125
62.375,64,0,0.125
62.500,67,3,0.125
62.625,64,0,0.125
62.750,64,0,0.125
62.875,64,0,0.125
63.000,67,3,0.125
63.125,64,0,0.25
63.375,64,0,0.25
63.625,62,10,0.25
63.875,57,5,0.5
64.375,55,3,0.25
64.625,52,0,0.75
65.375,59,7,0.125
65.500,64,0,0.125
65.625,64,0,0.125
65.750,59,7,0.125
65.875,64,0,1.625
67.500,64,0,0.125
67.625,64,0,0.125
67.750,59,7,0.125
67.875,62,10,16.375
84.250,64,0,0.125
84.375,64,0,0.125
84.500,67,3,0.125
84.625,64,0,0.125
84.750,64,0,0.25
85.000,67,3,0.125
85.125,62,10,0.125
85.250,64,0,1.0
86.250,64,0,0.125
86.375,67,3,0.25
86.625,69,5,0.125
86.750,67,3,0.25
87.000,70,6,0.125
87.125,70,6,0.125
87.250,69,5,0.25
87.500,67,3,0.125
87.625,64,0,0.25
87.875,57,5,1.75
89.625,64,0,0.125
89.750,59,7,0.25
90.000,64,0,1.625
91.625,64,0,0.25
91.875,59,7,0.125
92.000,62,10,4.25
96.250,64,0,0.125
96.375,62,10,0.125
96.500,64,0,0.25
96.750,64,0,0.125
96.875,64,0,0.125
97.000,67,3,0.125
97.125,64,0,0.25
97.375,64,0,0.875
98.250,64,0,0.125
98.375,64,0,0.125
98.500,67,3,0.125
98.625,64,0,0.125
98.750,67,3,0.25
99.000,64,0,0.125
99.125,67,3,0.25
99.375,64,0,0.25
99.625,64,0,0.5
100.125,57,5,0.375
100.500,52,0,1.0
101.500,64,0,0.125
101.625,64,0,0.25
101.875,64,0,1.75
103.625,64,0,0.25
103.875,59,7,0.125
104.000,62,10,2.5
106.500,64,0,0.75
107.250,64,0,0.125
107.375,64,0,0.125
107.500,67,3,0.125
107.625,64,0,0.25
107.875,64,0,0.375
108.250,64,0,1.0
109.250,64,0,0.125
109.375,64,0,0.125
109.500,67,3,0.125
109.625,64,0,0.25
109.875,67,3,0.125
110.000,64,0,0.125
110.125,64,0,1.125
111.250,64,0,0.125
111.375,64,0,0.125
111.500,67,3,0.125
111.625,64,0,0.25
111.875,61,9,0.25
112.125,64,0,1.125
113.250,64,0,0.125
113.375,64,0,0.125
113.500,67,3,0.125
113.625,69,5,0.25
113.875,67,3,0.125
114.000,64,0,0.125
114.125,64,0,1.125
115.250,64,0,0.125
115.375,64,0,0.125
115.500,67,3,0.125
115.625,64,0,0.25
115.875,62,10,1.375
117.250,64,0,0.125
117.375,64,0,0.125
117.500,67,3,0.125
117.625,64,0,0.25
117.875,64,0,0.25
118.125,62,10,0.125
118.250,64,0,0.625
118.875,64,0,0.5
119.375,64,0,0.25
119.625,64,0,0.125
119.750,62,10,0.125
119.875,64,0,1.375
121.250,64,0,0.125
121.375,64,0,0.125
121.500,67,3,0.125
121.625,69,5,0.125
121.750,71,7,0.125
121.875,67,3,0.125
122.000,64,0,0.125
122.125,64,0,1.125
123.250,64,0,0.125
123.375,64,0,0.125
123.500,67,3,0.125
123.625,64,0,0.125
123.750,59,7,0.125
123.875,61,9,0.25
124.125,64,0,1.125
125.250,64,0,0.125
125.375,64,0,0.125
125.500,67,3,0.125
125.625,69,5,0.125
125.750,71,7,0.125
125.875,67,3,0.125
126.000,64,0,0.125
126.125,64,0,0.375
126.500,64,0,0.75
127.250,64,0,0.125
127.375,64,0,0.125
127.500,67,3,0.125
127.625,64,0,0.125
127.750,59,7,0.125
127.875,62,10,1.375
129.250,64,0,0.25
129.500,67,3,0.125
129.625,64,0,0.125
129.750,62,10,0.125
129.875,64,0,0.375
