time,note,scale degree,length
16.000,57,0,0.125
16.125,57,0,0.125
16.250,57,0,0.125
16.375,57,0,0.375
16.750,59,2,0.125
16.875,57,0,0.125
17.000,55,10,0.875
17.875,55,10,0.125
18.000,55,10,0.125
18.125,55,10,0.125
18.250,55,10,0.125
18.375,55,10,0.125
18.500,55,10,0.375
18.875,55,10,0.06299999999999883
18.938,55,10,0.062000000000001165
19.000,57,0,0.875
19.875,55,10,0.125
20.000,57,0,0.125
20.125,57,0,0.125
20.250,57,0,0.125
20.375,57,0,0.375
20.750,59,2,0.125
20.875,57,0,0.125
21.000,55,10,0.125
21.125,55,10,0.875
22.000,55,10,0.125
22.125,55,10,0.125
22.250,52,7,0.125
22.375,55,10,0.25
22.625,52,7,0.375
23.000,56,11,0.25
23.250,52,7,0.125
23.375,56,11,0.25
23.625,57,0,0.25
23.875,57,0,0.125
24.000,57,0,0.125
24.125,57,0,0.125
24.250,57,0,0.125
24.375,57,0,0.375
24.750,59,2,0.125
24.875,57,0,0.25
25.125,55,10,0.75
25.875,52,7,0.125
26.000,55,10,0.125
26.125,55,10,0.125
26.250,52,7,0.125
26.375,55,10,0.25
26.625,55,10,0.125
26.750,52,7,0.125
26.875,56,11,0.125
27.000,52,7,1.0
28.000,57,0,0.25
28.250,57,0,0.125
28.375,57,0,0.375
28.750,59,2,0.25
29.000,57,0,0.125
29.125,55,10,0.125
29.250,55,10,0.125
29.375,57,0,0.25
29.625,59,2,0.5
30.125,56,11,0.125
30.250,56,11,0.125
30.375,56,11,0.125
30.500,56,11,0.375
30.875,56,11,0.125
31.000,56,11,0.125
31.125,56,11,0.125
31.250,56,11,0.25
31.500,57,0,0.125
31.625,59,2,0.375
32.000,57,0,0.125
32.125,57,0,0.125
32.250,57,0,0.125
32.375,57,0,0.25
32.625,57,0,0.125
32.750,59,2,0.125
32.875,57,0,0.25
33.125,55,10,0.75
33.875,55,10,0.125
34.000,55,10,0.125
34.125,55,10,0.125
34.250,55,10,0.125
34.375,55,10,0.25
34.625,55,10,0.125
34.750,55,10,0.125
34.875,57,0,0.125
35.000,57,0,1.0
36.000,57,0,0.125
36.125,57,0,0.125
36.250,57,0,0.125
36.375,57,0,0.25
36.625,57,0,0.125
36.750,59,2,0.125
36.875,57,0,0.25
37.125,55,10,0.875
38.000,55,10,0.125
38.125,55,10,0.125
38.250,55,10,0.125
38.375,55,10,0.25
38.625,55,10,0.25
38.875,55,10,0.125
39.000,56,11,0.25
39.250,52,7,0.25
39.500,56,11,0.25
39.750,57,0,0.25
40.000,57,0,0.125
40.125,57,0,0.125
40.250,57,0,0.125
40.375,57,0,0.25
40.625,57,0,0.125
40.750,57,0,0.06199999999999761
40.812,59,2,0.06300000000000239
40.875,57,0,0.25
41.125,55,10,0.875
42.000,55,10,0.125
42.125,55,10,0.125
42.250,55,10,0.125
42.375,55,10,0.25
42.625,55,10,0.125
42.750,57,0,0.125
42.875,57,0,0.25
43.125,52,7,0.875
44.000,57,0,0.125
44.125,57,0,0.125
44.250,57,0,0.125
44.375,57,0,0.25
44.625,57,0,0.125
44.750,59,2,0.125
44.875,57,0,0.125
45.000,55,10,1.0
46.000,55,10,0.125
46.125,55,10,0.125
