time,note,scale degree,length
0.750,72,0,0.25
1.000,76,4,0.25
1.250,76,4,0.18799999999999994
1.438,74,2,0.062000000000000055
1.500,76,4,0.125
1.625,76,4,0.125
1.750,74,2,0.125
1.875,72,0,0.125
2.000,77,5,0.125
2.125,69,9,1.0
3.125,72,0,0.125
3.250,76,4,0.125
3.375,76,4,0.125
3.500,76,4,0.06199999999999983
3.562,74,2,0.06300000000000017
3.625,72,0,0.25
3.875,72,0,0.06300000000000017
3.938,72,0,0.06199999999999983
4.000,77,5,0.125
4.125,69,9,0.75
4.875,72,0,0.125
5.000,76,4,0.25
5.250,76,4,0.125
5.375,74,2,0.125
5.500,76,4,0.25
5.750,74,2,0.125
5.875,72,0,0.125
6.000,77,5,0.125
6.125,69,9,0.625
6.750,72,0,0.125
6.875,72,0,0.125
7.000,76,4,0.25
7.250,76,4,0.125
7.375,74,2,0.375
7.750,74,2,0.125
7.875,72,0,0.125
8.000,77,5,0.125
8.125,69,9,0.625
8.750,72,0,0.125
8.875,72,0,0.125
9.000,76,4,0.25
9.250,76,4,0.125
9.375,74,2,0.125
9.500,76,4,0.25
9.750,74,2,0.125
9.875,72,0,0.125
10.000,77,5,0.125
10.125,69,9,0.75
10.875,72,0,0.125
11.000,76,4,0.25
11.250,76,4,0.125
11.375,74,2,0.125
11.500,76,4,0.25
11.750,74,2,0.125
11.875,72,0,0.125
12.000,77,5,0.125
12.125,69,9,0.75
12.875,72,0,0.125
13.000,76,4,0.25
13.250,76,4,0.125
13.375,74,2,0.125
13.500,76,4,0.25
13.750,74,2,0.125
13.875,72,0,0.125
14.000,77,5,0.125
14.125,69,9,0.6869999999999994
14.812,72,0,0.06300000000000061
14.875,72,0,0.06300000000000061
14.938,72,0,0.06199999999999939
15.000,76,4,0.125
15.125,74,2,0.125
15.250,69,9,0.625
15.875,69,9,0.125
16.000,72,0,0.6879999999999988
16.688,72,0,0.062000000000001165
16.750,77,5,0.062000000000001165
16.812,77,5,0.12599999999999767
16.938,77,5,0.062000000000001165
17.000,76,4,8.875
25.875,60,0,0.125
26.000,64,4,0.25
26.250,64,4,0.125
26.375,60,0,0.06299999999999883
26.438,64,4,0.18700000000000117
26.625,62,2,0.125
26.750,62,2,0.062000000000001165
26.812,60,0,0.06299999999999883
26.875,64,4,0.25
27.125,57,9,1.0
28.125,60,0,0.06299999999999883
28.188,64,4,0.18700000000000117
28.375,64,4,0.06299999999999883
28.438,64,4,0.12400000000000233
28.562,60,0,0.18799999999999883
28.750,62,2,0.062000000000001165
28.812,60,0,0.06299999999999883
28.875,62,2,0.125
29.000,57,9,0.8120000000000012
29.812,60,0,0.12599999999999767
29.938,64,4,0.25
30.188,64,4,0.062000000000001165
30.250,62,2,0.062000000000001165
30.312,64,4,0.12599999999999767
30.438,62,2,0.062000000000001165
30.500,64,4,0.25
30.750,62,2,0.125
30.875,60,0,0.06299999999999883
30.938,64,4,0.18700000000000117
31.125,57,9,0.625
31.750,60,0,0.062000000000001165
31.812,60,0,0.18799999999999883
32.000,64,4,0.25
32.250,64,4,0.1880000000000024
32.438,64,4,0.1869999999999976
32.625,64,4,0.125
32.750,62,2,0.125
32.875,62,2,0.125
33.000,57,9,0.8119999999999976
33.812,60,0,0.1880000000000024
34.000,64,4,0.25
34.250,64,4,0.125
34.375,64,4,0.125
34.500,64,4,0.25
34.750,62,2,0.125
34.875,60,0,0.06300000000000239
34.938,62,2,0.12399999999999523
35.062,57,9,0.75
35.812,60,0,0.1880000000000024
36.000,64,4,0.25
36.250,64,4,0.125
36.375,64,4,0.125
36.500,64,4,0.25
36.750,62,2,0.125
36.875,60,0,0.06300000000000239
36.938,62,2,0.12399999999999523
37.062,57,9,0.75
37.812,60,0,0.1880000000000024
38.000,64,4,0.25
38.250,64,4,0.125
38.375,64,4,0.125
38.500,64,4,0.25
38.750,62,2,0.125
38.875,60,0,0.06300000000000239
38.938,62,2,0.12399999999999523
39.062,57,9,0.75
39.812,60,0,0.06300000000000239
39.875,60,0,0.06300000000000239
39.938,60,0,0.06199999999999761
40.000,64,4,0.125
40.125,62,2,0.125
40.250,57,9,0.5619999999999976
40.812,55,7,0.06300000000000239
40.875,57,9,0.06300000000000239
40.938,60,0,0.1869999999999976
41.125,57,9,0.125
41.250,55,7,0.06199999999999761
41.312,53,5,0.3760000000000048
41.688,60,0,0.06199999999999761
41.750,65,5,0.06199999999999761
41.812,65,5,0.12600000000000477
41.938,65,5,0.06199999999999761
42.000,64,4,0.625
42.625,63,3,0.75
43.375,57,9,0.5
43.875,63,3,0.06300000000000239
43.938,63,3,0.06199999999999761
44.000,63,3,0.625
44.625,63,3,1.1869999999999976
45.812,60,0,0.06300000000000239
45.875,60,0,0.06300000000000239
45.938,64,4,0.1869999999999976
46.125,62,2,0.06300000000000239
46.188,60,0,0.4369999999999976
46.625,62,2,0.06300000000000239
46.688,60,0,0.12399999999999523
46.812,62,2,0.06300000000000239
46.875,60,0,0.1869999999999976
47.062,62,2,0.1880000000000024
47.250,57,9,0.5619999999999976
47.812,60,0,0.12600000000000477
47.938,64,4,0.1869999999999976
48.125,62,2,0.06300000000000239
48.188,60,0,0.1869999999999976
48.375,64,4,0.125
48.500,62,2,0.06199999999999761
48.562,60,0,0.1880000000000024
48.750,62,2,0.06199999999999761
48.812,60,0,0.12600000000000477
48.938,62,2,0.12399999999999523
49.062,57,9,0.6880000000000024
49.750,60,0,0.06199999999999761
