time,note,scale degree,length
0.750,59,4,0.16700000000000004
0.917,62,7,0.08299999999999996
1.000,64,9,0.33299999999999996
1.333,62,7,0.08400000000000007
1.417,64,9,0.08299999999999996
1.500,62,7,0.5
2.000,59,4,0.16699999999999982
2.167,57,2,0.6660000000000004
2.833,59,4,0.08399999999999963
2.917,62,7,0.08300000000000018
3.000,59,4,0.16699999999999982
3.167,64,9,0.3330000000000002
3.500,62,7,0.08300000000000018
3.583,64,9,0.08399999999999963
3.667,62,7,0.41600000000000037
4.083,59,4,0.16699999999999982
4.250,57,2,0.6669999999999998
4.917,59,4,0.08300000000000018
5.000,62,7,0.16699999999999982
5.167,64,9,0.25
5.417,62,7,0.08300000000000018
5.500,64,9,0.08300000000000018
5.583,62,7,0.5
6.083,59,4,0.16699999999999982
6.250,57,2,0.5
6.750,57,2,0.08300000000000018
6.833,55,0,0.08399999999999963
6.917,52,9,0.16600000000000037
7.083,55,0,0.16699999999999982
7.250,55,0,0.08300000000000018
7.333,57,2,0.08399999999999963
7.417,59,4,0.08300000000000018
7.500,52,9,0.25
7.750,55,0,0.08300000000000018
7.833,57,2,0.08399999999999963
7.917,59,4,0.08300000000000018
8.000,57,2,0.25
8.250,67,0,0.16699999999999982
8.417,66,11,0.08300000000000018
8.500,64,9,0.08300000000000018
8.583,67,0,0.08399999999999963
8.667,66,11,0.08300000000000018
8.750,64,9,0.4169999999999998
9.167,64,9,0.16600000000000037
9.333,62,7,0.08399999999999963
9.417,64,9,0.08300000000000018
9.500,62,7,0.5830000000000002
10.083,59,4,0.16699999999999982
10.250,57,2,0.5
10.750,59,4,0.08300000000000018
10.833,62,7,0.08399999999999963
10.917,59,4,0.08300000000000018
11.000,64,9,0.3330000000000002
11.333,62,7,0.16699999999999982
11.500,64,9,0.16699999999999982
11.667,62,7,0.3330000000000002
12.000,59,4,0.16699999999999982
12.167,57,2,0.5830000000000002
12.750,59,4,0.08300000000000018
12.833,62,7,0.08399999999999963
12.917,59,4,0.08300000000000018
13.000,64,9,0.4169999999999998
13.417,62,7,0.16600000000000037
13.583,64,9,0.16699999999999982
13.750,62,7,0.3330000000000002
14.083,59,4,0.16699999999999982
14.250,57,2,0.5
14.750,57,2,0.08300000000000018
14.833,55,0,0.25
15.083,52,9,0.08399999999999963
15.167,55,0,1.5830000000000002
16.750,55,0,0.25
17.000,57,2,0.25
17.250,57,2,0.08299999999999841
17.333,57,2,0.08400000000000318
17.417,59,4,0.08299999999999841
17.500,55,0,0.08299999999999841
17.583,57,2,0.4170000000000016
18.000,55,0,0.08299999999999841
18.083,57,2,0.08400000000000318
18.167,59,4,0.16599999999999682
18.333,55,0,0.5840000000000032
18.917,50,7,0.08299999999999841
19.000,57,2,0.4170000000000016
19.417,57,2,0.08299999999999841
19.500,57,2,0.1670000000000016
19.667,55,0,0.16599999999999682
19.833,64,9,0.3340000000000032
20.167,62,7,0.16599999999999682
20.333,64,9,0.08400000000000318
20.417,59,4,0.8329999999999984
21.250,57,2,0.08299999999999841
21.333,57,2,0.1670000000000016
21.500,57,2,0.25
21.750,55,0,0.1670000000000016
21.917,57,2,0.25
22.167,59,4,0.16599999999999682
22.333,55,0,0.5840000000000032
22.917,52,9,0.08299999999999841
23.000,59,4,0.1670000000000016
23.167,57,2,0.08299999999999841
23.250,55,0,0.25
23.500,55,0,0.1670000000000016
23.667,57,2,0.16599999999999682
23.833,59,4,0.1670000000000016
24.000,59,4,0.08299999999999841
24.083,57,2,0.1670000000000016
24.250,67,0,0.1670000000000016
24.417,66,11,0.08299999999999841
24.500,64,9,0.08299999999999841
24.583,67,0,0.08400000000000318
24.667,66,11,0.08299999999999841
24.750,64,9,0.4170000000000016
25.167,64,9,0.25
25.417,62,7,0.16599999999999682
25.583,64,9,0.1670000000000016
25.750,62,7,0.3329999999999984
26.083,59,4,0.1670000000000016
26.250,57,2,0.5
26.750,59,4,0.08299999999999841
26.833,62,7,0.08400000000000318
26.917,59,4,0.08299999999999841
27.000,64,9,0.3329999999999984
27.333,62,7,0.1670000000000016
27.500,64,9,0.08299999999999841
27.583,62,7,0.4170000000000016
28.000,59,4,0.1670000000000016
28.167,57,2,0.5
28.667,67,0,0.08299999999999841
28.750,66,11,0.08299999999999841
28.833,64,9,0.08400000000000318
28.917,59,4,0.25
29.167,64,9,0.25
29.417,62,7,0.08299999999999841
29.500,64,9,0.08299999999999841
29.583,62,7,0.5
30.083,59,4,0.1670000000000016
30.250,57,2,0.5
30.750,57,2,0.08299999999999841
30.833,55,0,0.1670000000000016
31.000,52,9,0.08299999999999841
31.083,55,0,0.25
31.333,57,2,0.08400000000000318
31.417,55,0,2.5829999999999984
34.000,67,0,0.1670000000000016
34.167,66,11,0.08299999999999841
34.250,64,9,0.1670000000000016
34.417,59,4,0.08299999999999841
34.500,62,7,0.08299999999999841
34.583,64,9,0.08400000000000318
34.667,66,11,0.08299999999999841
34.750,64,9,0.1670000000000016
34.917,62,7,0.8329999999999984
35.750,67,0,0.1670000000000016
35.917,66,11,0.16599999999999682
36.083,66,11,0.1670000000000016
36.250,64,9,0.1670000000000016
36.417,59,4,0.08299999999999841
36.500,62,7,0.08299999999999841
36.583,59,4,0.08400000000000318
36.667,62,7,0.25
36.917,66,11,0.16599999999999682
37.083,64,9,0.6670000000000016
37.750,66,11,0.1670000000000016
37.917,64,9,0.3329999999999984
38.250,59,4,0.3329999999999984
38.583,57,2,0.25
38.833,57,2,0.08400000000000318
38.917,55,0,0.08299999999999841
39.000,52,9,0.08299999999999841
39.083,55,0,0.1670000000000016
39.250,55,0,0.08299999999999841
39.333,57,2,0.08400000000000318
39.417,55,0,0.08299999999999841
39.500,52,9,0.5
40.000,67,0,0.1670000000000016
40.167,66,11,0.08299999999999841
40.250,64,9,0.1670000000000016
40.417,62,7,0.08299999999999841
40.500,64,9,0.08299999999999841
40.583,67,0,0.08400000000000318
40.667,66,11,0.08299999999999841
40.750,64,9,1.1670000000000016
41.917,67,0,0.08299999999999841
42.000,67,0,0.08299999999999841
42.083,66,11,0.1670000000000016
42.250,66,11,0.08299999999999841
42.333,64,9,0.1670000000000016
42.500,59,4,0.1670000000000016
42.667,62,7,0.08299999999999841
42.750,59,4,0.08299999999999841
42.833,66,11,0.3340000000000032
43.167,64,9,0.5829999999999984
43.750,67,0,0.25
44.000,64,9,0.08299999999999841
44.083,66,11,0.08400000000000318
44.167,64,9,0.08299999999999841
44.250,62,7,0.1670000000000016
44.417,59,4,0.08299999999999841
44.500,62,7,0.08299999999999841
44.583,59,4,0.08400000000000318
44.667,62,7,0.16599999999999682
44.833,66,11,0.1670000000000016
45.000,64,9,0.6670000000000016
45.667,66,11,0.16599999999999682
45.833,64,9,0.3340000000000032
