,note,length,diatonic root
0,55.0,0.125,5.0
1,57.0,0.125,5.0
2,60.0,0.375,5.0
3,57.0,0.125,1.0
4,55.0,0.125,1.0
5,57.0,0.125,1.0
6,60.0,0.625,1.0
7,52.0,0.125,1.0
8,55.0,0.125,1.0
9,55.0,0.125,1.0
10,57.0,0.125,1.0
11,52.0,0.375,1.0
12,52.0,0.125,1.0
13,52.0,0.125,2.0
14,50.0,0.125,2.0
15,50.0,0.25,2.0
16,48.0,0.125,2.0
17,50.0,0.125,2.0
18,52.0,0.125,2.0
19,52.0,0.125,2.0
20,52.0,0.125,2.0
21,52.0,0.125,2.0
22,50.0,0.125,2.0
23,48.0,0.375,2.0
24,50.0,0.125,6.0
25,48.0,0.125,6.0
26,45.0,0.125,6.0
27,43.0,0.25,6.0
28,52.0,0.125,6.0
29,55.0,0.125,6.0
30,57.0,0.125,6.0
31,52.0,0.375,6.0
32,50.0,0.125,1.0
33,48.0,0.5,1.0
34,48.0,0.125,1.0
35,57.0,0.125,1.0
36,50.0,0.125,1.0
37,52.0,0.125,2.0
38,50.0,0.125,2.0
39,48.0,0.125,2.0
40,48.0,0.125,2.0
41,50.0,0.125,2.0
42,52.0,0.125,2.0
43,50.0,0.125,4.0
44,52.0,0.125,4.0
45,50.0,0.375,4.0
46,40.0,0.125,6.0
47,50.0,0.125,6.0
48,50.0,0.125,6.0
49,48.0,0.125,6.0
50,45.0,0.5,6.0
51,52.0,0.125,6.0
52,50.0,0.125,6.0
53,48.0,0.125,1.0
54,48.0,0.875,1.0
55,55.0,0.125,1.0
56,57.0,0.125,1.0
57,60.0,0.375,1.0
58,57.0,0.125,1.0
59,57.0,0.125,1.0
60,60.0,0.375,1.0
61,52.0,0.125,1.0
62,55.0,0.125,1.0
63,52.0,0.125,1.0
64,57.0,0.25,1.0
65,55.0,0.125,1.0
66,52.0,0.25,1.0
67,50.0,0.125,1.0
68,52.0,0.125,1.0
69,50.0,0.125,1.0
70,48.0,0.5,1.0
71,45.0,0.125,2.0
72,50.0,0.125,2.0
73,50.0,0.125,2.0
74,50.0,0.125,2.0
75,48.0,0.125,2.0
76,50.0,0.125,2.0
77,52.0,0.25,2.0
78,50.0,0.125,2.0
79,48.0,0.375,2.0
80,45.0,0.125,6.0
81,50.0,0.125,6.0
82,48.0,0.125,6.0
83,45.0,0.125,6.0
84,43.0,0.25,6.0
85,52.0,0.125,6.0
86,55.0,0.125,6.0
87,57.0,0.125,6.0
88,52.0,0.375,6.0
89,50.0,0.125,1.0
90,48.0,0.375,1.0
91,48.0,0.125,1.0
92,57.0,0.125,1.0
93,50.0,0.125,1.0
94,52.0,0.125,2.0
95,50.0,0.125,2.0
96,48.0,0.125,2.0
97,48.0,0.125,2.0
98,50.0,0.125,2.0
99,52.0,0.125,2.0
100,50.0,0.125,4.0
101,52.0,0.125,4.0
102,50.0,0.375,4.0
103,40.0,0.125,6.0
104,50.0,0.125,6.0
105,50.0,0.125,6.0
106,48.0,0.125,6.0
107,45.0,0.5,6.0
108,52.0,0.125,6.0
109,50.0,0.125,6.0
110,48.0,0.125,1.0
111,48.0,0.875,1.0
112,57.0,0.125,1.0
113,60.0,0.375,1.0
114,57.0,0.125,1.0
115,55.0,0.125,1.0
116,57.0,0.125,1.0
117,60.0,0.375,1.0
118,52.0,0.125,1.0
119,55.0,0.125,1.0
120,57.0,0.25,1.0
121,55.0,0.125,1.0
122,57.0,0.125,1.0
123,52.0,0.25,1.0
124,50.0,0.125,1.0
125,48.0,0.5,1.0
126,50.0,0.125,2.0
