,note,length,diatonic root
0,52.0,0.25,1.0
1,55.0,0.25,1.0
2,52.0,0.125,1.0
3,57.0,0.375,1.0
4,52.0,0.125,3.0
5,55.0,0.375,3.0
6,57.0,0.5,3.0
7,52.0,2.0,6.0
8,48.0,0.125,4.0
9,52.0,0.375,4.0
10,53.0,0.25,4.0
11,52.0,0.125,4.0
12,50.0,0.125,6.0
13,48.0,0.5,6.0
14,50.0,0.25,6.0
15,45.0,0.25,6.0
16,52.0,0.125,2.0
17,52.0,1.875,2.0
18,52.0,0.25,1.0
19,55.0,0.25,1.0
20,55.0,0.125,1.0
21,57.0,0.375,1.0
22,52.0,0.25,3.0
23,55.0,0.25,3.0
24,57.0,0.25,3.0
25,52.0,2.25,3.0
26,48.0,0.25,4.0
27,52.0,0.25,4.0
28,53.0,0.25,4.0
29,52.0,0.25,4.0
30,47.0,0.125,7.0
31,45.0,0.25,7.0
32,47.0,0.125,7.0
33,45.0,2.5,7.0
34,48.0,0.25,4.0
35,52.0,0.25,4.0
36,53.0,0.25,4.0
37,52.0,0.25,4.0
38,47.0,0.125,7.0
39,45.0,0.25,7.0
40,47.0,0.125,7.0
41,45.0,2.5,7.0
42,55.0,0.25,1.0
43,55.0,0.125,1.0
44,55.0,0.25,1.0
45,57.0,0.375,1.0
46,52.0,0.25,3.0
47,55.0,0.125,3.0
48,57.0,0.25,3.0
49,52.0,2.25,3.0
50,48.0,0.25,4.0
51,52.0,0.125,4.0
52,53.0,0.25,4.0
53,52.0,0.25,4.0
54,50.0,0.375,6.0
55,48.0,0.25,6.0
56,50.0,0.125,6.0
57,45.0,0.375,6.0
58,52.0,0.25,2.0
59,52.0,1.75,2.0
60,52.0,0.25,1.0
61,55.0,0.25,1.0
62,52.0,0.25,1.0
63,57.0,0.125,1.0
64,52.0,0.375,3.0
65,55.0,0.125,3.0
66,57.0,0.375,3.0
67,52.0,2.25,3.0
68,48.0,0.25,4.0
69,52.0,0.25,4.0
70,53.0,0.25,4.0
71,52.0,0.25,4.0
72,47.0,0.125,7.0
73,45.0,0.625,7.0
74,48.0,0.125,7.0
75,50.0,0.125,6.0
76,52.0,0.125,6.0
77,50.0,0.125,6.0
78,52.0,0.125,6.0
79,50.0,0.125,6.0
80,52.0,0.125,6.0
81,50.0,0.125,6.0
82,52.0,0.125,6.0
83,50.0,0.125,6.0
84,52.0,0.125,6.0
85,50.0,0.125,6.0
86,52.0,0.25,6.0
87,57.0,0.25,6.0
88,60.0,2.25,6.0
89,52.0,0.25,1.0
90,55.0,0.25,1.0
91,52.0,0.25,1.0
92,57.0,0.25,1.0
93,52.0,0.125,3.0
94,55.0,0.375,3.0
95,57.0,0.5,3.0
96,52.0,2.0,6.0
97,48.0,0.25,4.0
98,52.0,0.25,4.0
99,53.0,0.125,4.0
100,52.0,0.375,4.0
101,50.0,0.25,6.0
102,48.0,0.25,6.0
103,50.0,0.25,6.0
104,45.0,0.25,6.0
105,52.0,0.125,2.0
106,52.0,1.875,2.0
107,52.0,0.25,1.0
108,55.0,0.25,1.0
109,52.0,0.25,1.0
110,57.0,0.125,1.0
111,52.0,0.375,3.0
112,55.0,0.25,3.0
113,57.0,0.125,3.0
114,52.0,2.25,3.0
115,48.0,0.125,4.0
116,52.0,0.375,4.0
117,53.0,0.25,4.0
118,52.0,0.25,4.0
119,47.0,0.125,7.0
120,45.0,1.125,7.0
121,52.0,0.25,6.0
122,53.0,0.25,6.0
123,52.0,0.5,6.0
124,57.0,0.5,6.0
125,60.0,1.75,6.0
126,57.0,0.25,4.0
127,60.0,0.5,4.0
128,57.0,0.5,4.0
129,52.0,0.125,4.0
130,55.0,0.125,5.0
131,55.0,0.125,5.0
132,55.0,0.125,5.0
133,55.0,0.125,5.0
134,55.0,0.125,5.0
135,55.0,0.125,5.0
136,55.0,0.125,5.0
137,55.0,0.125,5.0
138,55.0,0.125,5.0
139,55.0,0.125,5.0
140,55.0,0.125,5.0
141,55.0,0.125,5.0
142,55.0,0.125,5.0
143,55.0,0.125,5.0
144,55.0,0.125,5.0
145,55.0,0.125,5.0
146,55.0,0.125,5.0
147,55.0,0.125,5.0
148,55.0,0.125,5.0
149,55.0,0.125,5.0
150,55.0,0.125,5.0
151,55.0,0.125,5.0
152,55.0,4.0,5.0
153,52.0,0.125,1.0
154,55.0,0.75,1.0
155,52.0,0.125,1.0
156,55.0,0.125,1.0
157,53.0,0.125,1.0
158,55.0,0.75,1.0
159,55.0,0.125,1.0
160,52.0,0.125,1.0
161,55.0,0.375,1.0
162,52.0,0.125,1.0
163,45.0,0.25,1.0
164,45.0,0.125,1.0
165,48.0,1.875,1.0
166,48.0,0.125,7.0
167,50.0,0.125,7.0
168,52.0,0.125,7.0
169,55.0,0.375,1.0
170,55.0,0.25,1.0
171,52.0,0.25,1.0
172,53.0,0.125,1.0
173,50.0,0.125,5.0
174,50.0,0.625,5.0
175,43.0,0.125,5.0
176,52.0,0.125,5.0
177,55.0,0.25,1.0
178,55.0,0.5,1.0
179,45.0,0.125,1.0
180,53.0,0.125,1.0
181,50.0,0.125,5.0
182,50.0,0.125,5.0
