,note,length,diatonic root
0,55.0,0.5,1.0
1,55.0,0.75,1.0
2,55.0,0.25,1.0
3,55.0,0.5,1.0
4,55.0,0.5,1.0
5,55.0,0.75,1.0
6,55.0,0.25,1.0
7,55.0,0.5,1.0
8,55.0,0.5,1.0
9,55.0,0.75,1.0
10,55.0,0.25,1.0
11,55.0,0.5,1.0
12,55.0,0.5,1.0
13,55.0,0.75,1.0
14,55.0,0.25,1.0
15,55.0,0.375,1.0
16,52.0,0.125,1.0
17,55.0,0.125,1.0
18,55.0,0.125,1.0
19,55.0,0.125,1.0
20,55.0,0.125,1.0
21,52.0,0.25,1.0
22,55.0,1.125,1.0
23,52.0,0.125,5.0
24,55.0,0.125,5.0
25,55.0,0.125,1.0
26,55.0,0.125,1.0
27,55.0,0.125,1.0
28,52.0,0.25,1.0
29,55.0,1.125,1.0
30,52.0,0.125,5.0
31,55.0,0.125,5.0
32,55.0,0.125,1.0
33,55.0,0.125,1.0
34,52.0,0.125,1.0
35,52.0,0.25,1.0
36,48.0,0.75,1.0
37,55.0,0.25,4.0
38,55.0,0.25,5.0
39,52.0,1.875,5.0
40,52.0,0.125,1.0
41,55.0,0.125,1.0
42,55.0,0.125,1.0
43,55.0,0.125,1.0
44,55.0,0.125,1.0
45,52.0,0.25,1.0
46,55.0,1.125,1.0
47,52.0,0.125,5.0
48,55.0,0.125,5.0
49,55.0,0.125,1.0
50,55.0,0.25,1.0
51,52.0,0.25,1.0
52,55.0,1.125,1.0
53,52.0,0.125,5.0
54,55.0,0.25,5.0
55,55.0,0.125,1.0
56,52.0,0.125,1.0
57,52.0,0.25,1.0
58,48.0,0.75,1.0
59,55.0,0.25,4.0
60,55.0,0.25,5.0
61,52.0,2.0,5.0
62,53.0,0.5,1.0
63,53.0,0.75,4.0
64,53.0,0.25,4.0
65,53.0,0.375,4.0
66,52.0,0.125,4.0
67,55.0,0.125,4.0
68,55.0,0.125,1.0
69,55.0,0.125,1.0
70,53.0,0.125,1.0
71,52.0,0.25,1.0
72,48.0,1.125,1.0
73,53.0,0.25,1.0
74,53.0,0.25,4.0
75,53.0,0.5,4.0
76,53.0,0.125,4.0
77,53.0,0.25,4.0
78,53.0,0.5,4.0
79,50.0,0.125,4.0
80,50.0,0.25,4.0
81,50.0,0.25,2.0
82,50.0,0.25,2.0
83,50.0,0.25,2.0
84,53.0,0.125,2.0
85,53.0,0.125,4.0
86,53.0,0.125,4.0
87,55.0,0.5,4.0
88,52.0,0.125,5.0
89,55.0,0.125,5.0
90,55.0,0.125,1.0
91,55.0,0.125,1.0
92,52.0,0.125,1.0
93,52.0,0.25,1.0
94,55.0,1.125,1.0
95,52.0,0.125,5.0
96,55.0,0.125,5.0
97,55.0,0.125,1.0
98,55.0,0.125,1.0
99,52.0,0.125,1.0
100,52.0,0.25,1.0
101,55.0,1.125,1.0
102,52.0,0.125,5.0
103,55.0,0.125,5.0
104,55.0,0.125,1.0
105,55.0,0.125,1.0
106,53.0,0.125,1.0
107,52.0,0.25,1.0
108,48.0,0.625,1.0
109,50.0,0.125,4.0
110,55.0,0.25,4.0
111,55.0,0.25,5.0
112,52.0,1.875,5.0
113,52.0,0.125,1.0
114,55.0,0.125,1.0
115,55.0,0.125,1.0
116,55.0,0.125,1.0
117,52.0,0.125,1.0
118,52.0,0.25,1.0
119,55.0,1.125,1.0
120,52.0,0.125,5.0
121,55.0,0.125,5.0
122,55.0,0.125,1.0
123,55.0,0.25,1.0
124,52.0,0.25,1.0
125,55.0,1.125,1.0
126,52.0,0.125,5.0
127,55.0,0.25,5.0
128,55.0,0.125,1.0
129,52.0,0.125,1.0
130,52.0,0.25,1.0
131,48.0,0.75,1.0
132,55.0,0.25,4.0
133,55.0,0.25,5.0
134,52.0,2.0,5.0
135,53.0,0.5,1.0
136,53.0,0.75,4.0
137,53.0,0.25,4.0
138,53.0,0.5,4.0
139,55.0,0.125,4.0
140,55.0,0.125,1.0
141,55.0,0.125,1.0
142,53.0,0.125,1.0
143,52.0,0.25,1.0
144,48.0,1.125,1.0
145,53.0,0.25,1.0
146,53.0,0.25,4.0
147,53.0,0.5,4.0
148,53.0,0.125,4.0
149,53.0,0.25,4.0
150,53.0,0.5,4.0
151,50.0,0.125,4.0
152,50.0,0.25,4.0
153,50.0,0.25,2.0
154,50.0,0.25,2.0
155,50.0,0.25,2.0
156,53.0,0.125,2.0
157,53.0,0.125,4.0
158,53.0,0.125,4.0
159,55.0,0.5,4.0
160,52.0,0.125,5.0
161,55.0,0.125,5.0
162,55.0,0.125,1.0
163,55.0,0.125,1.0
164,52.0,0.125,1.0
165,52.0,0.25,1.0
166,55.0,1.125,1.0
167,52.0,0.125,5.0
168,55.0,0.125,5.0
169,55.0,0.125,1.0
170,55.0,0.125,1.0
171,52.0,0.125,1.0
172,52.0,0.25,1.0
173,55.0,1.125,1.0
174,52.0,0.125,5.0
175,55.0,0.125,5.0
176,55.0,0.125,1.0
177,55.0,0.125,1.0
178,53.0,0.125,1.0
179,52.0,0.25,1.0
180,48.0,0.75,1.0
181,55.0,0.25,4.0
182,55.0,0.25,5.0
183,52.0,1.875,5.0
184,52.0,0.125,1.0
185,55.0,0.125,1.0
186,55.0,0.125,1.0
187,55.0,0.125,1.0
188,52.0,0.125,1.0
189,52.0,0.25,1.0
190,55.0,1.125,1.0
191,52.0,0.125,5.0
192,55.0,0.125,5.0
193,55.0,0.125,1.0
194,55.0,0.25,1.0
195,52.0,0.25,1.0
196,55.0,1.125,1.0
197,52.0,0.125,5.0
198,55.0,0.25,5.0
199,55.0,0.125,1.0
200,52.0,0.125,1.0
201,52.0,0.25,1.0
202,48.0,0.75,1.0
203,55.0,0.25,4.0
204,55.0,0.25,5.0
205,52.0,2.0,5.0
206,55.0,0.5,1.0
207,55.0,0.75,1.0
208,55.0,0.25,1.0
209,55.0,0.5,1.0
210,55.0,0.5,1.0
211,55.0,0.75,1.0
212,55.0,0.25,1.0
213,55.0,0.5,1.0
214,55.0,0.5,1.0
215,55.0,0.75,1.0
216,55.0,0.25,1.0
217,55.0,0.5,1.0
218,55.0,0.5,1.0
219,55.0,0.75,1.0
220,55.0,0.25,1.0
