,note,length,diatonic root
0,55.0,0.25,1.0
1,52.0,0.125,1.0
2,53.0,0.25,4.0
3,52.0,0.125,4.0
4,53.0,0.25,4.0
5,55.0,0.375,5.0
6,48.0,0.375,5.0
7,50.0,0.125,1.0
8,52.0,0.25,1.0
9,55.0,0.25,1.0
10,55.0,0.25,1.0
11,59.0,0.25,5.0
12,59.0,0.125,5.0
13,60.0,0.25,5.0
14,60.0,0.5,5.0
15,60.0,0.125,1.0
16,60.0,0.125,1.0
17,62.0,0.125,1.0
18,64.0,0.125,1.0
19,53.0,0.25,1.0
20,55.0,0.5,4.0
21,53.0,0.125,5.0
22,52.0,0.125,5.0
23,53.0,0.875,5.0
24,48.0,0.125,1.0
25,48.0,0.125,1.0
26,55.0,0.125,1.0
27,53.0,0.375,1.0
28,55.0,0.125,4.0
29,50.0,1.125,4.0
30,48.0,0.125,1.0
31,55.0,0.25,1.0
32,53.0,0.125,1.0
33,55.0,0.125,4.0
34,53.0,0.25,4.0
35,52.0,0.25,4.0
36,53.0,0.125,4.0
37,55.0,0.25,5.0
38,48.0,0.5,5.0
39,50.0,0.125,1.0
40,52.0,0.125,1.0
41,55.0,0.25,1.0
42,55.0,0.25,1.0
43,59.0,0.375,5.0
44,59.0,0.125,5.0
45,60.0,0.25,5.0
46,60.0,0.5,5.0
47,60.0,0.125,1.0
48,60.0,0.125,1.0
49,62.0,0.125,1.0
50,64.0,0.25,1.0
51,53.0,0.375,1.0
52,52.0,0.25,4.0
53,55.0,0.125,5.0
54,53.0,0.125,5.0
55,53.0,0.875,5.0
56,48.0,0.125,1.0
57,55.0,0.25,1.0
58,53.0,0.125,1.0
59,53.0,0.25,4.0
60,55.0,0.125,4.0
61,50.0,1.125,4.0
62,60.0,0.125,1.0
63,64.0,0.125,1.0
64,60.0,0.125,1.0
65,62.0,0.375,1.0
66,64.0,0.125,5.0
67,65.0,0.125,5.0
68,64.0,0.125,5.0
69,62.0,0.125,5.0
