,note,length,diatonic root
0,52.0,0.5,7.0
1,55.0,0.25,1.0
2,55.0,0.125,1.0
3,52.0,0.625,1.0
4,55.0,0.25,7.0
5,55.0,0.125,7.0
6,52.0,0.625,7.0
7,55.0,0.125,1.0
8,57.0,0.25,1.0
9,57.0,0.125,1.0
10,59.0,0.375,1.0
11,57.0,0.125,7.0
12,55.0,0.25,7.0
13,55.0,0.125,7.0
14,52.0,0.625,7.0
15,55.0,0.25,1.0
16,55.0,0.125,1.0
17,52.0,0.625,1.0
18,55.0,0.25,7.0
19,55.0,0.125,7.0
20,52.0,0.625,7.0
21,55.0,0.125,1.0
22,57.0,0.25,1.0
23,57.0,0.125,1.0
24,59.0,0.375,1.0
25,57.0,0.125,7.0
26,55.0,0.25,7.0
27,55.0,0.125,7.0
28,52.0,0.625,7.0
29,55.0,0.25,1.0
30,55.0,0.125,1.0
31,52.0,0.625,1.0
32,55.0,0.25,7.0
33,57.0,0.125,7.0
34,52.0,0.625,7.0
35,55.0,0.125,1.0
36,57.0,0.25,1.0
37,57.0,0.125,1.0
38,59.0,0.375,1.0
39,57.0,0.125,7.0
40,55.0,0.25,7.0
41,55.0,0.125,7.0
42,52.0,0.625,7.0
43,55.0,0.25,1.0
44,55.0,0.125,1.0
45,52.0,0.625,1.0
46,55.0,0.25,7.0
47,57.0,0.125,7.0
48,52.0,0.625,7.0
49,55.0,0.125,1.0
50,57.0,0.25,1.0
51,57.0,0.125,1.0
52,59.0,0.375,1.0
53,57.0,0.125,7.0
54,55.0,0.25,7.0
55,55.0,0.125,7.0
56,52.0,0.75,7.0
57,50.0,0.125,1.0
58,48.0,0.125,1.0
59,48.0,0.625,1.0
60,52.0,0.25,3.0
61,55.0,0.125,3.0
62,52.0,0.75,3.0
63,50.0,0.125,1.0
64,48.0,0.125,1.0
65,48.0,0.625,1.0
66,52.0,0.25,3.0
67,55.0,0.125,3.0
68,52.0,0.75,3.0
69,50.0,0.125,1.0
70,48.0,0.125,1.0
71,48.0,0.625,1.0
72,52.0,0.25,3.0
73,55.0,0.125,3.0
74,52.0,0.75,3.0
75,50.0,0.125,1.0
76,48.0,0.125,1.0
77,48.0,1.125,1.0
78,52.0,0.5,3.0
