,note,length,diatonic root
0,50.0,0.125,1.0
1,52.0,0.125,1.0
2,43.0,0.625,1.0
3,43.0,0.25,5.0
4,45.0,0.125,6.0
5,48.0,0.125,6.0
6,52.0,0.125,6.0
7,57.0,0.125,6.0
8,55.0,0.125,6.0
9,57.0,0.125,6.0
10,55.0,0.5,6.0
11,52.0,0.125,2.0
12,53.0,0.125,2.0
13,55.0,0.125,2.0
14,57.0,1.125,2.0
15,55.0,0.125,2.0
16,57.0,0.125,2.0
17,55.0,0.125,2.0
18,57.0,0.125,2.0
19,47.0,0.875,5.0
20,43.0,0.125,5.0
21,47.0,0.125,5.0
22,50.0,0.125,5.0
23,60.0,0.125,5.0
24,57.0,0.125,4.0
25,59.0,0.125,4.0
26,57.0,0.25,4.0
27,57.0,0.125,1.0
28,55.0,0.125,1.0
29,57.0,0.125,1.0
30,55.0,1.875,1.0
31,50.0,0.125,1.0
32,52.0,0.125,1.0
33,52.0,0.125,1.0
34,43.0,0.5,1.0
35,43.0,0.125,5.0
36,45.0,0.125,5.0
37,48.0,0.25,6.0
38,52.0,0.125,6.0
39,55.0,0.125,6.0
40,57.0,0.25,6.0
41,55.0,0.125,6.0
42,57.0,0.125,6.0
43,55.0,0.125,6.0
44,52.0,0.125,6.0
45,53.0,0.125,2.0
46,57.0,1.5,2.0
47,55.0,0.125,2.0
48,57.0,0.125,2.0
49,55.0,0.125,2.0
50,57.0,0.125,2.0
51,55.0,0.125,2.0
52,57.0,0.125,5.0
53,47.0,0.625,5.0
54,43.0,0.125,5.0
55,43.0,0.125,5.0
56,47.0,0.25,5.0
57,50.0,0.125,5.0
58,53.0,0.375,5.0
59,52.0,0.125,5.0
60,50.0,0.125,5.0
61,50.0,0.125,1.0
62,48.0,1.75,1.0
63,59.0,0.125,1.0
64,60.0,0.125,1.0
65,57.0,0.875,4.0
66,47.0,0.125,4.0
67,48.0,0.25,4.0
68,53.0,0.125,4.0
69,57.0,0.125,4.0
70,60.0,0.125,4.0
71,60.0,0.125,4.0
72,59.0,0.125,4.0
73,57.0,0.125,4.0
74,60.0,0.125,1.0
75,55.0,1.75,1.0
76,60.0,0.125,1.0
77,57.0,0.875,2.0
78,48.0,0.125,2.0
79,50.0,0.375,2.0
80,53.0,0.125,2.0
81,57.0,0.125,2.0
82,59.0,0.125,2.0
83,60.0,0.25,2.0
84,59.0,0.125,2.0
85,57.0,0.125,2.0
86,59.0,0.75,5.0
87,57.0,0.125,5.0
88,59.0,0.125,5.0
89,57.0,0.125,5.0
90,59.0,0.125,5.0
91,57.0,0.5,5.0
92,55.0,0.625,5.0
93,50.0,0.125,1.0
94,52.0,0.125,1.0
95,43.0,0.625,1.0
96,43.0,0.125,5.0
97,45.0,0.125,5.0
98,48.0,0.375,6.0
99,52.0,0.125,6.0
100,55.0,0.125,6.0
101,57.0,0.125,6.0
102,57.0,0.125,6.0
103,55.0,0.375,6.0
104,52.0,0.125,2.0
105,53.0,0.125,2.0
106,55.0,0.125,2.0
107,57.0,1.5,2.0
108,55.0,0.125,2.0
109,57.0,0.125,2.0
110,60.0,0.25,2.0
111,57.0,0.25,4.0
112,53.0,0.125,4.0
113,59.0,0.125,4.0
114,55.0,0.375,3.0
115,52.0,0.25,3.0
116,55.0,0.125,2.0
117,57.0,0.125,2.0
118,53.0,0.125,2.0
119,50.0,0.125,2.0
120,55.0,0.125,2.0
121,52.0,0.375,2.0
122,50.0,0.125,2.0
123,52.0,0.125,2.0
124,53.0,0.125,2.0
125,43.0,0.125,2.0
126,45.0,0.125,2.0
127,52.0,0.125,5.0
128,47.0,0.25,5.0
129,50.0,0.125,5.0
130,52.0,0.125,5.0
131,48.0,1.0,1.0
132,50.0,0.125,1.0
133,52.0,0.125,1.0
134,43.0,0.625,1.0
135,43.0,0.125,5.0
136,45.0,0.125,5.0
137,48.0,0.25,6.0
138,52.0,0.125,6.0
139,55.0,0.125,6.0
140,57.0,0.125,6.0
141,57.0,0.125,6.0
142,55.0,0.375,6.0
143,52.0,0.125,2.0
144,53.0,0.125,2.0
145,55.0,0.125,2.0
146,57.0,1.5,2.0
147,55.0,0.125,2.0
148,57.0,0.125,2.0
149,60.0,0.125,2.0
150,57.0,0.25,4.0
151,53.0,0.125,4.0
152,59.0,0.125,4.0
153,55.0,0.375,3.0
154,52.0,0.25,3.0
155,55.0,0.125,2.0
156,57.0,0.125,2.0
157,53.0,0.125,2.0
158,50.0,0.125,2.0
159,55.0,0.125,2.0
160,52.0,0.375,2.0
161,50.0,0.125,2.0
162,52.0,0.125,2.0
163,53.0,0.125,2.0
164,43.0,0.125,2.0
165,45.0,0.125,2.0
166,52.0,0.125,2.0
167,47.0,0.125,5.0
168,50.0,0.125,5.0
169,52.0,0.125,5.0
170,50.0,0.125,5.0
171,47.0,0.125,5.0
