,note,length,diatonic root
0,52.0,0.125,1.0
1,55.0,0.875,1.0
2,52.0,0.125,3.0
3,50.0,1.0,3.0
4,52.0,0.125,6.0
5,57.0,0.125,1.0
6,55.0,0.125,1.0
7,52.0,0.125,1.0
8,50.0,0.125,1.0
9,48.0,1.0,1.0
10,48.0,0.125,4.0
11,50.0,0.125,4.0
12,52.0,0.125,1.0
13,55.0,0.125,1.0
14,57.0,1.0,1.0
15,48.0,0.125,2.0
16,50.0,0.125,2.0
17,48.0,0.125,5.0
18,52.0,0.125,5.0
19,52.0,0.125,5.0
20,52.0,2.0,5.0
21,52.0,0.125,5.0
22,52.0,0.125,5.0
23,52.0,0.125,5.0
24,57.0,0.125,5.0
25,55.0,0.125,1.0
26,55.0,0.125,1.0
27,57.0,1.125,1.0
28,52.0,0.125,3.0
29,50.0,1.0,3.0
30,52.0,0.125,6.0
31,57.0,0.125,1.0
32,55.0,0.125,1.0
33,52.0,0.125,1.0
34,50.0,0.125,1.0
35,48.0,0.125,1.0
36,45.0,0.125,4.0
37,48.0,0.25,4.0
38,50.0,0.5,4.0
39,48.0,0.125,4.0
40,50.0,0.125,1.0
41,52.0,0.125,1.0
42,55.0,0.125,1.0
43,57.0,0.875,1.0
44,45.0,0.125,2.0
45,52.0,0.125,2.0
46,48.0,0.25,2.0
47,48.0,0.125,5.0
48,48.0,0.125,5.0
49,48.0,2.5,5.0
50,45.0,0.125,6.0
51,48.0,0.125,6.0
52,50.0,0.375,6.0
53,50.0,0.125,6.0
54,52.0,0.125,6.0
55,48.0,0.125,6.0
56,45.0,0.125,6.0
57,48.0,1.0,6.0
58,45.0,0.125,6.0
59,48.0,0.125,6.0
60,50.0,0.25,6.0
61,52.0,0.5,6.0
62,55.0,0.125,6.0
63,52.0,0.125,6.0
64,53.0,0.875,6.0
65,45.0,0.25,6.0
66,48.0,0.25,6.0
67,50.0,0.125,6.0
68,52.0,0.125,6.0
69,55.0,0.125,6.0
70,57.0,0.125,6.0
