,note,length,diatonic root
0,48.0,0.125,1.0
1,50.0,0.125,1.0
2,52.0,0.25,1.0
3,50.0,0.5,1.0
4,48.0,0.125,1.0
5,50.0,0.125,1.0
6,52.0,0.25,1.0
7,52.0,0.125,1.0
8,53.0,0.375,1.0
9,52.0,0.125,1.0
10,50.0,0.25,1.0
11,50.0,1.625,1.0
12,53.0,0.125,4.0
13,55.0,0.125,4.0
14,57.0,0.25,4.0
15,55.0,0.5,4.0
16,53.0,0.125,4.0
17,55.0,0.125,4.0
18,57.0,0.25,4.0
19,60.0,0.125,4.0
20,53.0,0.375,4.0
21,55.0,0.125,4.0
22,55.0,0.125,4.0
23,57.0,0.125,4.0
24,55.0,1.625,4.0
25,48.0,0.125,1.0
26,50.0,0.125,1.0
27,52.0,0.25,1.0
28,50.0,0.5,1.0
29,48.0,0.125,1.0
30,50.0,0.125,1.0
31,52.0,0.25,1.0
32,52.0,0.125,1.0
33,53.0,0.375,1.0
34,52.0,0.125,1.0
35,50.0,0.125,1.0
36,50.0,0.25,1.0
37,50.0,1.5,1.0
38,53.0,0.125,4.0
39,55.0,0.125,4.0
40,57.0,0.25,4.0
41,55.0,0.5,4.0
42,53.0,0.125,4.0
43,55.0,0.125,4.0
44,57.0,0.25,4.0
45,60.0,0.125,4.0
46,53.0,0.125,4.0
47,53.0,0.25,4.0
48,55.0,0.25,4.0
49,57.0,0.125,4.0
50,55.0,1.875,4.0
51,64.0,0.125,6.0
52,62.0,0.125,6.0
53,64.0,0.25,6.0
54,67.0,0.25,4.0
55,60.0,0.25,4.0
56,60.0,0.125,4.0
57,62.0,1.125,4.0
58,65.0,0.25,5.0
59,62.0,0.125,5.0
60,60.0,0.125,5.0
61,59.0,0.25,5.0
62,60.0,0.25,5.0
63,59.0,0.125,5.0
64,57.0,0.625,5.0
65,64.0,0.125,6.0
66,62.0,0.125,6.0
67,64.0,0.25,6.0
68,67.0,0.25,4.0
69,60.0,0.25,4.0
70,60.0,0.125,4.0
71,62.0,0.5,4.0
72,60.0,0.125,5.0
73,62.0,0.125,5.0
74,60.0,0.125,5.0
75,64.0,0.25,5.0
76,62.0,1.75,5.0
77,64.0,0.125,6.0
78,62.0,0.125,6.0
79,64.0,0.25,6.0
80,67.0,0.25,4.0
81,60.0,0.25,4.0
82,60.0,0.125,4.0
83,62.0,1.125,4.0
84,65.0,0.25,5.0
85,62.0,0.125,5.0
86,60.0,0.125,5.0
87,59.0,0.25,5.0
88,60.0,0.75,5.0
89,48.0,0.125,1.0
90,50.0,0.125,1.0
91,52.0,0.25,1.0
92,50.0,1.125,1.0
93,53.0,0.125,1.0
94,53.0,0.125,1.0
95,53.0,0.125,1.0
96,52.0,0.125,1.0
97,50.0,0.375,1.0
98,50.0,1.5,1.0
99,53.0,0.125,4.0
100,55.0,0.125,4.0
101,57.0,0.25,4.0
102,55.0,0.5,4.0
103,53.0,0.125,4.0
104,55.0,0.125,4.0
105,57.0,0.25,4.0
106,60.0,0.25,4.0
107,53.0,0.25,4.0
108,55.0,0.125,4.0
109,55.0,0.125,4.0
110,57.0,0.125,4.0
111,55.0,1.625,4.0
112,48.0,0.125,1.0
113,50.0,0.125,1.0
114,52.0,0.25,1.0
115,50.0,0.5,1.0
116,48.0,0.125,1.0
117,50.0,0.125,1.0
118,52.0,0.25,1.0
119,52.0,0.125,1.0
120,53.0,0.375,1.0
121,52.0,0.125,1.0
122,50.0,0.125,1.0
123,50.0,0.25,1.0
124,50.0,1.5,1.0
125,53.0,0.125,4.0
126,55.0,0.125,4.0
127,57.0,0.25,4.0
128,55.0,0.5,4.0
129,53.0,0.125,4.0
