,note,length,diatonic root
0,57.0,1.125,1.0
1,52.0,0.125,1.0
2,52.0,0.125,1.0
3,52.0,0.125,1.0
4,57.0,0.125,1.0
5,57.0,0.125,1.0
6,60.0,0.25,1.0
7,62.0,0.25,1.0
8,55.0,0.125,5.0
9,55.0,0.25,5.0
10,53.0,0.125,5.0
11,52.0,0.875,5.0
12,50.0,0.25,5.0
13,52.0,0.125,5.0
14,53.0,0.25,5.0
15,55.0,0.25,4.0
16,50.0,0.25,4.0
17,52.0,0.25,4.0
18,53.0,0.25,4.0
19,52.0,0.125,4.0
20,50.0,0.25,4.0
21,48.0,0.25,4.0
22,50.0,0.25,4.0
23,50.0,0.125,5.0
24,50.0,1.75,5.0
25,67.0,1.125,5.0
26,64.0,0.125,1.0
27,64.0,0.125,1.0
28,64.0,0.125,1.0
29,62.0,0.125,1.0
30,60.0,0.25,1.0
31,55.0,0.25,1.0
32,57.0,0.25,5.0
33,52.0,0.375,5.0
34,50.0,0.125,5.0
35,47.0,0.625,5.0
36,50.0,0.25,5.0
37,52.0,0.125,5.0
38,53.0,0.25,5.0
39,55.0,0.25,4.0
40,50.0,0.25,4.0
41,52.0,0.25,4.0
42,53.0,0.25,4.0
43,52.0,0.25,4.0
44,50.0,0.125,4.0
45,48.0,0.25,4.0
46,50.0,0.25,4.0
47,50.0,0.125,5.0
48,50.0,2.0,5.0
49,48.0,0.25,1.0
50,45.0,0.125,1.0
51,45.0,0.125,4.0
52,45.0,0.25,4.0
53,36.0,0.25,4.0
54,38.0,0.25,1.0
55,41.0,0.25,1.0
56,43.0,0.5,4.0
57,48.0,0.25,1.0
58,45.0,0.125,1.0
59,45.0,0.125,4.0
60,45.0,0.25,4.0
61,36.0,0.25,4.0
62,38.0,0.25,1.0
63,41.0,0.25,1.0
64,43.0,0.5,4.0
65,48.0,0.25,1.0
66,45.0,0.125,1.0
67,45.0,0.125,4.0
68,45.0,0.25,4.0
69,36.0,0.25,4.0
70,38.0,0.25,1.0
71,41.0,0.25,1.0
72,43.0,0.5,4.0
73,48.0,0.25,1.0
74,45.0,0.125,1.0
75,45.0,0.125,4.0
76,45.0,0.25,4.0
77,36.0,0.25,4.0
78,38.0,0.25,1.0
79,41.0,0.25,1.0
80,43.0,0.25,4.0
81,65.0,0.5,4.0
82,65.0,0.5,1.0
83,67.0,0.375,4.0
84,60.0,0.25,1.0
85,60.0,0.25,4.0
86,62.0,0.25,4.0
87,64.0,1.875,1.0
88,65.0,0.5,4.0
89,65.0,0.5,1.0
90,67.0,0.375,4.0
91,60.0,0.25,1.0
92,60.0,0.25,4.0
93,62.0,0.25,4.0
94,64.0,1.875,1.0
95,53.0,0.25,4.0
96,57.0,0.125,1.0
97,57.0,0.25,1.0
98,55.0,0.125,1.0
99,52.0,0.5,1.0
100,52.0,0.25,1.0
101,57.0,0.25,1.0
102,60.0,0.25,1.0
103,62.0,0.25,1.0
104,55.0,0.125,5.0
105,55.0,0.25,5.0
106,53.0,0.125,5.0
107,52.0,1.125,5.0
108,53.0,0.25,5.0
109,55.0,0.25,4.0
110,50.0,0.375,4.0
111,52.0,0.25,4.0
112,53.0,0.25,4.0
113,52.0,0.125,4.0
114,50.0,0.125,4.0
115,48.0,0.25,4.0
116,50.0,0.25,4.0
117,50.0,0.125,5.0
118,50.0,1.75,5.0
119,67.0,1.625,5.0
120,62.0,0.125,1.0
121,60.0,0.25,1.0
122,55.0,0.25,1.0
123,57.0,0.25,5.0
124,52.0,0.375,5.0
125,50.0,0.125,5.0
126,48.0,0.5,5.0
127,50.0,0.125,5.0
128,52.0,0.375,5.0
129,53.0,0.25,5.0
130,55.0,0.25,4.0
131,50.0,0.25,4.0
132,52.0,0.25,4.0
133,53.0,0.125,4.0
134,52.0,0.25,4.0
135,50.0,2.75,4.0
136,48.0,0.25,1.0
137,45.0,0.125,1.0
138,45.0,0.125,4.0
139,45.0,0.25,4.0
140,36.0,0.25,4.0
141,38.0,0.25,1.0
142,41.0,0.25,1.0
143,43.0,0.5,4.0
144,48.0,0.25,1.0
145,45.0,0.125,1.0
146,45.0,0.125,4.0
147,45.0,0.25,4.0
148,36.0,0.25,4.0
149,38.0,0.25,1.0
150,41.0,0.25,1.0
151,43.0,0.5,4.0
152,48.0,0.25,1.0
153,45.0,0.125,1.0
154,45.0,0.125,4.0
155,45.0,0.25,4.0
