,note,length,diatonic root
0,60.0,0.125,1.0
1,60.0,0.125,1.0
2,60.0,0.125,1.0
3,55.0,0.125,1.0
4,57.0,0.125,1.0
5,60.0,0.125,1.0
6,55.0,0.125,1.0
7,55.0,0.125,1.0
8,60.0,0.125,1.0
9,60.0,0.125,1.0
10,60.0,0.125,1.0
11,60.0,0.125,1.0
12,55.0,0.125,1.0
13,57.0,0.375,1.0
14,55.0,0.125,1.0
15,55.0,0.125,1.0
16,60.0,0.125,1.0
17,60.0,0.125,1.0
18,62.0,0.125,1.0
19,62.0,0.125,1.0
20,60.0,0.125,1.0
21,62.0,0.125,1.0
22,60.0,0.125,1.0
23,57.0,0.125,1.0
24,55.0,0.125,1.0
25,57.0,0.25,1.0
26,57.0,0.125,1.0
27,55.0,0.125,1.0
28,53.0,0.125,1.0
29,50.0,0.125,1.0
30,48.0,0.125,1.0
31,48.0,0.125,1.0
32,48.0,0.25,1.0
33,48.0,0.125,4.0
34,48.0,0.125,4.0
35,48.0,0.125,4.0
36,48.0,0.125,4.0
37,52.0,0.125,4.0
38,48.0,0.125,4.0
39,45.0,0.125,4.0
40,45.0,0.25,4.0
41,48.0,0.125,4.0
42,48.0,0.125,4.0
43,48.0,0.125,4.0
44,48.0,0.125,4.0
45,52.0,0.125,4.0
46,48.0,0.5,4.0
47,50.0,0.125,5.0
48,50.0,0.125,5.0
49,50.0,0.125,5.0
50,50.0,0.125,5.0
51,52.0,0.125,5.0
52,43.0,0.125,5.0
53,45.0,0.125,5.0
54,48.0,0.125,5.0
55,48.0,0.625,5.0
56,60.0,0.375,1.0
57,60.0,0.125,1.0
58,60.0,0.125,1.0
59,60.0,0.25,1.0
60,55.0,0.125,1.0
61,57.0,0.125,1.0
62,60.0,0.125,1.0
63,55.0,0.125,1.0
64,55.0,0.125,1.0
65,60.0,0.125,1.0
66,60.0,0.125,1.0
67,60.0,0.25,1.0
68,55.0,0.125,1.0
69,57.0,0.375,1.0
70,55.0,0.125,1.0
71,60.0,0.125,1.0
72,62.0,0.125,1.0
73,62.0,0.125,1.0
74,60.0,0.125,1.0
75,62.0,0.125,1.0
76,60.0,0.125,1.0
77,57.0,0.125,1.0
78,55.0,0.25,1.0
79,57.0,0.125,1.0
80,57.0,0.125,1.0
81,55.0,0.125,1.0
82,48.0,0.125,1.0
83,48.0,0.125,1.0
84,50.0,0.125,1.0
85,52.0,0.125,1.0
86,48.0,0.125,1.0
87,48.0,0.125,1.0
88,48.0,0.25,1.0
89,48.0,0.125,4.0
90,48.0,0.125,4.0
91,48.0,0.125,4.0
92,48.0,0.125,4.0
93,50.0,0.125,4.0
94,48.0,0.125,4.0
95,48.0,0.125,4.0
96,48.0,0.125,4.0
97,48.0,0.25,4.0
98,48.0,0.125,4.0
99,48.0,0.125,4.0
100,48.0,0.125,4.0
101,48.0,0.125,4.0
102,50.0,0.125,4.0
103,48.0,0.5,4.0
104,50.0,0.125,5.0
105,50.0,0.125,5.0
106,50.0,0.125,5.0
107,52.0,0.125,5.0
108,43.0,0.125,5.0
109,45.0,0.125,5.0
110,48.0,0.125,5.0
111,48.0,0.625,5.0
112,60.0,0.25,1.0
113,60.0,0.125,1.0
114,60.0,0.125,1.0
115,60.0,0.125,1.0
116,60.0,0.25,1.0
117,55.0,0.125,1.0
118,57.0,0.125,1.0
119,55.0,0.125,1.0
120,57.0,0.25,1.0
121,55.0,0.125,1.0
122,60.0,0.125,1.0
123,60.0,0.125,1.0
124,60.0,0.125,1.0
125,55.0,0.125,1.0
126,57.0,0.375,1.0
127,55.0,0.125,1.0
128,55.0,0.125,1.0
129,60.0,0.125,1.0
130,62.0,0.125,1.0
131,62.0,0.125,1.0
132,60.0,0.125,1.0
133,62.0,0.125,1.0
134,60.0,0.125,1.0
135,57.0,0.125,1.0
136,55.0,0.125,1.0
137,55.0,0.125,1.0
138,55.0,0.125,1.0
139,55.0,0.125,1.0
140,48.0,0.125,1.0
141,48.0,0.125,1.0
142,48.0,0.125,1.0
143,48.0,0.125,1.0
144,48.0,0.125,1.0
145,48.0,0.125,1.0
146,48.0,0.125,1.0
147,48.0,0.125,1.0
148,48.0,0.125,1.0
149,48.0,0.25,1.0
150,48.0,0.125,4.0
151,48.0,0.125,4.0
152,48.0,0.125,4.0
153,48.0,0.125,4.0
154,50.0,0.125,4.0
155,48.0,0.125,4.0
156,48.0,0.125,4.0
157,48.0,0.25,4.0
158,48.0,0.125,4.0
159,48.0,0.125,4.0
160,48.0,0.125,4.0
161,50.0,0.125,4.0
162,48.0,0.5,4.0
163,50.0,0.125,5.0
164,50.0,0.125,5.0
165,50.0,0.125,5.0
166,52.0,0.125,5.0
167,43.0,0.125,5.0
168,45.0,0.125,5.0
169,48.0,0.125,5.0
170,48.0,0.625,5.0
171,60.0,0.25,1.0
172,57.0,0.125,1.0
173,60.0,0.125,1.0
174,60.0,0.125,1.0
175,60.0,0.125,1.0
176,55.0,0.125,1.0
177,57.0,0.125,1.0
178,60.0,0.125,1.0
179,55.0,0.125,1.0
180,55.0,0.125,1.0
181,60.0,0.125,1.0
182,60.0,0.125,1.0
183,60.0,0.25,1.0
184,55.0,0.125,1.0
185,57.0,0.375,1.0
186,55.0,0.125,1.0
187,55.0,0.125,1.0
188,60.0,0.125,1.0
189,62.0,0.125,1.0
190,62.0,0.125,1.0
191,60.0,0.125,1.0
192,62.0,0.125,1.0
193,60.0,0.125,1.0
194,57.0,0.125,1.0
195,55.0,0.125,1.0
196,57.0,0.25,1.0
197,57.0,0.125,1.0
198,55.0,0.125,1.0
199,53.0,0.125,1.0
200,50.0,0.125,1.0
201,48.0,0.125,1.0
202,48.0,0.125,1.0
203,48.0,0.125,1.0
204,48.0,0.125,1.0
205,48.0,0.125,1.0
206,48.0,0.125,4.0
207,48.0,0.125,4.0
208,48.0,0.125,4.0
209,48.0,0.125,4.0
210,48.0,0.125,4.0
211,50.0,0.125,4.0
212,48.0,0.125,4.0
213,48.0,0.125,4.0
214,45.0,0.25,4.0
215,48.0,0.125,4.0
216,48.0,0.125,4.0
217,48.0,0.125,4.0
218,48.0,0.125,4.0
219,50.0,0.125,4.0
220,48.0,0.5,4.0
221,50.0,0.125,5.0
222,50.0,0.125,5.0
223,50.0,0.125,5.0
224,52.0,0.125,5.0
225,43.0,0.125,5.0
226,45.0,0.125,5.0
227,48.0,0.125,5.0
228,48.0,4.0,5.0
229,60.0,0.25,1.0
230,57.0,0.125,1.0
231,60.0,0.125,1.0
232,60.0,0.125,1.0
233,60.0,0.25,1.0
234,55.0,0.125,1.0
235,57.0,0.125,1.0
236,60.0,0.125,1.0
237,55.0,0.125,1.0
238,55.0,0.125,1.0
239,60.0,0.125,1.0
240,60.0,0.125,1.0
241,60.0,0.25,1.0
242,55.0,0.125,1.0
243,57.0,0.375,1.0
244,55.0,0.125,1.0
245,60.0,0.125,1.0
246,62.0,0.125,1.0
247,62.0,0.125,1.0
248,60.0,0.125,1.0
249,62.0,0.125,1.0
250,60.0,0.125,1.0
251,57.0,0.125,1.0
252,55.0,0.25,1.0
253,57.0,0.125,1.0
254,57.0,0.125,1.0
255,55.0,0.125,1.0
256,48.0,0.125,1.0
257,50.0,0.375,1.0
258,48.0,0.125,1.0
259,48.0,0.125,1.0
260,48.0,0.25,1.0
261,48.0,0.125,4.0
262,48.0,0.125,4.0
263,48.0,0.125,4.0
264,50.0,0.125,4.0
265,48.0,0.125,4.0
266,48.0,0.125,4.0
267,48.0,0.125,4.0
268,48.0,0.25,4.0
269,48.0,0.125,4.0
