,note,length,diatonic root
0,57.0,0.875,2.0
1,55.0,0.125,2.0
2,55.0,0.25,2.0
3,55.0,0.125,2.0
4,55.0,0.375,2.0
5,53.0,0.25,2.0
6,57.0,0.625,2.0
7,47.0,0.25,7.0
8,50.0,0.125,7.0
9,53.0,0.125,7.0
10,52.0,0.25,7.0
11,52.0,0.25,7.0
12,50.0,0.25,7.0
13,47.0,0.125,7.0
14,55.0,0.625,7.0
15,50.0,0.125,5.0
16,53.0,0.125,5.0
17,50.0,0.125,5.0
18,57.0,0.25,5.0
19,55.0,0.125,5.0
20,55.0,0.625,5.0
21,64.0,0.375,5.0
22,62.0,0.125,1.0
23,60.0,1.75,1.0
24,52.0,0.125,1.0
25,52.0,0.375,1.0
26,52.0,0.25,1.0
27,52.0,0.25,1.0
28,52.0,0.125,1.0
29,52.0,0.25,1.0
30,52.0,0.375,1.0
31,52.0,0.25,1.0
32,52.0,0.125,3.0
33,52.0,0.25,3.0
34,55.0,0.25,3.0
35,52.0,0.625,3.0
36,50.0,0.125,3.0
37,48.0,0.5,3.0
38,50.0,0.125,6.0
39,52.0,0.125,6.0
40,50.0,0.125,6.0
41,52.0,0.25,6.0
42,50.0,0.25,6.0
43,52.0,0.125,6.0
44,50.0,0.25,6.0
45,52.0,0.125,6.0
46,52.0,0.5,6.0
47,53.0,0.25,6.0
48,53.0,0.25,4.0
49,53.0,0.125,4.0
50,50.0,0.25,7.0
51,48.0,1.5,7.0
52,52.0,0.25,1.0
53,52.0,0.25,1.0
54,52.0,0.25,1.0
55,52.0,0.25,1.0
56,52.0,0.125,1.0
57,52.0,0.25,1.0
58,52.0,0.375,1.0
59,52.0,0.25,1.0
60,52.0,0.25,3.0
61,52.0,0.25,3.0
62,55.0,0.25,3.0
63,52.0,0.5,3.0
64,50.0,0.125,3.0
65,48.0,0.625,3.0
66,52.0,0.125,6.0
67,50.0,0.125,6.0
68,52.0,0.375,6.0
69,50.0,0.125,6.0
70,52.0,0.125,6.0
71,50.0,0.125,6.0
72,52.0,0.625,6.0
73,48.0,0.125,6.0
74,53.0,0.25,6.0
75,53.0,0.25,4.0
76,53.0,0.25,4.0
77,50.0,0.125,7.0
78,48.0,1.125,7.0
79,55.0,0.25,1.0
80,55.0,0.25,2.0
81,55.0,0.125,2.0
82,55.0,0.25,2.0
83,55.0,0.125,2.0
84,53.0,0.25,2.0
85,53.0,0.25,2.0
86,52.0,0.25,2.0
87,50.0,0.25,2.0
88,53.0,0.5,2.0
89,52.0,0.125,2.0
90,50.0,0.875,2.0
91,52.0,0.125,2.0
92,53.0,0.25,2.0
93,55.0,0.375,2.0
94,52.0,0.25,7.0
95,52.0,0.25,7.0
96,52.0,0.125,7.0
97,52.0,0.125,7.0
98,50.0,0.25,7.0
99,50.0,0.25,7.0
100,48.0,0.125,7.0
101,47.0,0.375,7.0
102,50.0,0.5,7.0
103,48.0,0.125,7.0
104,47.0,1.5,7.0
105,52.0,0.25,7.0
106,55.0,0.125,5.0
107,55.0,0.25,5.0
108,55.0,0.25,5.0
109,55.0,0.375,5.0
110,53.0,0.25,5.0
111,52.0,0.25,5.0
112,50.0,0.25,5.0
113,53.0,0.5,5.0
114,52.0,0.125,5.0
115,50.0,0.875,5.0
116,55.0,0.25,5.0
117,55.0,0.25,5.0
118,64.0,1.0,5.0
119,62.0,0.125,1.0
120,60.0,0.375,1.0
121,55.0,0.125,1.0
