,note,length,diatonic root
0,52.0,1.625,4.0
1,52.0,0.125,1.0
2,50.0,0.125,1.0
3,48.0,0.125,1.0
4,48.0,1.875,1.0
5,50.0,0.125,4.0
6,52.0,1.625,4.0
7,52.0,0.125,1.0
8,52.0,0.125,1.0
9,48.0,0.125,1.0
10,48.0,2.0,1.0
11,50.0,0.125,4.0
12,53.0,0.125,4.0
13,50.0,1.125,7.0
14,50.0,0.125,7.0
15,50.0,0.125,7.0
16,52.0,0.125,7.0
17,53.0,0.125,7.0
18,52.0,1.875,7.0
19,52.0,0.125,1.0
20,45.0,0.125,1.0
21,53.0,0.125,1.0
22,47.0,1.5,5.0
23,48.0,0.125,2.0
24,43.0,0.125,2.0
25,48.0,0.125,2.0
26,45.0,0.125,2.0
27,43.0,1.5,2.0
28,52.0,0.125,1.0
29,48.0,0.125,1.0
30,43.0,0.125,1.0
31,57.0,0.125,1.0
32,55.0,1.5,1.0
33,45.0,0.125,4.0
34,48.0,0.125,4.0
35,48.0,0.125,4.0
36,45.0,0.125,4.0
37,43.0,1.875,4.0
38,43.0,0.125,1.0
39,52.0,1.5,1.0
40,43.0,0.125,1.0
41,52.0,0.125,1.0
42,48.0,0.125,1.0
43,45.0,0.125,1.0
44,50.0,0.125,1.0
45,48.0,1.875,1.0
46,43.0,0.125,4.0
47,52.0,0.125,4.0
48,52.0,1.5,1.0
49,48.0,0.125,1.0
50,50.0,0.125,1.0
51,52.0,0.25,1.0
52,45.0,0.125,1.0
53,48.0,1.625,1.0
54,55.0,0.125,4.0
55,55.0,0.125,4.0
56,55.0,0.125,4.0
57,52.0,1.5,4.0
58,43.0,0.125,1.0
59,48.0,0.125,1.0
60,48.0,0.125,1.0
61,48.0,0.125,1.0
62,48.0,1.75,1.0
63,57.0,0.125,4.0
64,55.0,0.125,4.0
65,57.0,0.125,4.0
66,55.0,1.5,4.0
67,40.0,0.125,1.0
68,48.0,0.125,1.0
69,48.0,0.125,1.0
70,41.0,2.0,1.0
71,50.0,0.125,4.0
72,53.0,0.125,4.0
73,50.0,1.125,7.0
74,50.0,0.125,7.0
75,50.0,0.125,7.0
76,52.0,0.125,7.0
77,53.0,0.125,7.0
78,52.0,0.125,7.0
79,48.0,1.5,7.0
80,52.0,0.125,1.0
81,45.0,0.125,1.0
82,48.0,0.125,1.0
83,48.0,1.625,1.0
84,48.0,0.125,2.0
85,48.0,0.125,2.0
86,48.0,0.125,2.0
87,45.0,0.125,2.0
88,43.0,1.5,2.0
89,52.0,0.125,1.0
90,48.0,0.125,1.0
91,52.0,0.125,1.0
92,57.0,0.125,1.0
93,50.0,1.5,1.0
94,41.0,0.125,4.0
95,48.0,0.125,4.0
96,48.0,0.125,4.0
97,48.0,0.125,4.0
98,45.0,0.125,4.0
99,43.0,1.125,4.0
100,48.0,0.125,1.0
101,48.0,0.125,1.0
102,45.0,0.125,1.0
103,43.0,4.0,1.0
104,52.0,1.5,4.0
105,52.0,0.125,1.0
106,52.0,0.125,1.0
107,50.0,0.125,1.0
108,48.0,0.125,1.0
109,48.0,1.875,1.0
110,48.0,0.125,4.0
111,48.0,0.125,4.0
112,52.0,0.125,4.0
113,52.0,1.125,1.0
114,52.0,0.125,1.0
115,52.0,0.125,1.0
116,48.0,0.125,1.0
117,48.0,0.125,1.0
118,48.0,2.0,1.0
119,50.0,0.125,4.0
120,53.0,0.125,4.0
121,50.0,0.875,7.0
122,50.0,0.125,7.0
123,50.0,0.25,7.0
124,50.0,0.125,7.0
125,50.0,0.125,7.0
126,50.0,0.125,7.0
127,50.0,0.125,7.0
128,50.0,0.125,7.0
129,48.0,1.75,7.0
130,53.0,0.125,1.0
131,52.0,0.125,1.0
132,52.0,0.125,1.0
133,47.0,1.125,5.0
134,50.0,0.125,2.0
135,53.0,0.125,2.0
136,53.0,0.125,2.0
137,53.0,0.125,2.0
138,53.0,0.125,2.0
139,52.0,1.5,2.0
140,55.0,0.125,1.0
141,57.0,0.125,1.0
142,53.0,0.125,1.0
143,52.0,0.125,1.0
144,55.0,0.125,1.0
145,53.0,1.5,1.0
146,55.0,0.125,4.0
147,53.0,0.125,4.0
148,53.0,0.125,4.0
149,53.0,0.125,4.0
150,52.0,4.0,4.0
151,64.0,1.5,4.0
152,64.0,0.125,1.0
153,62.0,0.125,1.0
154,60.0,0.125,1.0
155,62.0,2.0,1.0
156,55.0,0.125,4.0
157,64.0,1.5,4.0
158,64.0,0.125,1.0
159,64.0,0.125,1.0
160,62.0,0.125,1.0
161,62.0,0.25,1.0
162,60.0,1.75,4.0
163,60.0,0.125,4.0
164,65.0,0.125,4.0
165,62.0,1.125,7.0
166,62.0,0.125,7.0
167,62.0,0.125,7.0
168,64.0,0.125,7.0
169,65.0,0.125,7.0
170,65.0,0.25,7.0
171,64.0,1.5,1.0
172,65.0,0.125,1.0
173,64.0,0.125,1.0
174,60.0,0.125,1.0
175,64.0,0.125,1.0
176,60.0,1.5,1.0
177,60.0,0.125,2.0
178,60.0,0.125,2.0
179,60.0,0.125,2.0
180,57.0,0.125,2.0
181,55.0,1.75,2.0
182,64.0,0.125,1.0
183,60.0,0.125,1.0
184,62.0,0.125,1.0
185,60.0,1.5,7.0
186,60.0,0.125,4.0
187,60.0,0.125,4.0
188,60.0,0.125,4.0
189,60.0,0.25,4.0
190,57.0,1.875,1.0
191,64.0,1.5,1.0
192,64.0,0.125,1.0
193,62.0,0.125,1.0
194,62.0,0.125,1.0
