,note,length,diatonic root
0,52.0,0.125,1.0
1,52.0,0.125,1.0
2,52.0,0.125,1.0
3,50.0,0.125,1.0
4,50.0,0.125,1.0
5,50.0,0.125,1.0
6,52.0,0.5,1.0
7,55.0,0.125,5.0
8,55.0,0.125,5.0
9,53.0,0.125,5.0
10,53.0,0.125,5.0
11,53.0,0.625,5.0
12,52.0,0.125,7.0
13,52.0,0.125,7.0
14,50.0,0.125,7.0
15,50.0,0.125,7.0
16,50.0,0.125,7.0
17,52.0,0.375,7.0
18,55.0,0.125,4.0
19,55.0,0.125,4.0
20,55.0,0.125,4.0
21,53.0,0.125,4.0
22,53.0,0.125,4.0
23,53.0,0.125,4.0
24,50.0,0.125,4.0
25,48.0,0.5,4.0
26,52.0,0.125,6.0
27,52.0,0.125,6.0
28,52.0,0.125,6.0
29,50.0,0.125,6.0
30,48.0,0.125,6.0
31,48.0,0.125,6.0
32,52.0,0.375,6.0
33,48.0,0.125,3.0
34,52.0,0.125,3.0
35,52.0,0.125,3.0
36,50.0,0.125,3.0
37,48.0,0.125,3.0
38,48.0,0.5,3.0
39,50.0,0.125,4.0
40,50.0,0.125,4.0
41,50.0,0.125,4.0
42,50.0,0.125,4.0
43,50.0,0.125,4.0
44,50.0,0.125,4.0
45,48.0,0.125,4.0
46,50.0,0.125,4.0
47,48.0,0.125,4.0
48,52.0,0.375,4.0
49,55.0,0.125,5.0
50,55.0,0.125,5.0
51,55.0,0.125,5.0
52,55.0,0.125,5.0
53,53.0,0.125,5.0
54,53.0,0.125,5.0
55,55.0,0.625,5.0
56,52.0,0.125,1.0
57,52.0,0.125,1.0
58,53.0,0.125,1.0
59,52.0,0.125,1.0
60,52.0,0.125,1.0
61,53.0,0.125,1.0
62,52.0,0.375,1.0
63,55.0,0.125,5.0
64,55.0,0.125,5.0
65,55.0,0.125,5.0
66,55.0,0.125,5.0
67,53.0,0.125,5.0
68,53.0,0.75,5.0
69,50.0,0.125,7.0
70,50.0,0.125,7.0
71,50.0,0.125,7.0
72,50.0,0.125,7.0
73,47.0,0.125,7.0
74,50.0,0.125,7.0
75,50.0,0.125,7.0
76,52.0,0.125,7.0
77,52.0,0.125,7.0
78,52.0,0.125,7.0
79,52.0,0.125,7.0
80,52.0,0.125,7.0
81,55.0,0.125,4.0
82,55.0,0.125,4.0
83,55.0,0.125,4.0
84,53.0,0.125,4.0
85,53.0,0.125,4.0
86,53.0,0.125,4.0
87,50.0,0.125,4.0
88,48.0,0.5,4.0
89,52.0,0.125,6.0
90,52.0,0.125,6.0
91,52.0,0.125,6.0
92,50.0,0.125,6.0
93,48.0,0.125,6.0
94,48.0,0.125,6.0
95,52.0,0.5,6.0
96,45.0,0.125,3.0
97,43.0,0.125,3.0
98,52.0,0.125,3.0
99,50.0,0.125,3.0
100,48.0,0.125,3.0
101,48.0,0.625,3.0
102,50.0,0.125,4.0
103,50.0,0.125,4.0
104,50.0,0.125,4.0
105,50.0,0.125,4.0
106,50.0,0.125,4.0
107,48.0,0.125,4.0
108,50.0,0.125,4.0
109,48.0,0.125,4.0
110,52.0,0.375,4.0
111,55.0,0.125,5.0
112,53.0,0.125,5.0
113,55.0,0.125,5.0
114,59.0,0.125,5.0
115,53.0,0.625,5.0
116,53.0,0.125,6.0
117,53.0,0.125,6.0
118,53.0,0.125,6.0
119,53.0,0.125,6.0
120,53.0,0.125,6.0
121,53.0,0.25,6.0
122,55.0,0.125,6.0
123,53.0,0.125,6.0
124,53.0,0.125,6.0
125,52.0,0.125,6.0
126,52.0,0.875,3.0
127,52.0,0.125,3.0
128,52.0,0.125,3.0
129,52.0,0.125,3.0
130,53.0,0.125,5.0
131,53.0,0.125,5.0
132,53.0,0.625,5.0
133,53.0,0.125,5.0
134,53.0,0.125,5.0
135,53.0,0.125,5.0
136,48.0,0.125,1.0
137,48.0,0.125,1.0
138,48.0,0.75,1.0
139,53.0,0.125,1.0
140,53.0,0.125,6.0
141,53.0,0.125,6.0
142,53.0,0.125,6.0
143,53.0,0.125,6.0
144,53.0,0.125,6.0
145,53.0,0.125,6.0
146,53.0,0.125,6.0
147,55.0,0.125,6.0
148,53.0,0.125,6.0
149,53.0,0.125,6.0
150,52.0,0.125,6.0
151,52.0,0.875,3.0
152,52.0,0.125,3.0
153,52.0,0.125,3.0
154,52.0,0.125,3.0
155,50.0,0.125,4.0
156,50.0,0.125,4.0
157,50.0,0.625,4.0
158,53.0,0.125,4.0
159,53.0,0.125,4.0
160,53.0,0.125,4.0
161,55.0,0.125,5.0
162,55.0,0.125,5.0
163,55.0,0.875,5.0
164,52.0,0.125,1.0
165,52.0,0.125,1.0
166,52.0,0.125,1.0
167,53.0,0.125,1.0
168,52.0,0.125,1.0
169,52.0,0.125,1.0
170,53.0,0.125,1.0
171,52.0,0.375,1.0
172,55.0,0.125,5.0
173,55.0,0.125,5.0
174,55.0,0.125,5.0
175,55.0,0.125,5.0
176,53.0,0.125,5.0
177,53.0,0.125,5.0
178,55.0,0.5,5.0
179,50.0,0.125,7.0
180,50.0,0.125,7.0
181,50.0,0.125,7.0
182,50.0,0.125,7.0
183,50.0,0.125,7.0
184,52.0,0.125,7.0
185,50.0,0.125,7.0
186,52.0,0.125,7.0
187,50.0,0.125,7.0
188,52.0,0.5,7.0
189,55.0,0.125,4.0
190,55.0,0.125,4.0
191,53.0,0.125,4.0
192,53.0,0.125,4.0
193,50.0,0.125,4.0
194,48.0,0.5,4.0
195,50.0,0.125,6.0
196,52.0,0.125,6.0
197,52.0,0.125,6.0
198,50.0,0.125,6.0
199,48.0,0.125,6.0
200,48.0,0.125,6.0
201,52.0,0.375,6.0
202,52.0,0.25,6.0
203,50.0,0.125,3.0
204,48.0,0.125,3.0
205,48.0,0.625,3.0
206,50.0,0.125,4.0
207,50.0,0.125,4.0
208,50.0,0.125,4.0
209,48.0,0.125,4.0
210,52.0,0.125,4.0
211,50.0,0.5,4.0
212,55.0,0.125,5.0
213,55.0,0.125,5.0
214,53.0,0.125,5.0
215,53.0,0.125,5.0
216,55.0,0.625,5.0
217,52.0,0.125,1.0
218,52.0,0.125,1.0
219,52.0,0.125,1.0
220,52.0,0.125,1.0
221,52.0,0.125,1.0
222,53.0,0.125,1.0
223,52.0,0.375,1.0
224,55.0,0.25,5.0
225,55.0,0.125,5.0
226,53.0,0.125,5.0
227,53.0,0.125,5.0
228,55.0,0.125,5.0
229,50.0,0.125,5.0
230,50.0,0.125,5.0
231,50.0,0.125,7.0
232,50.0,0.125,7.0
233,50.0,0.125,7.0
234,50.0,0.125,7.0
235,50.0,0.125,7.0
236,50.0,0.125,7.0
237,50.0,0.125,7.0
238,52.0,0.125,7.0
239,47.0,0.25,7.0
240,55.0,0.125,4.0
241,55.0,0.125,4.0
242,53.0,0.125,4.0
243,53.0,0.125,4.0
244,53.0,0.125,4.0
245,50.0,0.125,4.0
246,48.0,0.375,4.0
247,52.0,0.125,6.0
248,52.0,0.125,6.0
249,52.0,0.125,6.0
250,52.0,0.125,6.0
251,50.0,0.125,6.0
252,48.0,0.125,6.0
253,48.0,0.125,6.0
254,50.0,0.125,6.0
255,52.0,0.125,6.0
256,52.0,0.25,6.0
257,50.0,0.125,3.0
258,48.0,0.125,3.0
259,48.0,0.625,3.0
260,50.0,0.125,4.0
261,50.0,0.125,4.0
262,50.0,0.125,4.0
263,50.0,0.125,4.0
264,48.0,0.125,4.0
265,50.0,0.125,4.0
266,50.0,0.125,4.0
267,50.0,0.125,4.0
268,48.0,0.125,4.0
269,52.0,0.375,4.0
270,55.0,0.125,5.0
271,53.0,0.125,5.0
272,55.0,0.125,5.0
273,59.0,0.125,5.0
274,55.0,0.125,5.0
275,53.0,0.25,5.0
276,55.0,0.375,5.0
277,53.0,0.125,6.0
278,53.0,0.125,6.0
279,53.0,0.125,6.0
280,53.0,0.125,6.0
281,53.0,0.125,6.0
282,53.0,0.25,6.0
283,55.0,0.125,6.0
284,53.0,0.125,6.0
285,53.0,0.125,6.0
286,52.0,0.125,6.0
287,52.0,0.875,3.0
288,52.0,0.125,3.0
289,52.0,0.125,3.0
290,52.0,0.125,3.0
291,53.0,0.125,5.0
292,53.0,0.125,5.0
293,53.0,0.625,5.0
294,53.0,0.125,5.0
295,53.0,0.125,5.0
296,53.0,0.125,5.0
297,48.0,0.125,1.0
298,48.0,0.125,1.0
299,48.0,0.75,1.0
300,48.0,0.125,1.0
301,53.0,0.125,1.0
302,53.0,0.125,6.0
303,53.0,0.125,6.0
304,53.0,0.125,6.0
305,53.0,0.125,6.0
306,53.0,0.125,6.0
307,53.0,0.125,6.0
308,53.0,0.125,6.0
309,55.0,0.125,6.0
310,53.0,0.125,6.0
311,53.0,0.125,6.0
312,52.0,0.125,6.0
313,52.0,0.875,3.0
314,52.0,0.125,3.0
315,52.0,0.125,3.0
316,52.0,0.125,3.0
317,50.0,0.125,4.0
318,50.0,0.125,4.0
319,50.0,0.625,4.0
320,52.0,0.125,4.0
321,53.0,0.125,4.0
322,53.0,0.125,4.0
323,55.0,0.125,5.0
324,55.0,0.125,5.0
325,55.0,0.875,5.0
326,52.0,0.125,1.0
327,52.0,0.125,1.0
328,53.0,0.125,1.0
329,52.0,0.125,1.0
330,53.0,0.125,1.0
331,52.0,0.375,1.0
332,43.0,0.125,5.0
333,55.0,0.125,5.0
334,55.0,0.125,5.0
335,55.0,0.125,5.0
336,53.0,0.125,5.0
337,55.0,0.25,5.0
338,47.0,0.125,5.0
339,47.0,0.125,5.0
340,47.0,0.375,5.0
341,52.0,0.125,7.0
342,50.0,0.125,7.0
343,50.0,0.125,7.0
344,50.0,0.125,7.0
345,52.0,0.125,7.0
346,50.0,0.125,7.0
347,50.0,0.125,7.0
348,52.0,0.375,7.0
349,55.0,0.125,4.0
350,55.0,0.125,4.0
351,55.0,0.125,4.0
352,53.0,0.125,4.0
353,50.0,0.125,4.0
354,50.0,0.5,4.0
355,40.0,0.125,6.0
356,52.0,0.125,6.0
357,52.0,0.125,6.0
358,52.0,0.125,6.0
359,50.0,0.125,6.0
360,48.0,0.125,6.0
361,48.0,0.125,6.0
362,52.0,0.375,6.0
363,40.0,0.125,3.0
364,52.0,0.125,3.0
365,50.0,0.125,3.0
366,50.0,0.125,3.0
367,48.0,0.125,3.0
368,48.0,0.5,3.0
369,38.0,0.125,4.0
370,50.0,0.125,4.0
371,50.0,0.125,4.0
372,50.0,0.125,4.0
373,48.0,0.125,4.0
374,50.0,0.125,4.0
375,48.0,0.125,4.0
376,52.0,0.125,4.0
377,52.0,0.125,4.0
378,48.0,0.125,4.0
379,52.0,0.125,4.0
380,55.0,0.125,5.0
381,55.0,0.125,5.0
382,53.0,0.125,5.0
