,note,length,diatonic root
0,57.0,0.125,1.0
1,60.0,0.125,1.0
2,57.0,0.125,1.0
3,60.0,0.125,1.0
4,62.0,0.25,1.0
5,60.0,1.5,1.0
6,62.0,0.125,1.0
7,65.0,0.125,1.0
8,67.0,0.125,1.0
9,65.0,0.125,1.0
10,62.0,0.125,1.0
11,65.0,1.125,4.0
12,57.0,0.125,4.0
13,60.0,0.125,4.0
14,57.0,0.125,4.0
15,60.0,0.125,4.0
16,62.0,0.25,4.0
17,60.0,1.625,1.0
18,67.0,0.125,1.0
19,67.0,0.875,1.0
20,65.0,0.125,5.0
21,65.0,0.625,5.0
22,62.0,0.125,4.0
23,65.0,0.125,4.0
24,62.0,0.125,4.0
25,67.0,1.625,4.0
26,65.0,0.125,1.0
27,65.0,0.125,1.0
28,67.0,0.125,1.0
29,62.0,0.125,1.0
30,60.0,1.5,1.0
31,55.0,0.125,1.0
32,60.0,0.125,1.0
33,57.0,0.125,1.0
34,60.0,0.125,1.0
35,62.0,0.125,1.0
36,62.0,0.125,1.0
37,60.0,1.5,1.0
38,62.0,0.125,1.0
39,65.0,0.25,1.0
40,65.0,0.125,1.0
41,65.0,0.125,1.0
42,62.0,0.125,4.0
43,65.0,1.125,4.0
44,55.0,0.125,4.0
45,60.0,0.125,4.0
46,57.0,0.125,4.0
47,60.0,0.125,4.0
48,62.0,0.125,4.0
49,62.0,0.125,4.0
50,60.0,1.75,1.0
51,67.0,0.125,1.0
52,67.0,0.875,1.0
53,65.0,0.125,5.0
54,65.0,0.625,5.0
55,62.0,0.125,4.0
56,65.0,0.125,4.0
57,62.0,0.125,4.0
58,65.0,0.125,4.0
59,67.0,4.0,4.0
60,67.0,0.125,1.0
61,67.0,0.25,1.0
62,67.0,0.25,1.0
63,65.0,0.5,4.0
64,69.0,0.125,4.0
65,72.0,0.25,4.0
66,69.0,0.125,4.0
67,72.0,0.75,4.0
68,57.0,0.125,4.0
69,60.0,0.25,4.0
70,57.0,0.125,1.0
71,60.0,0.25,1.0
72,60.0,0.125,1.0
73,62.0,0.125,1.0
74,65.0,0.125,1.0
75,65.0,0.25,1.0
76,65.0,0.125,1.0
77,65.0,0.125,1.0
78,62.0,0.75,1.0
79,60.0,0.125,1.0
80,72.0,0.125,4.0
81,69.0,0.125,4.0
82,67.0,0.125,4.0
83,65.0,0.125,4.0
84,62.0,0.125,4.0
85,65.0,0.125,4.0
86,62.0,0.25,4.0
87,62.0,0.125,4.0
88,60.0,0.75,4.0
89,60.0,0.125,4.0
90,67.0,0.25,4.0
91,67.0,0.25,5.0
92,67.0,0.125,5.0
93,65.0,0.125,5.0
94,67.0,0.125,5.0
95,67.0,0.125,5.0
96,65.0,0.125,5.0
97,62.0,0.25,5.0
98,65.0,0.125,5.0
99,67.0,0.25,5.0
100,71.0,0.25,5.0
101,72.0,0.75,5.0
102,64.0,0.125,1.0
103,62.0,0.125,1.0
104,60.0,0.5,1.0
105,55.0,0.125,1.0
106,60.0,0.125,1.0
107,57.0,0.125,1.0
108,60.0,0.125,1.0
109,57.0,0.125,1.0
110,55.0,1.5,1.0
111,62.0,0.125,1.0
112,65.0,0.25,1.0
113,65.0,0.125,1.0
114,65.0,0.125,1.0
115,62.0,0.125,4.0
116,65.0,1.125,4.0
117,55.0,0.125,4.0
118,60.0,0.125,4.0
119,57.0,0.125,4.0
120,60.0,0.125,4.0
121,62.0,0.125,4.0
122,62.0,0.125,4.0
123,60.0,1.75,1.0
124,67.0,0.125,1.0
125,67.0,0.875,1.0
126,65.0,0.125,5.0
127,65.0,0.625,5.0
128,62.0,0.125,4.0
129,65.0,0.125,4.0
130,62.0,0.125,4.0
131,65.0,0.125,4.0
132,67.0,4.0,4.0
133,62.0,0.125,1.0
134,65.0,0.125,1.0
135,67.0,0.25,1.0
136,65.0,0.625,4.0
137,69.0,0.125,4.0
138,72.0,0.125,4.0
139,69.0,0.125,4.0
140,72.0,1.0,4.0
141,57.0,0.125,4.0
142,60.0,0.25,4.0
143,57.0,0.125,1.0
144,60.0,0.25,1.0
145,60.0,0.125,1.0
146,62.0,0.125,1.0
147,65.0,0.125,1.0
148,65.0,0.125,1.0
149,65.0,0.125,1.0
150,65.0,0.125,1.0
151,62.0,0.75,1.0
152,60.0,0.125,1.0
153,72.0,0.125,4.0
154,69.0,0.125,4.0
155,67.0,0.125,4.0
156,65.0,0.125,4.0
157,62.0,0.125,4.0
158,65.0,0.125,4.0
159,62.0,0.25,4.0
160,62.0,0.125,4.0
161,60.0,0.75,4.0
162,60.0,0.125,4.0
163,67.0,0.25,4.0
164,67.0,0.25,5.0
165,67.0,0.125,5.0
166,65.0,0.125,5.0
167,67.0,0.125,5.0
168,67.0,0.125,5.0
169,65.0,0.125,5.0
170,62.0,0.25,5.0
171,65.0,0.125,5.0
172,67.0,0.25,5.0
173,71.0,0.5,5.0
174,72.0,0.75,1.0
175,64.0,0.125,1.0
176,62.0,0.125,1.0
177,60.0,0.375,1.0
178,57.0,0.125,1.0
179,60.0,0.125,1.0
180,57.0,0.125,1.0
181,60.0,0.125,1.0
182,57.0,0.125,1.0
183,55.0,1.5,1.0
184,62.0,0.125,1.0
185,65.0,0.25,1.0
186,65.0,0.125,1.0
187,65.0,0.125,1.0
188,62.0,0.125,4.0
189,65.0,1.125,4.0
190,55.0,0.125,4.0
191,60.0,0.125,4.0
192,57.0,0.125,4.0
193,60.0,0.125,4.0
194,62.0,0.25,4.0
195,62.0,0.125,1.0
196,60.0,1.5,1.0
197,67.0,0.125,1.0
198,67.0,0.875,1.0
199,65.0,0.125,5.0
200,62.0,0.125,5.0
201,65.0,0.5,5.0
202,60.0,0.125,4.0
203,62.0,0.125,4.0
204,65.0,0.125,4.0
205,62.0,0.125,4.0
206,65.0,0.125,4.0
207,67.0,1.5,4.0
208,62.0,0.125,1.0
209,65.0,0.125,1.0
210,65.0,0.25,1.0
211,62.0,0.125,1.0
212,60.0,1.5,1.0
213,55.0,0.125,1.0
214,60.0,0.125,1.0
215,57.0,0.125,1.0
216,60.0,0.125,1.0
217,62.0,0.25,1.0
218,60.0,1.5,1.0
219,62.0,0.125,1.0
220,65.0,0.25,1.0
221,65.0,0.125,1.0
222,65.0,0.125,1.0
223,62.0,0.125,4.0
224,65.0,1.125,4.0
225,60.0,0.125,4.0
226,62.0,0.125,4.0
227,65.0,0.125,4.0
228,67.0,0.125,4.0
229,67.0,0.125,4.0
230,65.0,0.125,4.0
231,62.0,1.75,1.0
232,67.0,0.125,1.0
233,67.0,0.875,1.0
234,65.0,0.125,5.0
235,65.0,0.625,5.0
236,60.0,0.125,4.0
237,62.0,0.125,4.0
238,65.0,0.125,4.0
239,62.0,0.125,4.0
240,65.0,0.125,4.0
241,67.0,1.75,4.0
242,67.0,0.125,1.0
243,67.0,0.875,1.0
244,65.0,0.125,5.0
245,65.0,0.625,5.0
246,60.0,0.125,4.0
247,62.0,0.125,4.0
248,65.0,0.125,4.0
249,62.0,0.125,4.0
250,67.0,0.125,4.0
251,65.0,0.125,4.0
252,62.0,1.75,4.0
253,67.0,0.125,1.0
254,67.0,0.875,1.0
255,65.0,0.125,5.0
256,65.0,0.125,5.0
257,62.0,0.125,4.0
258,60.0,0.375,4.0
259,60.0,0.125,4.0
260,62.0,0.125,4.0
261,65.0,0.125,4.0
262,62.0,0.125,4.0
263,67.0,0.125,4.0
264,65.0,0.125,4.0
265,62.0,2.75,4.0
