,note,length,diatonic root
0,57.0,0.25,5.0
1,57.0,0.25,5.0
2,55.0,0.25,5.0
3,53.0,0.125,1.0
4,52.0,0.5,1.0
5,52.0,0.125,1.0
6,55.0,0.125,1.0
7,53.0,0.125,1.0
8,52.0,0.125,5.0
9,50.0,0.875,5.0
10,52.0,0.125,6.0
11,52.0,0.125,6.0
12,52.0,0.125,6.0
13,52.0,0.25,6.0
14,52.0,0.25,6.0
15,47.0,0.75,6.0
16,57.0,0.25,3.0
17,55.0,0.25,3.0
18,53.0,0.125,1.0
19,52.0,0.5,1.0
20,52.0,0.125,1.0
21,55.0,0.125,1.0
22,53.0,0.125,1.0
23,52.0,0.25,5.0
24,50.0,0.875,5.0
25,52.0,0.125,6.0
26,52.0,0.125,6.0
27,52.0,0.125,6.0
28,52.0,0.25,6.0
29,52.0,0.125,6.0
30,59.0,1.125,6.0
31,60.0,0.125,4.0
32,59.0,0.125,4.0
33,57.0,0.125,4.0
34,55.0,0.25,4.0
35,53.0,0.25,5.0
36,55.0,0.25,5.0
37,53.0,0.125,1.0
38,52.0,0.25,1.0
39,50.0,0.125,1.0
40,52.0,0.125,1.0
41,50.0,0.125,6.0
42,48.0,0.5,6.0
43,60.0,0.125,4.0
44,59.0,0.125,4.0
45,57.0,0.125,4.0
46,55.0,0.25,4.0
47,52.0,0.125,5.0
48,50.0,0.25,5.0
49,48.0,0.75,5.0
50,57.0,0.25,1.0
51,55.0,0.25,1.0
52,53.0,0.125,1.0
53,52.0,0.5,1.0
54,52.0,0.125,1.0
55,55.0,0.125,1.0
56,53.0,0.25,1.0
57,52.0,0.125,5.0
58,50.0,0.875,5.0
59,52.0,0.125,6.0
60,52.0,0.125,6.0
61,52.0,0.125,6.0
62,52.0,0.25,6.0
63,52.0,0.25,6.0
64,47.0,0.75,6.0
65,57.0,0.25,3.0
66,55.0,0.25,3.0
67,53.0,0.125,1.0
68,52.0,0.5,1.0
69,52.0,0.125,1.0
70,55.0,0.125,1.0
71,53.0,0.25,1.0
72,52.0,0.125,5.0
73,50.0,0.875,5.0
74,52.0,0.125,6.0
75,52.0,0.125,6.0
76,52.0,0.125,6.0
77,52.0,0.25,6.0
78,52.0,0.125,6.0
79,59.0,1.125,6.0
80,60.0,0.125,4.0
81,59.0,0.125,4.0
82,57.0,0.125,4.0
83,55.0,0.25,4.0
84,53.0,0.25,5.0
85,55.0,0.25,5.0
86,53.0,0.125,1.0
87,52.0,0.25,1.0
88,50.0,0.125,1.0
89,52.0,0.125,1.0
90,50.0,0.125,6.0
91,48.0,0.5,6.0
92,60.0,0.125,4.0
93,59.0,0.125,4.0
94,57.0,0.125,4.0
95,55.0,0.25,4.0
96,50.0,0.25,5.0
97,48.0,1.125,5.0
98,57.0,0.25,2.0
99,60.0,0.25,2.0
100,64.0,0.25,2.0
101,62.0,0.25,2.0
102,60.0,0.25,5.0
103,59.0,0.25,5.0
104,57.0,0.25,5.0
105,55.0,0.125,5.0
106,55.0,0.625,1.0
107,55.0,0.125,1.0
108,55.0,0.125,1.0
109,57.0,1.125,1.0
110,57.0,0.25,2.0
111,60.0,0.25,2.0
112,64.0,0.25,2.0
113,62.0,0.25,2.0
114,60.0,0.25,5.0
115,59.0,0.25,5.0
116,57.0,0.25,5.0
117,55.0,0.625,5.0
118,60.0,0.125,1.0
119,60.0,0.125,1.0
120,62.0,0.75,1.0
121,53.0,0.125,5.0
122,53.0,0.125,5.0
123,55.0,0.75,4.0
124,53.0,0.125,5.0
125,53.0,0.125,5.0
126,55.0,1.875,4.0
127,57.0,0.25,5.0
128,55.0,0.25,5.0
129,53.0,0.125,1.0
130,52.0,0.5,1.0
131,52.0,0.125,1.0
132,55.0,0.125,1.0
133,53.0,0.125,1.0
134,52.0,0.125,5.0
135,50.0,0.875,5.0
136,52.0,0.125,6.0
137,52.0,0.125,6.0
138,52.0,0.125,6.0
139,52.0,0.25,6.0
140,52.0,0.25,6.0
141,47.0,0.75,6.0
142,57.0,0.25,3.0
143,55.0,0.25,3.0
144,53.0,0.125,1.0
145,52.0,0.5,1.0
146,52.0,0.125,1.0
147,55.0,0.125,1.0
148,53.0,0.125,1.0
149,52.0,0.125,5.0
150,50.0,0.875,5.0
151,52.0,0.125,6.0
152,52.0,0.125,6.0
153,52.0,0.125,6.0
154,52.0,0.25,6.0
155,52.0,0.125,6.0
156,59.0,1.125,6.0
157,60.0,0.125,4.0
158,59.0,0.125,4.0
159,57.0,0.125,4.0
160,55.0,0.25,4.0
161,53.0,0.25,5.0
162,55.0,0.25,5.0
163,53.0,0.125,1.0
164,52.0,0.25,1.0
165,50.0,0.125,1.0
166,52.0,0.125,1.0
