,note,length,diatonic root
0,50.0,0.625,1.0
1,48.0,0.125,4.0
2,45.0,0.125,4.0
3,48.0,0.125,4.0
4,50.0,0.25,4.0
5,52.0,2.75,4.0
6,50.0,0.125,1.0
7,50.0,0.125,1.0
8,50.0,0.25,1.0
9,50.0,0.125,1.0
10,45.0,0.5,4.0
11,45.0,0.125,4.0
12,48.0,0.125,4.0
13,52.0,2.25,4.0
14,52.0,0.125,1.0
15,52.0,0.125,1.0
16,52.0,0.125,1.0
17,50.0,0.125,1.0
18,48.0,0.375,1.0
19,48.0,0.125,3.0
20,48.0,0.125,3.0
21,48.0,0.75,3.0
22,53.0,0.125,4.0
23,53.0,0.125,4.0
24,53.0,0.125,4.0
25,53.0,0.125,4.0
26,53.0,0.125,4.0
27,53.0,0.25,4.0
28,50.0,0.125,4.0
29,50.0,0.125,5.0
30,50.0,0.125,5.0
31,48.0,0.25,5.0
32,50.0,1.0,5.0
33,50.0,0.625,1.0
34,48.0,0.125,4.0
35,45.0,0.125,4.0
36,48.0,0.125,4.0
37,48.0,0.25,4.0
38,48.0,4.0,4.0
39,50.0,0.125,1.0
40,50.0,0.125,1.0
41,50.0,0.875,1.0
42,50.0,0.125,4.0
43,48.0,0.125,4.0
44,50.0,0.125,4.0
45,48.0,0.125,4.0
46,50.0,0.125,4.0
47,52.0,2.25,4.0
48,50.0,0.125,1.0
49,50.0,0.125,1.0
50,50.0,0.75,1.0
51,45.0,0.125,4.0
52,50.0,0.125,4.0
53,50.0,0.125,4.0
54,50.0,0.125,4.0
55,50.0,0.125,4.0
56,48.0,0.125,4.0
57,45.0,0.125,4.0
58,52.0,2.25,4.0
59,52.0,0.125,1.0
60,52.0,0.125,1.0
61,52.0,0.125,1.0
62,52.0,0.125,1.0
63,52.0,0.375,1.0
64,47.0,0.125,1.0
65,52.0,0.125,1.0
66,48.0,0.125,3.0
67,48.0,0.125,3.0
68,48.0,0.125,3.0
69,48.0,0.625,3.0
70,53.0,0.125,4.0
71,53.0,0.125,4.0
72,53.0,0.25,4.0
73,53.0,0.125,4.0
74,53.0,0.125,4.0
75,53.0,0.125,4.0
76,50.0,0.125,4.0
77,50.0,0.125,5.0
78,50.0,0.125,5.0
79,50.0,0.125,5.0
80,50.0,0.125,5.0
81,48.0,0.125,5.0
82,50.0,1.0,5.0
83,50.0,0.625,1.0
84,48.0,0.125,4.0
85,45.0,0.125,4.0
86,48.0,0.125,4.0
87,48.0,0.25,4.0
88,48.0,4.0,4.0
89,50.0,0.125,1.0
90,50.0,0.125,1.0
91,50.0,0.75,1.0
92,48.0,0.125,4.0
93,50.0,0.25,4.0
94,50.0,0.125,4.0
95,50.0,0.25,4.0
96,50.0,2.25,4.0
97,52.0,0.125,1.0
98,50.0,0.25,1.0
99,52.0,0.75,1.0
100,50.0,0.125,4.0
101,48.0,0.125,4.0
102,50.0,0.25,4.0
103,50.0,0.125,4.0
104,50.0,2.25,4.0
105,52.0,0.125,1.0
106,52.0,0.125,1.0
107,52.0,0.125,1.0
108,52.0,0.125,1.0
109,52.0,0.375,1.0
110,52.0,0.125,1.0
111,48.0,0.125,3.0
112,48.0,0.125,3.0
113,48.0,0.75,3.0
114,53.0,0.125,4.0
115,53.0,0.125,4.0
116,53.0,0.125,4.0
117,53.0,0.125,4.0
118,53.0,0.125,4.0
119,53.0,0.125,4.0
120,50.0,0.125,4.0
121,50.0,0.125,4.0
122,50.0,0.125,5.0
123,50.0,0.125,5.0
124,50.0,0.125,5.0
125,48.0,0.125,5.0
126,50.0,1.0,5.0
127,50.0,0.625,1.0
128,48.0,0.125,4.0
129,45.0,0.125,4.0
130,48.0,0.125,4.0
131,48.0,0.25,4.0
132,48.0,4.0,4.0
133,50.0,0.125,1.0
134,50.0,0.25,1.0
135,50.0,0.25,1.0
136,50.0,0.375,1.0
137,48.0,0.125,4.0
138,50.0,0.25,4.0
139,50.0,0.125,4.0
140,48.0,0.25,4.0
141,52.0,2.25,4.0
142,48.0,0.125,1.0
143,48.0,0.125,1.0
144,50.0,0.125,1.0
145,50.0,0.125,1.0
146,50.0,0.125,1.0
147,50.0,0.125,1.0
148,50.0,0.125,1.0
149,50.0,0.625,1.0
150,48.0,0.125,4.0
151,50.0,0.125,4.0
152,48.0,0.125,4.0
153,48.0,0.125,4.0
154,52.0,2.25,4.0
155,52.0,0.125,1.0
156,52.0,0.125,1.0
157,52.0,0.125,1.0
158,50.0,0.5,1.0
159,52.0,0.125,1.0
160,48.0,0.125,3.0
161,48.0,0.125,3.0
162,48.0,0.5,3.0
163,48.0,0.125,3.0
164,50.0,0.125,3.0
165,53.0,0.125,4.0
166,53.0,0.125,4.0
167,53.0,0.125,4.0
168,53.0,0.125,4.0
169,53.0,0.125,4.0
170,53.0,0.125,4.0
171,50.0,0.125,4.0
172,50.0,0.125,4.0
173,50.0,0.125,5.0
174,50.0,0.25,5.0
175,48.0,0.125,5.0
176,48.0,0.125,5.0
177,50.0,1.0,5.0
178,50.0,0.625,1.0
179,48.0,0.125,4.0
180,45.0,0.125,4.0
181,48.0,0.125,4.0
182,48.0,0.25,4.0
183,48.0,4.0,4.0
184,50.0,0.125,1.0
185,50.0,0.125,1.0
186,50.0,0.125,1.0
187,50.0,0.125,1.0
188,50.0,0.125,1.0
189,50.0,0.25,1.0
190,50.0,0.25,1.0
191,50.0,0.125,4.0
192,50.0,0.125,4.0
193,50.0,0.125,4.0
194,50.0,0.25,4.0
195,48.0,0.25,4.0
196,50.0,2.0,4.0
197,48.0,0.125,1.0
198,50.0,0.125,1.0
199,50.0,0.125,1.0
200,50.0,0.625,1.0
201,48.0,0.125,4.0
202,50.0,0.125,4.0
203,50.0,0.125,4.0
204,50.0,0.125,4.0
205,50.0,0.125,4.0
206,50.0,0.125,4.0
207,48.0,0.125,4.0
208,52.0,2.25,4.0
209,52.0,0.125,1.0
210,52.0,0.125,1.0
211,52.0,0.125,1.0
212,52.0,0.375,1.0
213,52.0,0.125,1.0
214,52.0,0.125,1.0
215,48.0,0.125,3.0
216,48.0,0.125,3.0
217,48.0,0.25,3.0
218,48.0,0.625,3.0
219,53.0,0.125,4.0
220,53.0,0.125,4.0
221,53.0,0.125,4.0
222,53.0,0.125,4.0
223,53.0,0.125,4.0
224,53.0,0.125,4.0
225,50.0,0.125,4.0
226,50.0,0.125,4.0
227,50.0,0.125,5.0
228,50.0,0.125,5.0
229,50.0,0.125,5.0
230,48.0,0.125,5.0
231,50.0,1.0,5.0
232,50.0,0.625,1.0
233,48.0,0.125,4.0
234,45.0,0.25,4.0
235,48.0,0.125,4.0
236,48.0,0.25,4.0
237,48.0,1.5,4.0
238,50.0,0.125,4.0
239,50.0,0.125,4.0
