,note,length,diatonic root
0,43.0,0.375,7.0
1,40.0,0.125,1.0
2,36.0,0.375,1.0
3,31.0,0.125,6.0
4,33.0,1.0,6.0
5,43.0,0.375,7.0
6,33.0,0.125,1.0
7,36.0,0.375,1.0
8,31.0,0.125,6.0
9,33.0,1.0,6.0
10,43.0,0.375,7.0
11,36.0,0.125,1.0
12,41.0,0.375,1.0
13,36.0,0.125,6.0
14,41.0,1.0,6.0
15,43.0,0.375,7.0
16,40.0,0.125,1.0
17,41.0,0.375,1.0
18,41.0,0.125,6.0
19,41.0,0.5,6.0
20,55.0,0.875,4.0
21,57.0,0.125,1.0
22,52.0,0.25,1.0
23,50.0,0.125,6.0
24,48.0,0.25,6.0
25,55.0,0.125,6.0
26,55.0,0.125,1.0
27,55.0,0.125,1.0
28,57.0,0.125,1.0
29,52.0,0.25,1.0
30,50.0,0.125,6.0
31,48.0,0.25,6.0
32,55.0,0.125,6.0
33,55.0,0.125,1.0
34,55.0,0.125,1.0
35,57.0,0.125,1.0
36,52.0,0.25,1.0
37,50.0,0.125,6.0
38,48.0,0.25,6.0
39,55.0,0.125,6.0
40,55.0,0.125,1.0
41,55.0,0.125,1.0
42,57.0,0.125,1.0
43,52.0,0.25,1.0
44,50.0,0.125,6.0
45,48.0,0.25,6.0
46,50.0,0.125,6.0
47,47.0,0.125,2.0
48,47.0,0.125,2.0
49,45.0,0.125,2.0
50,48.0,0.5,2.0
51,50.0,0.125,4.0
52,47.0,0.125,2.0
53,47.0,0.125,2.0
54,45.0,0.125,2.0
55,48.0,0.125,2.0
56,50.0,0.125,4.0
57,50.0,0.125,4.0
58,48.0,0.25,4.0
59,55.0,0.375,4.0
60,57.0,0.125,1.0
61,52.0,0.25,1.0
62,50.0,0.125,6.0
63,48.0,0.25,6.0
64,55.0,0.125,6.0
65,55.0,0.125,1.0
66,55.0,0.125,1.0
67,57.0,0.125,1.0
68,52.0,0.25,1.0
69,50.0,0.125,6.0
70,48.0,0.25,6.0
71,55.0,0.125,6.0
72,55.0,0.125,1.0
73,55.0,0.125,1.0
74,57.0,0.125,1.0
75,52.0,0.25,1.0
76,50.0,0.125,6.0
77,48.0,0.25,6.0
78,55.0,0.125,6.0
79,55.0,0.125,1.0
80,55.0,0.125,1.0
81,57.0,0.125,1.0
82,52.0,0.25,1.0
83,50.0,0.125,6.0
84,48.0,0.25,6.0
85,50.0,0.125,6.0
86,47.0,0.125,2.0
87,47.0,0.125,2.0
88,45.0,0.125,2.0
89,48.0,0.5,2.0
90,50.0,0.125,4.0
91,47.0,0.125,2.0
92,47.0,0.125,2.0
93,45.0,0.125,2.0
94,48.0,0.125,2.0
95,50.0,0.125,4.0
96,50.0,0.125,4.0
97,48.0,0.125,4.0
98,48.0,4.0,4.0
99,40.0,0.375,7.0
100,36.0,0.125,1.0
101,36.0,0.375,1.0
102,33.0,0.125,6.0
103,33.0,1.0,6.0
104,43.0,0.375,7.0
105,33.0,0.125,1.0
106,36.0,0.375,1.0
107,31.0,0.125,6.0
108,33.0,1.0,6.0
109,43.0,0.375,7.0
110,40.0,0.125,1.0
111,41.0,0.375,1.0
112,41.0,0.125,6.0
113,41.0,1.0,6.0
114,43.0,0.375,7.0
115,36.0,0.125,1.0
116,41.0,0.375,1.0
117,38.0,0.125,6.0
118,41.0,0.5,6.0
119,55.0,0.875,4.0
120,57.0,0.125,1.0
121,52.0,0.25,1.0
122,50.0,0.125,6.0
123,48.0,0.25,6.0
124,55.0,0.125,6.0
125,55.0,0.125,1.0
126,55.0,0.125,1.0
127,57.0,0.125,1.0
128,52.0,0.25,1.0
129,50.0,0.125,6.0
130,48.0,0.25,6.0
131,55.0,0.125,6.0
132,55.0,0.125,1.0
133,55.0,0.125,1.0
134,57.0,0.125,1.0
135,52.0,0.25,1.0
136,50.0,0.125,6.0
137,48.0,0.25,6.0
138,55.0,0.125,6.0
139,55.0,0.125,1.0
140,55.0,0.125,1.0
141,57.0,0.125,1.0
142,52.0,0.25,1.0
143,50.0,0.125,6.0
144,48.0,0.25,6.0
145,50.0,0.125,6.0
146,47.0,0.125,2.0
147,47.0,0.125,2.0
148,45.0,0.125,2.0
149,48.0,0.5,2.0
150,50.0,0.125,4.0
151,47.0,0.125,2.0
152,47.0,0.125,2.0
153,45.0,0.125,2.0
154,48.0,0.125,2.0
155,50.0,0.125,4.0
156,50.0,0.125,4.0
157,48.0,0.25,4.0
158,55.0,0.375,4.0
159,57.0,0.125,1.0
160,52.0,0.25,1.0
161,50.0,0.125,6.0
162,48.0,0.25,6.0
163,55.0,0.125,6.0
164,55.0,0.125,1.0
165,55.0,0.125,1.0
166,57.0,0.125,1.0
167,52.0,0.25,1.0
168,50.0,0.125,6.0
169,48.0,0.25,6.0
170,55.0,0.125,6.0
171,55.0,0.125,1.0
172,55.0,0.125,1.0
173,57.0,0.125,1.0
174,52.0,0.25,1.0
175,50.0,0.125,6.0
176,48.0,0.25,6.0
177,55.0,0.125,6.0
178,55.0,0.125,1.0
179,55.0,0.125,1.0
180,57.0,0.125,1.0
181,52.0,0.25,1.0
182,50.0,0.125,6.0
183,48.0,0.25,6.0
184,50.0,0.125,6.0
185,47.0,0.125,2.0
186,47.0,0.125,2.0
187,45.0,0.125,2.0
188,48.0,0.5,2.0
189,50.0,0.125,4.0
190,47.0,0.125,2.0
191,47.0,0.125,2.0
192,45.0,0.125,2.0
193,48.0,0.125,2.0
194,50.0,0.125,4.0
195,50.0,0.125,4.0
196,48.0,0.25,4.0
197,48.0,4.0,4.0
198,55.0,0.875,4.0
199,57.0,0.125,1.0
200,52.0,0.25,1.0
201,50.0,0.125,6.0
202,48.0,0.25,6.0
203,55.0,0.125,6.0
204,55.0,0.125,1.0
205,55.0,0.125,1.0
206,57.0,0.125,1.0
207,52.0,0.25,1.0
208,50.0,0.125,6.0
209,48.0,0.25,6.0
210,55.0,0.125,6.0
211,55.0,0.125,1.0
212,55.0,0.125,1.0
213,57.0,0.125,1.0
214,52.0,0.25,1.0
215,50.0,0.125,6.0
216,48.0,0.25,6.0
217,55.0,0.125,6.0
218,55.0,0.125,1.0
219,55.0,0.125,1.0
220,57.0,0.125,1.0
221,52.0,0.25,1.0
222,50.0,0.125,6.0
223,48.0,0.25,6.0
224,50.0,0.125,6.0
225,47.0,0.125,2.0
226,47.0,0.125,2.0
227,45.0,0.125,2.0
228,48.0,0.5,2.0
229,50.0,0.125,4.0
230,47.0,0.125,2.0
231,47.0,0.125,2.0
232,45.0,0.125,2.0
233,48.0,0.125,2.0
234,50.0,0.125,4.0
235,50.0,0.125,4.0
236,48.0,0.25,4.0
237,55.0,0.375,4.0
238,57.0,0.125,1.0
239,52.0,0.25,1.0
240,50.0,0.125,6.0
241,48.0,0.25,6.0
242,55.0,0.125,6.0
243,55.0,0.125,1.0
244,55.0,0.125,1.0
245,57.0,0.125,1.0
246,52.0,0.25,1.0
247,50.0,0.125,6.0
248,48.0,0.25,6.0
249,55.0,0.125,6.0
250,55.0,0.125,1.0
251,55.0,0.125,1.0
252,57.0,0.125,1.0
253,52.0,0.25,1.0
254,50.0,0.125,6.0
255,48.0,0.25,6.0
256,55.0,0.125,6.0
257,55.0,0.125,1.0
258,55.0,0.125,1.0
259,57.0,0.125,1.0
260,52.0,0.25,1.0
261,50.0,0.125,6.0
262,48.0,0.25,6.0
263,50.0,0.125,6.0
264,47.0,0.125,2.0
265,47.0,0.125,2.0
266,45.0,0.125,2.0
267,48.0,0.5,2.0
268,50.0,0.125,4.0
269,47.0,0.125,2.0
270,47.0,0.125,2.0
271,45.0,0.125,2.0
272,48.0,0.5,2.0
273,50.0,0.125,4.0
274,47.0,0.125,2.0
275,47.0,0.125,2.0
276,45.0,0.125,2.0
277,48.0,0.5,2.0
278,50.0,0.125,4.0
279,47.0,0.125,2.0
280,47.0,0.125,2.0
281,45.0,0.125,2.0
