,note,length,diatonic root
0,57.0,0.125,4.0
1,60.0,0.125,4.0
2,60.0,0.125,4.0
3,64.0,0.25,4.0
4,60.0,0.125,1.0
5,60.0,0.125,1.0
6,62.0,0.125,1.0
7,60.0,0.25,4.0
8,57.0,0.125,4.0
9,55.0,0.625,4.0
10,57.0,0.125,4.0
11,60.0,0.125,4.0
12,60.0,0.125,4.0
13,64.0,0.25,4.0
14,64.0,0.25,1.0
15,60.0,0.125,1.0
16,62.0,0.125,4.0
17,60.0,0.125,4.0
18,60.0,0.25,4.0
19,57.0,0.625,4.0
20,57.0,0.125,4.0
21,60.0,0.125,4.0
22,60.0,0.125,4.0
23,64.0,0.25,4.0
24,64.0,0.125,1.0
25,64.0,0.125,1.0
26,62.0,0.125,1.0
27,60.0,0.25,4.0
28,57.0,0.125,4.0
29,55.0,0.125,4.0
30,57.0,0.625,4.0
31,57.0,0.125,4.0
32,60.0,0.25,4.0
33,64.0,0.25,4.0
34,64.0,0.25,1.0
35,62.0,0.125,1.0
36,60.0,0.25,4.0
37,60.0,0.125,4.0
38,62.0,0.125,4.0
39,60.0,0.375,4.0
40,57.0,0.375,1.0
41,57.0,0.125,4.0
42,60.0,0.125,4.0
43,60.0,0.125,4.0
44,62.0,0.125,4.0
45,62.0,0.375,5.0
46,62.0,0.125,5.0
47,60.0,0.125,5.0
48,60.0,0.125,5.0
49,64.0,0.125,5.0
50,62.0,0.125,5.0
51,60.0,0.125,4.0
52,57.0,0.75,4.0
53,57.0,0.125,4.0
54,65.0,0.125,4.0
55,65.0,0.25,5.0
56,65.0,0.125,5.0
57,64.0,0.125,5.0
58,62.0,0.125,5.0
59,60.0,0.125,5.0
60,60.0,0.125,5.0
61,62.0,0.25,5.0
62,57.0,0.125,4.0
63,60.0,0.125,4.0
64,57.0,0.125,4.0
65,60.0,0.125,4.0
66,60.0,0.25,4.0
67,57.0,0.75,4.0
68,60.0,0.125,4.0
69,57.0,0.125,4.0
70,57.0,0.25,4.0
71,65.0,0.375,1.0
72,62.0,0.125,1.0
73,60.0,0.25,4.0
74,60.0,2.75,4.0
75,57.0,0.125,5.0
76,60.0,0.125,5.0
77,60.0,0.125,5.0
78,64.0,0.25,5.0
79,60.0,0.125,1.0
80,60.0,0.25,1.0
81,62.0,0.125,1.0
82,57.0,0.125,4.0
83,60.0,0.125,4.0
84,64.0,0.875,4.0
85,57.0,0.125,4.0
86,60.0,0.125,4.0
87,60.0,0.25,4.0
88,64.0,0.125,4.0
89,64.0,0.5,1.0
90,60.0,0.125,1.0
91,60.0,0.25,4.0
92,60.0,0.75,4.0
93,57.0,0.125,4.0
94,60.0,0.125,4.0
95,60.0,0.125,4.0
96,64.0,0.25,4.0
97,60.0,0.125,1.0
98,60.0,0.125,1.0
99,62.0,0.125,1.0
100,60.0,0.25,4.0
101,60.0,0.125,4.0
102,57.0,0.125,4.0
103,55.0,0.625,1.0
104,57.0,0.125,4.0
105,60.0,0.125,4.0
106,60.0,0.125,4.0
107,64.0,0.375,4.0
108,64.0,0.125,1.0
109,62.0,0.125,1.0
110,60.0,0.25,4.0
111,60.0,0.125,4.0
112,60.0,0.125,4.0
113,57.0,0.125,4.0
114,55.0,0.625,1.0
115,57.0,0.125,4.0
116,60.0,0.125,4.0
117,62.0,0.125,4.0
118,62.0,0.375,5.0
119,62.0,0.125,5.0
120,62.0,0.25,5.0
121,64.0,0.25,5.0
122,67.0,0.125,4.0
123,69.0,0.625,4.0
124,55.0,0.125,4.0
125,65.0,0.125,4.0
126,65.0,0.5,5.0
127,64.0,0.125,5.0
128,62.0,0.125,5.0
129,60.0,0.125,5.0
130,60.0,0.125,5.0
131,60.0,0.375,5.0
132,60.0,0.125,4.0
133,57.0,0.125,4.0
134,60.0,0.125,4.0
135,60.0,0.25,4.0
136,60.0,0.75,4.0
137,65.0,0.125,4.0
138,64.0,0.5,4.0
139,60.0,0.125,1.0
140,57.0,0.125,1.0
141,60.0,0.125,1.0
142,60.0,0.25,4.0
143,60.0,4.0,4.0
144,62.0,0.125,5.0
145,65.0,0.125,5.0
146,62.0,0.125,5.0
147,67.0,0.375,5.0
148,65.0,0.125,1.0
149,62.0,0.125,1.0
150,65.0,0.125,1.0
151,65.0,0.125,4.0
152,64.0,0.875,4.0
153,64.0,0.125,4.0
154,65.0,0.125,4.0
155,64.0,0.125,4.0
156,67.0,0.375,4.0
157,60.0,0.125,1.0
158,60.0,0.125,1.0
159,60.0,0.125,4.0
160,60.0,0.125,4.0
161,60.0,0.75,4.0
162,64.0,0.125,1.0
163,65.0,0.125,4.0
164,64.0,0.125,4.0
165,67.0,0.625,4.0
166,62.0,0.125,1.0
167,60.0,0.125,4.0
168,60.0,0.125,4.0
169,60.0,0.125,4.0
170,60.0,0.625,4.0
171,57.0,0.125,1.0
172,60.0,0.125,4.0
173,60.0,0.125,4.0
174,64.0,0.5,4.0
175,60.0,0.125,1.0
176,60.0,0.25,1.0
177,60.0,0.125,4.0
178,60.0,0.375,4.0
179,60.0,0.25,1.0
180,60.0,0.125,1.0
181,60.0,0.125,4.0
182,60.0,0.625,4.0
183,64.0,0.125,1.0
184,64.0,0.25,4.0
185,57.0,0.125,4.0
186,60.0,0.375,4.0
187,60.0,0.25,1.0
188,60.0,0.125,1.0
189,60.0,0.25,4.0
190,60.0,0.75,4.0
191,67.0,0.125,4.0
192,65.0,0.125,4.0
193,62.0,0.125,4.0
194,62.0,0.125,4.0
195,65.0,0.125,4.0
196,62.0,0.125,1.0
197,60.0,0.25,1.0
198,60.0,0.125,1.0
199,60.0,0.125,4.0
200,60.0,0.125,4.0
201,60.0,0.625,4.0
202,60.0,0.25,1.0
203,57.0,0.375,4.0
204,62.0,0.125,1.0
205,62.0,0.125,1.0
206,62.0,0.25,1.0
207,62.0,0.125,1.0
208,65.0,0.125,4.0
209,62.0,0.125,4.0
210,65.0,0.125,4.0
211,62.0,0.125,4.0
212,65.0,0.5,1.0
213,60.0,0.125,4.0
214,60.0,0.125,4.0
215,60.0,0.375,4.0
216,60.0,0.25,1.0
217,60.0,0.125,1.0
218,60.0,0.25,4.0
219,60.0,0.5,4.0
220,64.0,0.5,1.0
221,62.0,0.125,4.0
222,60.0,0.125,4.0
