,note,length,diatonic root
0,52.0,0.125,5.0
1,53.0,0.125,5.0
2,55.0,0.875,5.0
3,57.0,0.125,1.0
4,59.0,0.125,1.0
5,59.0,0.25,1.0
6,57.0,0.5,6.0
7,57.0,0.125,6.0
8,55.0,0.125,6.0
9,57.0,0.125,6.0
10,53.0,0.125,6.0
11,53.0,0.625,4.0
12,57.0,0.125,4.0
13,55.0,0.125,4.0
14,57.0,0.125,4.0
15,57.0,0.25,4.0
16,55.0,0.625,5.0
17,52.0,0.125,5.0
18,53.0,0.125,5.0
19,55.0,0.75,5.0
20,59.0,0.125,1.0
21,57.0,0.125,1.0
22,59.0,0.125,1.0
23,59.0,0.25,1.0
24,57.0,0.5,6.0
25,57.0,0.125,6.0
26,55.0,0.125,6.0
27,57.0,0.125,6.0
28,53.0,0.125,6.0
29,53.0,0.625,4.0
30,57.0,0.125,4.0
31,55.0,0.125,4.0
32,57.0,0.125,4.0
33,57.0,0.125,4.0
34,55.0,0.25,5.0
35,52.0,0.125,5.0
36,53.0,0.125,5.0
37,55.0,0.375,5.0
38,52.0,0.125,5.0
39,50.0,0.125,5.0
40,52.0,0.125,5.0
41,50.0,0.125,1.0
42,48.0,0.125,1.0
43,55.0,0.125,1.0
44,55.0,0.125,1.0
45,57.0,0.25,1.0
46,59.0,0.125,4.0
47,57.0,0.125,4.0
48,57.0,0.125,4.0
49,55.0,0.625,1.0
50,55.0,0.125,1.0
51,57.0,0.125,1.0
52,60.0,0.25,1.0
53,57.0,0.375,4.0
54,57.0,0.125,4.0
55,55.0,0.125,4.0
56,57.0,0.125,4.0
57,60.0,0.25,4.0
58,57.0,0.5,4.0
59,57.0,0.25,4.0
60,55.0,0.375,4.0
61,57.0,0.125,1.0
62,55.0,0.375,1.0
63,57.0,0.125,1.0
64,55.0,0.125,1.0
65,60.0,0.125,1.0
66,55.0,0.125,1.0
67,57.0,0.125,1.0
68,55.0,0.5,1.0
69,55.0,0.125,1.0
70,57.0,0.125,1.0
71,60.0,0.25,1.0
72,57.0,0.5,4.0
73,55.0,0.125,4.0
74,57.0,0.125,4.0
75,60.0,0.25,4.0
76,57.0,0.625,4.0
77,52.0,0.125,4.0
78,50.0,0.375,4.0
79,52.0,0.125,5.0
80,50.0,0.375,5.0
81,50.0,0.125,5.0
82,55.0,0.125,5.0
83,57.0,0.125,5.0
84,59.0,0.125,5.0
85,55.0,0.125,5.0
86,57.0,0.125,5.0
87,55.0,0.125,5.0
88,57.0,0.125,5.0
89,55.0,0.125,5.0
90,60.0,0.125,5.0
91,55.0,0.125,5.0
92,57.0,0.125,5.0
93,57.0,0.125,5.0
94,55.0,0.75,1.0
95,57.0,0.125,1.0
96,59.0,0.125,1.0
97,59.0,0.25,1.0
98,57.0,0.5,6.0
99,57.0,0.125,6.0
100,55.0,0.125,6.0
101,57.0,0.125,6.0
102,57.0,0.125,6.0
103,53.0,0.625,4.0
104,53.0,0.125,4.0
105,57.0,0.125,4.0
106,55.0,0.125,4.0
107,57.0,0.125,4.0
108,57.0,0.125,4.0
109,55.0,0.25,5.0
110,52.0,0.125,5.0
111,53.0,0.125,5.0
112,55.0,0.375,5.0
