,note,length,diatonic root
0,50.0,0.125,1.0
1,52.0,0.125,1.0
2,52.0,0.875,1.0
3,50.0,0.125,1.0
4,48.0,1.0,1.0
5,52.0,0.125,5.0
6,50.0,0.125,5.0
7,52.0,0.125,5.0
8,50.0,0.375,5.0
9,48.0,0.125,5.0
10,47.0,1.125,5.0
11,47.0,0.125,1.0
12,50.0,0.25,1.0
13,50.0,0.125,1.0
14,48.0,3.0,1.0
15,55.0,0.125,5.0
16,57.0,0.125,5.0
17,60.0,1.125,5.0
18,57.0,0.125,1.0
19,55.0,0.625,1.0
20,52.0,0.125,1.0
21,55.0,0.125,1.0
22,55.0,0.125,3.0
23,57.0,0.125,3.0
24,55.0,0.125,3.0
25,55.0,0.125,3.0
26,57.0,0.25,3.0
27,52.0,1.125,3.0
28,57.0,0.125,3.0
29,57.0,0.125,4.0
30,55.0,0.125,4.0
31,55.0,0.125,4.0
32,55.0,0.125,4.0
33,57.0,0.25,4.0
34,50.0,0.125,4.0
35,48.0,0.125,4.0
36,48.0,1.0,4.0
37,45.0,0.125,4.0
38,48.0,0.25,4.0
39,41.0,0.125,6.0
40,45.0,0.125,6.0
41,45.0,0.125,6.0
42,48.0,0.125,6.0
43,47.0,0.125,6.0
44,45.0,0.25,6.0
45,47.0,0.125,6.0
46,45.0,0.125,6.0
47,50.0,0.125,6.0
48,48.0,0.625,6.0
49,52.0,0.25,6.0
50,52.0,0.125,1.0
51,50.0,0.125,1.0
52,52.0,0.125,1.0
53,50.0,0.125,1.0
54,52.0,0.375,1.0
55,50.0,0.125,1.0
56,52.0,0.125,1.0
57,50.0,0.125,1.0
58,52.0,0.125,1.0
59,52.0,0.125,1.0
60,50.0,0.125,1.0
61,48.0,0.875,1.0
62,55.0,0.125,5.0
63,52.0,0.125,5.0
64,50.0,0.5,5.0
65,48.0,0.125,5.0
66,47.0,1.0,5.0
67,43.0,0.125,5.0
68,45.0,0.125,5.0
69,48.0,0.125,1.0
70,48.0,0.125,1.0
71,50.0,0.25,1.0
72,50.0,0.125,1.0
73,48.0,1.125,1.0
74,50.0,0.125,1.0
75,50.0,0.125,1.0
76,48.0,1.625,1.0
77,48.0,0.125,5.0
78,48.0,0.125,5.0
79,50.0,0.125,5.0
80,48.0,0.125,5.0
81,52.0,0.125,5.0
82,50.0,0.125,1.0
83,52.0,0.125,1.0
84,50.0,0.125,1.0
85,52.0,0.125,1.0
86,50.0,0.125,1.0
87,52.0,1.5,1.0
88,52.0,0.125,1.0
89,55.0,0.125,1.0
90,50.0,0.125,5.0
91,52.0,0.125,5.0
92,50.0,0.125,5.0
93,50.0,0.125,5.0
94,50.0,0.25,5.0
95,48.0,0.125,5.0
96,47.0,1.125,5.0
97,48.0,0.125,5.0
98,52.0,0.25,1.0
99,50.0,0.125,1.0
100,48.0,0.125,1.0
101,50.0,0.125,1.0
102,48.0,0.5,1.0
103,45.0,0.125,1.0
104,43.0,0.125,1.0
105,41.0,0.125,1.0
106,40.0,0.125,1.0
107,38.0,0.125,1.0
108,40.0,2.5,1.0
109,55.0,0.125,5.0
110,57.0,0.125,5.0
111,60.0,1.125,5.0
112,55.0,0.625,1.0
113,52.0,0.125,1.0
114,55.0,0.125,1.0
115,57.0,0.125,1.0
116,55.0,0.125,3.0
117,55.0,0.125,3.0
118,57.0,0.25,3.0
119,52.0,0.375,3.0
120,50.0,0.125,3.0
121,48.0,0.125,3.0
122,50.0,0.125,3.0
123,52.0,0.625,3.0
124,57.0,0.125,3.0
125,55.0,0.125,3.0
126,57.0,0.125,3.0
127,55.0,0.125,4.0
128,52.0,0.125,4.0
129,55.0,0.125,4.0
130,57.0,0.125,4.0
131,55.0,0.125,4.0
132,57.0,0.125,4.0
133,50.0,0.125,4.0
134,48.0,0.125,4.0
135,48.0,1.0,4.0
136,45.0,0.125,4.0
137,48.0,0.25,4.0
138,45.0,0.125,6.0
139,48.0,0.125,6.0
140,47.0,0.125,6.0
141,45.0,0.375,6.0
142,45.0,0.125,6.0
143,48.0,0.125,6.0
144,47.0,0.125,6.0
145,45.0,0.125,6.0
146,47.0,0.125,6.0
147,45.0,0.125,6.0
148,50.0,0.125,6.0
149,48.0,0.875,6.0
150,45.0,0.125,1.0
151,48.0,0.125,1.0
152,50.0,0.125,1.0
153,52.0,0.125,1.0
154,52.0,0.5,1.0
155,50.0,0.125,1.0
156,52.0,0.125,1.0
157,50.0,0.125,1.0
158,52.0,0.125,1.0
159,50.0,0.125,1.0
160,52.0,0.125,1.0
161,50.0,0.125,1.0
162,48.0,0.875,1.0
163,55.0,0.125,5.0
164,52.0,0.125,5.0
165,50.0,0.125,5.0
166,52.0,0.125,5.0
167,50.0,0.375,5.0
168,47.0,1.125,5.0
169,47.0,0.125,1.0
170,50.0,0.125,1.0
171,48.0,0.125,1.0
172,50.0,0.125,1.0
173,48.0,1.125,1.0
174,50.0,0.125,1.0
175,50.0,0.125,1.0
176,47.0,0.75,5.0
177,50.0,0.125,5.0
178,48.0,0.125,5.0
179,47.0,0.125,5.0
180,48.0,0.125,5.0
181,47.0,0.625,5.0
182,48.0,0.125,5.0
183,50.0,0.125,5.0
184,50.0,0.125,1.0
185,52.0,0.125,1.0
186,52.0,0.5,1.0
187,50.0,0.125,1.0
188,52.0,0.125,1.0
189,50.0,0.125,1.0
190,52.0,0.125,1.0
191,52.0,0.125,1.0
192,50.0,0.125,1.0
193,48.0,0.75,1.0
194,52.0,0.125,1.0
195,55.0,0.125,1.0
196,52.0,0.125,5.0
197,50.0,0.125,5.0
198,52.0,0.125,5.0
199,50.0,0.375,5.0
