,note,length,diatonic root
0,64.0,0.125,1.0
1,65.0,0.125,1.0
2,67.0,0.125,1.0
3,65.0,0.125,1.0
4,62.0,0.25,1.0
5,62.0,0.375,1.0
6,60.0,0.25,4.0
7,62.0,0.75,5.0
8,62.0,0.125,1.0
9,62.0,0.125,1.0
10,62.0,0.25,1.0
11,62.0,0.125,1.0
12,62.0,0.125,1.0
13,62.0,0.125,1.0
14,60.0,0.25,1.0
15,57.0,0.125,4.0
16,62.0,0.125,4.0
17,62.0,0.125,4.0
18,60.0,0.75,5.0
19,62.0,0.125,1.0
20,65.0,0.125,1.0
21,67.0,0.25,1.0
22,60.0,0.5,1.0
23,67.0,0.125,4.0
24,65.0,0.125,4.0
25,62.0,0.125,4.0
26,62.0,0.125,4.0
27,60.0,0.125,5.0
28,62.0,0.375,5.0
29,60.0,0.125,1.0
30,57.0,0.375,1.0
31,67.0,0.25,1.0
32,60.0,0.125,1.0
33,57.0,0.375,1.0
34,72.0,0.375,4.0
35,48.0,0.125,5.0
36,48.0,0.125,5.0
37,48.0,0.125,5.0
38,55.0,0.75,5.0
39,72.0,0.375,1.0
40,69.0,0.5,4.0
41,50.0,0.125,5.0
42,50.0,0.125,5.0
43,48.0,0.125,5.0
44,45.0,0.125,5.0
45,48.0,0.625,5.0
46,62.0,0.125,1.0
47,62.0,0.125,1.0
48,60.0,0.125,1.0
49,60.0,0.125,1.0
50,62.0,0.625,4.0
51,48.0,0.125,5.0
52,48.0,0.125,5.0
53,48.0,0.125,5.0
54,57.0,0.25,5.0
55,55.0,0.25,1.0
56,57.0,0.125,1.0
57,55.0,0.375,1.0
58,62.0,0.125,1.0
59,62.0,0.625,4.0
60,57.0,0.25,5.0
61,55.0,0.125,5.0
62,52.0,0.125,5.0
63,55.0,0.125,5.0
64,57.0,0.125,1.0
65,55.0,0.125,1.0
66,52.0,0.875,1.0
67,64.0,0.25,4.0
68,67.0,0.25,4.0
69,69.0,0.625,5.0
70,60.0,0.125,1.0
71,60.0,0.125,1.0
72,59.0,0.25,1.0
73,59.0,0.125,1.0
74,60.0,0.125,1.0
75,59.0,0.125,1.0
76,59.0,0.125,1.0
77,57.0,0.5,4.0
78,55.0,0.125,5.0
79,64.0,0.25,5.0
80,67.0,0.125,5.0
81,60.0,0.125,1.0
82,57.0,0.125,1.0
83,55.0,0.625,1.0
84,62.0,0.125,1.0
85,62.0,0.125,1.0
86,62.0,0.125,4.0
87,60.0,0.125,4.0
88,60.0,0.125,4.0
89,62.0,1.125,4.0
90,60.0,0.125,1.0
91,59.0,0.125,1.0
92,59.0,0.125,1.0
93,55.0,0.125,1.0
94,57.0,0.875,1.0
95,57.0,0.25,5.0
96,55.0,0.625,1.0
97,60.0,0.125,1.0
98,60.0,0.125,1.0
99,57.0,1.0,4.0
100,64.0,0.75,5.0
101,67.0,0.125,1.0
102,64.0,0.125,1.0
103,62.0,0.125,1.0
104,60.0,0.25,4.0
105,64.0,0.125,4.0
106,64.0,0.125,4.0
107,62.0,0.125,4.0
108,60.0,0.125,5.0
109,57.0,0.125,5.0
110,60.0,0.125,5.0
111,57.0,0.125,5.0
112,64.0,0.5,5.0
113,55.0,0.125,1.0
114,57.0,0.125,1.0
115,60.0,0.125,1.0
116,62.0,0.25,1.0
117,64.0,0.125,1.0
118,62.0,0.125,4.0
119,60.0,0.125,4.0
120,57.0,0.375,4.0
121,64.0,0.25,5.0
122,62.0,0.25,5.0
123,64.0,0.125,5.0
124,62.0,0.125,1.0
125,64.0,0.125,1.0
126,64.0,0.125,1.0
127,62.0,0.125,1.0
128,62.0,0.25,1.0
129,64.0,0.125,1.0
130,64.0,0.125,1.0
131,64.0,0.125,1.0
132,62.0,0.125,1.0
133,62.0,0.125,1.0
134,60.0,0.125,1.0
135,57.0,0.625,4.0
136,64.0,0.125,5.0
137,62.0,0.125,5.0
138,60.0,0.125,5.0
139,62.0,0.125,5.0
140,64.0,0.125,5.0
141,64.0,0.375,1.0
142,64.0,0.25,1.0
143,57.0,0.125,1.0
144,55.0,0.75,1.0
145,69.0,0.25,4.0
146,67.0,0.125,5.0
147,69.0,0.5,5.0
148,64.0,0.125,4.0
149,67.0,0.375,4.0
150,60.0,0.25,4.0
151,60.0,0.125,4.0
152,60.0,0.125,4.0
153,57.0,0.125,4.0
154,62.0,0.125,4.0
155,62.0,0.125,4.0
156,62.0,0.375,4.0
157,60.0,0.125,1.0
158,57.0,0.125,1.0
159,64.0,0.5,1.0
160,69.0,0.25,1.0
161,67.0,0.25,4.0
162,69.0,0.875,4.0
163,62.0,0.5,4.0
164,62.0,0.125,4.0
165,62.0,0.125,4.0
166,60.0,0.125,4.0
167,60.0,0.25,4.0
168,62.0,0.125,4.0
169,55.0,0.125,4.0
170,57.0,0.125,4.0
171,57.0,0.125,4.0
172,60.0,0.125,4.0
173,57.0,0.125,4.0
174,64.0,0.5,4.0
175,62.0,0.25,1.0
176,62.0,0.125,1.0
177,62.0,0.125,1.0
178,62.0,0.125,1.0
179,60.0,0.125,1.0
180,57.0,0.625,4.0
181,65.0,0.125,5.0
182,64.0,0.125,5.0
183,62.0,0.125,5.0
184,64.0,0.5,5.0
185,62.0,0.125,4.0
186,62.0,0.25,4.0
187,62.0,0.125,4.0
188,60.0,0.125,4.0
189,60.0,0.25,4.0
190,62.0,0.375,4.0
191,55.0,0.125,4.0
192,57.0,0.125,4.0
193,60.0,0.125,4.0
194,57.0,0.125,4.0
195,64.0,0.625,4.0
196,62.0,0.25,1.0
197,62.0,0.125,1.0
198,57.0,0.125,1.0
199,62.0,0.125,1.0
200,64.0,0.875,4.0
201,57.0,0.125,5.0
202,57.0,0.125,4.0
203,55.0,0.125,4.0
204,57.0,0.125,4.0
205,55.0,0.125,4.0
206,57.0,0.125,4.0
207,55.0,0.125,4.0
208,57.0,0.125,4.0
209,55.0,0.125,4.0
210,57.0,0.125,4.0
211,62.0,0.125,4.0
212,60.0,0.125,2.0
213,57.0,0.125,2.0
214,57.0,0.125,2.0
215,57.0,0.125,2.0
216,57.0,0.125,2.0
217,62.0,0.375,2.0
218,62.0,0.125,2.0
219,59.0,0.875,2.0
220,55.0,0.25,5.0
221,67.0,0.5,5.0
222,69.0,0.125,5.0
223,48.0,0.125,5.0
224,48.0,0.125,5.0
225,48.0,0.125,5.0
226,55.0,0.5,1.0
227,65.0,0.125,1.0
228,64.0,0.25,1.0
229,64.0,0.125,1.0
230,62.0,0.25,4.0
231,64.0,0.375,4.0
232,48.0,0.25,5.0
233,48.0,0.125,5.0
234,48.0,0.125,5.0
235,45.0,0.125,5.0
236,43.0,0.375,1.0
237,64.0,0.125,1.0
238,64.0,0.125,1.0
239,62.0,0.125,1.0
240,60.0,0.125,1.0
241,57.0,0.125,1.0
242,57.0,0.125,1.0
243,60.0,0.125,1.0
244,60.0,0.125,1.0
245,57.0,0.25,4.0
246,64.0,0.125,4.0
247,62.0,0.25,4.0
248,64.0,0.125,5.0
249,62.0,0.125,5.0
250,60.0,0.125,5.0
251,62.0,0.125,5.0
252,64.0,0.5,1.0
253,64.0,0.375,1.0
254,57.0,0.25,1.0
255,55.0,0.125,4.0
256,57.0,0.375,4.0
257,60.0,0.125,5.0
258,57.0,0.125,5.0
259,60.0,0.125,5.0
260,57.0,0.25,5.0
261,64.0,0.5,1.0
262,64.0,0.125,1.0
263,67.0,0.25,1.0
264,65.0,0.125,1.0
265,64.0,0.25,4.0
266,64.0,0.125,4.0
267,64.0,0.125,4.0
268,64.0,0.125,5.0
269,60.0,0.125,5.0
270,62.0,0.125,5.0
271,64.0,0.875,5.0
272,64.0,0.375,1.0
273,67.0,0.25,4.0
274,64.0,0.125,4.0
275,64.0,0.125,5.0
276,62.0,0.125,5.0
277,64.0,0.125,5.0
278,62.0,0.125,5.0
279,60.0,0.125,5.0
280,62.0,0.125,5.0
281,64.0,0.25,1.0
282,67.0,0.125,1.0
283,64.0,0.125,1.0
284,62.0,0.125,1.0
285,64.0,0.125,1.0
