,note,length,diatonic root
0,52.0,0.125,5.0
1,50.0,0.125,1.0
2,52.0,0.125,1.0
3,50.0,0.125,1.0
4,52.0,1.125,1.0
5,43.0,0.125,1.0
6,52.0,0.125,1.0
7,53.0,0.125,1.0
8,55.0,0.25,1.0
9,59.0,0.25,1.0
10,55.0,0.125,6.0
11,55.0,1.0,6.0
12,48.0,0.125,6.0
13,52.0,0.125,6.0
14,53.0,0.125,6.0
15,55.0,0.25,6.0
16,55.0,0.125,6.0
17,57.0,0.25,4.0
18,53.0,0.125,4.0
19,53.0,1.0,4.0
20,48.0,0.125,4.0
21,48.0,0.125,4.0
22,53.0,0.25,4.0
23,53.0,0.125,4.0
24,53.0,0.25,4.0
25,55.0,0.375,4.0
26,55.0,0.125,4.0
27,53.0,0.375,4.0
28,53.0,0.125,4.0
29,48.0,1.0,4.0
30,62.0,0.625,4.0
31,59.0,0.125,2.0
32,57.0,0.25,2.0
33,55.0,0.5,2.0
34,52.0,0.125,1.0
35,50.0,0.125,7.0
36,48.0,0.25,7.0
37,59.0,0.375,7.0
38,57.0,0.125,6.0
39,55.0,0.125,6.0
40,59.0,1.5,6.0
41,57.0,0.125,6.0
42,62.0,0.5,6.0
43,64.0,0.125,3.0
44,62.0,0.125,2.0
45,60.0,0.25,2.0
46,55.0,0.125,2.0
47,53.0,0.125,2.0
48,52.0,0.125,1.0
49,52.0,0.25,1.0
50,52.0,0.25,1.0
51,62.0,0.25,3.0
52,59.0,0.375,3.0
53,57.0,0.125,6.0
54,55.0,0.125,6.0
55,59.0,1.125,6.0
56,45.0,0.125,6.0
57,48.0,0.25,6.0
58,52.0,0.125,6.0
59,50.0,0.125,1.0
60,52.0,0.125,1.0
61,50.0,0.125,1.0
62,52.0,0.5,1.0
63,48.0,0.75,1.0
64,52.0,0.125,1.0
65,53.0,0.125,1.0
66,55.0,0.125,1.0
67,55.0,0.125,1.0
68,59.0,0.25,1.0
69,55.0,0.875,6.0
70,55.0,0.125,6.0
71,52.0,0.25,6.0
72,52.0,0.125,6.0
73,53.0,0.125,6.0
74,55.0,0.125,6.0
75,55.0,0.125,6.0
76,55.0,0.125,6.0
77,57.0,0.25,4.0
78,53.0,1.125,4.0
79,48.0,0.125,4.0
80,48.0,0.125,4.0
81,53.0,0.125,4.0
82,53.0,0.375,4.0
83,67.0,0.125,4.0
84,62.0,0.25,4.0
85,60.0,0.25,4.0
86,55.0,0.125,4.0
87,55.0,0.125,4.0
88,53.0,1.0,4.0
89,62.0,0.125,4.0
90,62.0,0.5,3.0
91,59.0,0.125,2.0
92,57.0,0.25,2.0
93,55.0,0.25,2.0
94,53.0,0.125,1.0
95,52.0,0.25,1.0
96,52.0,0.125,1.0
97,50.0,0.125,7.0
98,48.0,0.25,7.0
99,59.0,0.625,7.0
100,60.0,0.125,6.0
101,59.0,0.125,6.0
102,60.0,0.125,6.0
103,59.0,1.125,6.0
104,62.0,0.5,3.0
105,59.0,0.125,2.0
106,57.0,0.25,2.0
107,55.0,0.5,2.0
108,52.0,0.25,1.0
109,62.0,0.25,3.0
110,59.0,0.375,3.0
111,57.0,0.125,6.0
112,55.0,0.125,6.0
113,59.0,0.875,6.0
114,60.0,0.25,6.0
115,57.0,0.125,6.0
116,60.0,0.25,6.0
117,64.0,0.25,6.0
118,62.0,0.125,2.0
119,64.0,0.125,2.0
120,62.0,0.125,2.0
121,64.0,0.125,2.0
122,62.0,0.125,2.0
123,64.0,0.125,2.0
124,62.0,0.125,2.0
125,64.0,1.0,2.0
126,57.0,0.25,2.0
127,60.0,0.125,2.0
128,57.0,0.125,2.0
129,62.0,0.25,3.0
130,57.0,0.125,3.0
131,59.0,0.125,3.0
132,57.0,0.125,3.0
133,59.0,0.125,3.0
134,57.0,0.125,3.0
135,59.0,0.125,3.0
136,57.0,0.125,3.0
137,55.0,0.375,3.0
138,57.0,0.375,3.0
139,55.0,0.125,3.0
140,57.0,0.125,3.0
141,60.0,0.125,3.0
142,57.0,0.125,3.0
143,60.0,0.25,3.0
144,60.0,0.125,2.0
145,55.0,0.125,2.0
146,57.0,0.125,2.0
147,55.0,0.125,2.0
148,57.0,0.375,2.0
149,60.0,0.25,2.0
150,60.0,0.125,2.0
151,55.0,0.125,2.0
152,57.0,0.125,2.0
153,55.0,0.125,2.0
154,57.0,0.375,2.0
155,55.0,0.125,2.0
156,57.0,0.125,2.0
157,60.0,0.25,2.0
158,57.0,0.125,4.0
159,60.0,0.25,4.0
160,55.0,0.125,3.0
161,57.0,0.125,3.0
162,60.0,0.25,3.0
163,55.0,0.125,2.0
164,57.0,0.125,2.0
165,60.0,0.25,2.0
166,55.0,0.125,5.0
167,57.0,0.125,5.0
168,55.0,0.125,5.0
169,57.0,2.25,5.0
170,64.0,0.125,3.0
171,60.0,0.375,3.0
172,57.0,0.125,3.0
173,64.0,0.125,3.0
174,62.0,0.125,3.0
175,60.0,0.125,3.0
176,60.0,0.125,3.0
177,60.0,0.5,2.0
178,55.0,0.125,2.0
179,53.0,0.125,2.0
180,50.0,1.75,2.0
181,52.0,0.125,3.0
182,53.0,0.125,3.0
183,57.0,0.125,3.0
184,53.0,0.125,3.0
185,57.0,0.25,3.0
186,57.0,0.125,4.0
187,60.0,0.25,4.0
188,55.0,0.125,3.0
189,57.0,0.125,3.0
190,60.0,0.25,3.0
191,55.0,0.125,2.0
192,57.0,0.125,2.0
193,60.0,0.25,2.0
194,55.0,0.125,5.0
195,57.0,0.125,5.0
196,55.0,0.125,5.0
197,57.0,0.25,5.0
198,52.0,0.125,5.0
