,note,length,diatonic root
0,55.0,0.125,5.0
1,57.0,0.125,5.0
2,55.0,0.125,5.0
3,57.0,0.125,5.0
4,55.0,0.125,5.0
5,57.0,0.125,5.0
6,57.0,0.25,5.0
7,55.0,1.0,5.0
8,55.0,0.125,3.0
9,57.0,0.125,3.0
10,52.0,0.125,5.0
11,55.0,0.125,5.0
12,52.0,0.125,5.0
13,55.0,0.125,5.0
14,53.0,0.25,5.0
15,52.0,0.25,5.0
16,55.0,0.875,3.0
17,57.0,0.125,3.0
18,52.0,0.125,5.0
19,55.0,0.125,5.0
20,52.0,0.125,5.0
21,55.0,0.25,5.0
22,50.0,0.125,5.0
23,52.0,1.125,5.0
24,57.0,0.125,3.0
25,52.0,0.125,5.0
26,55.0,0.125,5.0
27,52.0,0.125,5.0
28,55.0,0.125,5.0
29,53.0,0.25,5.0
30,52.0,0.25,5.0
31,55.0,0.875,3.0
32,53.0,0.125,3.0
33,53.0,0.125,4.0
34,53.0,0.125,4.0
35,53.0,0.125,4.0
36,52.0,0.125,4.0
37,52.0,0.25,5.0
38,48.0,0.25,5.0
39,48.0,0.875,1.0
40,53.0,0.125,1.0
41,53.0,0.125,4.0
42,53.0,0.125,4.0
43,53.0,0.125,4.0
44,52.0,0.125,4.0
45,52.0,0.25,5.0
46,48.0,0.25,5.0
47,48.0,0.875,1.0
48,50.0,0.125,6.0
49,53.0,0.125,4.0
50,53.0,0.125,4.0
51,53.0,0.125,4.0
52,52.0,0.125,4.0
53,52.0,0.625,1.0
54,47.0,0.125,2.0
55,47.0,1.5,2.0
56,55.0,0.125,2.0
57,59.0,0.125,2.0
58,52.0,0.125,5.0
59,55.0,0.125,5.0
60,52.0,0.125,5.0
61,55.0,0.125,5.0
62,53.0,0.25,5.0
63,52.0,1.0,5.0
64,55.0,0.125,3.0
65,57.0,0.125,3.0
66,52.0,0.125,5.0
67,55.0,0.125,5.0
68,52.0,0.125,5.0
69,55.0,0.125,5.0
70,53.0,0.25,5.0
71,52.0,0.25,5.0
72,55.0,0.875,3.0
73,55.0,0.125,3.0
74,52.0,0.125,5.0
75,55.0,0.125,5.0
76,52.0,0.125,5.0
77,55.0,0.25,5.0
78,50.0,0.125,5.0
79,52.0,0.875,5.0
80,57.0,0.125,3.0
81,55.0,0.125,3.0
82,57.0,0.125,3.0
83,52.0,0.125,5.0
84,55.0,0.125,5.0
85,52.0,0.125,5.0
86,55.0,0.125,5.0
87,53.0,0.25,5.0
88,52.0,0.25,5.0
89,55.0,0.875,3.0
90,53.0,0.125,3.0
91,53.0,0.125,4.0
92,53.0,0.125,4.0
93,53.0,0.125,4.0
94,52.0,0.25,4.0
95,52.0,0.125,5.0
96,48.0,0.25,5.0
97,48.0,0.875,1.0
98,53.0,0.125,1.0
99,53.0,0.125,4.0
100,53.0,0.125,4.0
101,53.0,0.125,4.0
102,52.0,0.125,4.0
103,52.0,0.25,5.0
104,48.0,0.25,5.0
105,48.0,0.875,1.0
106,50.0,0.125,6.0
107,53.0,0.125,4.0
108,53.0,0.125,4.0
109,53.0,0.125,4.0
110,52.0,0.125,4.0
111,52.0,0.625,1.0
112,59.0,0.125,2.0
113,59.0,1.0,2.0
114,59.0,4.0,2.0
115,55.0,0.125,5.0
116,57.0,0.125,5.0
117,55.0,0.125,5.0
118,57.0,0.125,5.0
119,55.0,0.125,5.0
120,57.0,0.125,5.0
121,57.0,0.25,5.0
122,55.0,1.0,5.0
123,55.0,0.125,3.0
124,57.0,0.125,3.0
125,52.0,0.125,5.0
126,55.0,0.125,5.0
