,note,length,diatonic root
0,60.0,0.125,2.0
1,57.0,0.125,2.0
2,55.0,0.125,2.0
3,64.0,0.125,2.0
4,57.0,0.125,1.0
5,60.0,0.125,1.0
6,57.0,0.125,1.0
7,57.0,0.125,1.0
8,60.0,0.125,1.0
9,57.0,0.125,1.0
10,57.0,0.125,1.0
11,60.0,0.125,1.0
12,57.0,0.125,1.0
13,57.0,0.125,1.0
14,60.0,0.125,1.0
15,57.0,0.125,1.0
16,57.0,0.125,6.0
17,57.0,0.125,6.0
18,57.0,0.125,6.0
19,60.0,0.125,6.0
20,60.0,0.125,6.0
21,57.0,0.125,6.0
22,57.0,0.125,6.0
23,60.0,0.25,6.0
24,57.0,0.125,7.0
25,57.0,0.125,7.0
26,57.0,0.125,7.0
27,57.0,0.125,7.0
28,60.0,0.125,7.0
29,60.0,0.125,1.0
30,57.0,0.125,1.0
31,60.0,0.125,1.0
32,57.0,0.125,1.0
33,57.0,0.125,1.0
34,60.0,0.125,1.0
35,57.0,0.125,1.0
36,60.0,0.125,1.0
37,57.0,0.125,1.0
38,57.0,0.125,1.0
39,57.0,0.125,1.0
40,60.0,0.125,1.0
41,57.0,0.125,6.0
42,57.0,0.125,6.0
43,57.0,0.125,6.0
44,60.0,0.125,6.0
45,57.0,0.125,6.0
46,57.0,0.125,6.0
47,60.0,0.125,6.0
48,57.0,0.125,7.0
49,60.0,0.125,7.0
50,57.0,0.125,7.0
51,55.0,0.125,7.0
52,64.0,0.125,7.0
53,57.0,0.125,1.0
54,60.0,0.125,1.0
55,57.0,0.125,1.0
56,57.0,0.125,1.0
57,60.0,0.125,1.0
58,57.0,0.125,1.0
59,57.0,0.125,1.0
60,60.0,0.125,1.0
61,57.0,0.125,1.0
62,57.0,0.125,1.0
63,60.0,0.125,1.0
64,57.0,0.125,1.0
65,57.0,0.125,6.0
66,57.0,0.125,6.0
67,57.0,0.125,6.0
68,60.0,0.125,6.0
69,60.0,0.125,6.0
70,57.0,0.125,6.0
71,57.0,0.125,6.0
72,60.0,0.25,6.0
73,57.0,0.125,7.0
74,57.0,0.125,7.0
75,57.0,0.125,7.0
76,57.0,0.125,7.0
77,60.0,0.125,7.0
78,60.0,0.125,1.0
79,57.0,0.125,1.0
80,60.0,0.125,1.0
81,57.0,0.125,1.0
82,57.0,0.125,1.0
83,60.0,0.125,1.0
84,57.0,0.125,1.0
85,60.0,0.125,1.0
86,57.0,0.125,1.0
87,57.0,0.125,1.0
88,57.0,0.125,1.0
89,60.0,0.125,1.0
90,57.0,0.125,6.0
91,57.0,0.125,6.0
92,57.0,0.125,6.0
93,60.0,0.125,6.0
94,57.0,0.125,6.0
95,57.0,0.125,6.0
96,60.0,0.125,6.0
97,57.0,0.125,7.0
98,60.0,0.125,7.0
99,57.0,0.125,7.0
100,55.0,4.0,7.0
101,60.0,0.125,2.0
102,57.0,0.125,2.0
103,55.0,0.125,2.0
104,64.0,0.125,2.0
105,57.0,0.125,1.0
106,60.0,0.125,1.0
