,note,length,diatonic root
0,50.0,0.125,1.0
1,50.0,0.125,1.0
2,48.0,0.125,1.0
3,50.0,0.125,1.0
4,45.0,0.125,1.0
5,45.0,0.125,1.0
6,45.0,0.125,1.0
7,48.0,0.125,1.0
8,48.0,0.125,1.0
9,50.0,0.125,1.0
10,48.0,0.125,1.0
11,50.0,0.125,1.0
12,48.0,0.125,1.0
13,50.0,0.125,1.0
14,48.0,0.125,1.0
15,50.0,0.125,1.0
16,48.0,0.125,1.0
17,45.0,0.125,1.0
18,48.0,0.125,1.0
19,45.0,0.125,1.0
20,45.0,0.125,1.0
21,43.0,0.125,1.0
22,45.0,1.0,1.0
23,60.0,0.125,4.0
24,57.0,0.125,1.0
25,52.0,0.125,1.0
26,52.0,0.125,1.0
27,50.0,0.125,1.0
28,52.0,0.125,1.0
29,55.0,0.125,1.0
30,52.0,0.125,1.0
31,50.0,0.125,1.0
32,52.0,0.125,1.0
33,50.0,0.125,1.0
34,52.0,0.125,1.0
35,50.0,0.125,1.0
36,52.0,3.5,1.0
37,50.0,0.125,1.0
38,50.0,0.125,1.0
39,48.0,0.125,1.0
40,48.0,0.125,1.0
41,50.0,0.125,1.0
42,45.0,0.125,1.0
43,45.0,1.5,1.0
44,48.0,0.125,1.0
45,48.0,0.125,1.0
46,45.0,0.125,1.0
47,45.0,0.25,1.0
48,50.0,0.125,1.0
49,48.0,0.125,1.0
50,48.0,0.125,1.0
51,45.0,0.125,3.0
52,43.0,0.125,3.0
53,43.0,0.125,3.0
54,45.0,0.125,3.0
55,48.0,0.5,3.0
56,43.0,0.125,3.0
57,45.0,0.125,3.0
58,45.0,0.125,3.0
59,43.0,0.125,3.0
60,45.0,0.625,3.0
61,50.0,0.125,3.0
62,48.0,0.125,3.0
63,50.0,0.125,1.0
64,48.0,0.125,1.0
65,45.0,0.125,1.0
66,45.0,0.125,1.0
67,45.0,0.375,1.0
68,45.0,0.875,7.0
69,50.0,0.125,7.0
70,50.0,0.125,7.0
71,48.0,0.125,7.0
72,48.0,0.875,7.0
73,43.0,0.125,7.0
74,50.0,0.125,7.0
75,50.0,0.125,4.0
76,50.0,0.125,4.0
77,45.0,0.125,4.0
78,43.0,0.125,4.0
79,43.0,0.125,4.0
80,45.0,0.125,3.0
81,48.0,0.25,3.0
82,48.0,0.875,3.0
83,45.0,0.125,3.0
84,48.0,0.875,3.0
85,50.0,0.125,3.0
86,50.0,0.125,3.0
87,50.0,0.125,3.0
88,48.0,0.125,3.0
89,48.0,0.875,3.0
90,45.0,0.125,3.0
91,50.0,0.125,3.0
92,48.0,0.125,3.0
93,50.0,0.125,1.0
94,48.0,0.125,1.0
95,50.0,0.125,1.0
96,48.0,0.125,1.0
97,45.0,0.125,1.0
98,45.0,0.125,1.0
99,45.0,0.125,7.0
100,45.0,0.125,7.0
101,45.0,0.125,7.0
102,45.0,0.625,7.0
103,45.0,0.125,7.0
104,50.0,0.125,7.0
105,50.0,0.125,7.0
106,48.0,0.125,7.0
107,48.0,0.75,7.0
108,52.0,0.125,7.0
109,52.0,0.125,7.0
110,55.0,0.25,7.0
111,53.0,0.125,4.0
112,48.0,0.125,4.0
113,48.0,0.375,4.0
114,45.0,0.125,3.0
115,48.0,0.625,3.0
116,57.0,0.125,3.0
117,60.0,0.875,3.0
118,50.0,0.125,3.0
119,50.0,0.125,3.0
120,48.0,0.125,3.0
121,45.0,0.625,3.0
122,50.0,0.125,6.0
123,50.0,0.125,6.0
124,50.0,0.125,5.0
125,50.0,0.125,5.0
126,53.0,0.125,5.0
127,48.0,0.125,5.0
128,45.0,0.625,1.0
129,57.0,0.875,1.0
130,50.0,0.125,6.0
131,50.0,0.125,6.0
132,50.0,0.125,5.0
133,50.0,0.125,5.0
134,50.0,0.125,5.0
135,53.0,0.125,5.0
136,48.0,0.125,5.0
137,45.0,0.625,1.0
138,45.0,0.125,1.0
139,43.0,0.125,1.0
140,45.0,0.125,1.0
141,48.0,4.0,1.0
142,48.0,0.125,1.0
143,48.0,0.125,1.0
144,48.0,0.125,1.0
145,45.0,0.625,1.0
146,50.0,0.125,6.0
147,50.0,0.125,6.0
148,50.0,0.125,5.0
149,50.0,0.125,5.0
150,53.0,0.125,5.0
151,48.0,0.125,5.0
152,45.0,0.625,1.0
153,57.0,0.875,1.0
154,50.0,0.125,6.0
155,50.0,0.125,6.0
156,50.0,0.125,5.0
157,50.0,0.25,5.0
158,53.0,0.125,5.0
159,48.0,0.125,5.0
160,45.0,0.75,1.0
161,43.0,0.125,1.0
162,50.0,0.125,1.0
163,50.0,0.25,1.0
164,48.0,0.125,3.0
165,48.0,0.625,3.0
166,43.0,0.125,3.0
167,45.0,0.125,3.0
168,48.0,0.125,3.0
169,45.0,0.125,3.0
170,48.0,0.625,3.0
171,52.0,0.125,3.0
172,48.0,0.125,3.0
173,50.0,0.125,3.0
174,45.0,0.125,1.0
175,45.0,0.125,1.0
176,45.0,0.625,1.0
177,45.0,0.75,7.0
178,43.0,0.125,7.0
179,50.0,0.125,7.0
180,48.0,0.125,7.0
181,48.0,0.125,7.0
182,48.0,0.625,1.0
183,52.0,0.125,7.0
184,52.0,0.125,7.0
185,55.0,0.125,7.0
186,57.0,0.125,4.0
187,53.0,0.125,4.0
188,48.0,0.125,4.0
189,48.0,0.375,4.0
190,48.0,0.75,3.0
191,60.0,0.875,3.0
192,45.0,0.125,4.0
193,50.0,0.125,3.0
194,50.0,0.125,3.0
195,48.0,0.125,3.0
196,48.0,0.625,3.0
197,50.0,0.125,6.0
198,50.0,0.125,6.0
199,50.0,0.125,5.0
200,50.0,0.125,5.0
201,53.0,0.125,5.0
202,48.0,0.125,5.0
203,45.0,0.625,1.0
204,45.0,0.125,1.0
205,40.0,0.125,1.0
206,40.0,0.5,1.0
207,50.0,0.125,6.0
208,50.0,0.125,6.0
209,50.0,0.125,5.0
210,50.0,0.125,5.0
211,50.0,0.25,5.0
212,53.0,0.125,5.0
213,45.0,0.125,1.0
214,45.0,2.25,1.0
215,55.0,0.125,1.0
216,52.0,0.125,1.0
217,52.0,0.125,1.0
218,50.0,0.125,1.0
219,50.0,0.125,1.0
220,48.0,1.625,1.0
221,48.0,0.125,1.0
222,45.0,0.125,1.0
223,50.0,0.125,1.0
224,50.0,0.125,1.0
225,50.0,0.75,1.0
226,45.0,0.625,1.0
227,50.0,0.125,1.0
228,48.0,0.125,1.0
229,50.0,0.125,1.0
230,48.0,0.125,1.0
231,50.0,0.125,1.0
232,50.0,0.125,1.0
233,50.0,0.125,1.0
234,48.0,0.125,1.0
235,45.0,0.625,1.0
236,45.0,0.625,1.0
237,48.0,0.125,1.0
238,48.0,0.125,1.0
239,50.0,0.125,1.0
240,48.0,0.125,1.0
241,50.0,0.125,1.0
242,52.0,0.25,1.0
243,50.0,0.125,1.0
244,52.0,0.625,1.0
245,45.0,0.625,1.0
246,48.0,0.125,1.0
247,50.0,0.125,1.0
248,50.0,0.125,1.0
249,50.0,0.125,1.0
250,50.0,0.125,1.0
251,50.0,0.125,1.0
252,50.0,0.125,1.0
253,48.0,0.125,1.0
254,45.0,1.125,1.0
255,55.0,0.125,1.0
256,55.0,0.25,1.0
257,57.0,0.125,1.0
258,52.0,0.125,1.0
259,55.0,0.125,1.0
260,52.0,1.5,1.0
261,52.0,0.125,1.0
262,48.0,0.125,1.0
263,50.0,0.125,1.0
264,50.0,1.5,1.0
265,50.0,0.125,1.0
266,50.0,0.125,1.0
267,50.0,0.25,1.0
268,45.0,0.375,1.0
269,55.0,0.125,1.0
270,57.0,0.125,1.0
271,57.0,1.75,1.0
272,55.0,0.125,1.0
273,52.0,0.125,1.0
274,50.0,0.125,1.0
275,52.0,0.125,1.0
276,50.0,0.125,1.0
277,48.0,0.5,1.0
278,45.0,0.375,1.0
279,45.0,0.25,1.0
280,45.0,0.5,1.0
281,57.0,0.25,1.0
282,57.0,1.75,1.0
283,57.0,0.25,1.0
284,57.0,1.5,1.0
285,50.0,0.125,1.0
286,48.0,0.125,1.0
287,50.0,0.125,1.0
288,50.0,0.75,1.0
289,45.0,0.625,1.0
290,50.0,0.125,1.0
291,50.0,0.125,1.0
292,48.0,0.125,1.0
293,50.0,0.125,1.0
294,48.0,0.125,1.0
295,50.0,0.125,1.0
296,50.0,0.125,1.0
297,48.0,1.625,1.0
298,62.0,0.125,1.0
299,60.0,1.5,1.0
300,60.0,0.125,1.0
301,60.0,0.125,1.0
302,59.0,0.125,1.0
303,57.0,0.125,1.0
304,60.0,1.0,1.0
305,62.0,0.125,1.0
306,62.0,0.125,1.0
307,62.0,0.125,1.0
308,60.0,0.25,1.0
309,60.0,0.125,1.0
310,60.0,0.125,1.0
311,59.0,0.125,1.0
312,57.0,0.125,1.0
313,60.0,1.0,1.0
314,48.0,0.125,1.0
315,48.0,0.125,1.0
316,50.0,0.125,1.0
317,48.0,0.125,1.0
318,45.0,0.125,1.0
319,60.0,0.125,1.0
320,60.0,0.125,1.0
321,59.0,0.125,1.0
322,57.0,0.125,1.0
323,60.0,0.5,1.0
324,52.0,0.125,1.0
325,48.0,0.125,1.0
326,50.0,0.125,1.0
327,48.0,0.125,1.0
328,50.0,0.125,1.0
329,48.0,0.125,1.0
330,45.0,0.25,1.0
331,60.0,0.125,1.0
332,60.0,0.125,1.0
333,59.0,0.125,1.0
334,57.0,0.125,1.0
335,60.0,1.5,1.0
336,50.0,0.125,1.0
337,48.0,0.125,1.0
338,50.0,0.125,1.0
339,48.0,0.125,1.0
340,53.0,1.5,1.0
341,52.0,0.125,1.0
342,50.0,0.125,1.0
