,note,length,diatonic root
0,64.0,0.125,1.0
1,62.0,0.125,1.0
2,64.0,0.25,1.0
3,60.0,0.5,1.0
4,62.0,0.125,1.0
5,60.0,0.75,1.0
6,60.0,0.125,4.0
7,62.0,0.125,4.0
8,60.0,0.125,4.0
9,62.0,0.125,4.0
10,60.0,0.375,4.0
11,57.0,0.125,1.0
12,55.0,1.625,1.0
13,60.0,0.125,4.0
14,62.0,0.125,4.0
15,64.0,0.25,1.0
16,60.0,0.375,1.0
17,60.0,0.125,1.0
18,57.0,0.125,1.0
19,60.0,0.75,1.0
20,60.0,0.125,4.0
21,62.0,0.125,4.0
22,60.0,0.125,4.0
23,57.0,0.125,4.0
24,60.0,0.125,4.0
25,57.0,0.125,1.0
26,55.0,1.75,1.0
27,55.0,0.5,4.0
28,57.0,0.5,1.0
29,60.0,0.5,2.0
30,62.0,0.25,4.0
31,64.0,0.25,5.0
32,55.0,0.25,5.0
33,55.0,0.25,1.0
34,57.0,0.25,1.0
35,57.0,0.25,2.0
36,60.0,0.25,2.0
37,60.0,0.25,4.0
38,62.0,0.25,4.0
39,60.0,0.125,5.0
40,57.0,0.25,5.0
41,60.0,0.125,5.0
42,55.0,0.375,1.0
43,60.0,0.125,1.0
44,55.0,0.375,1.0
45,64.0,0.125,1.0
46,60.0,0.375,1.0
47,55.0,0.125,1.0
48,57.0,0.125,1.0
49,60.0,0.375,1.0
50,60.0,0.125,2.0
51,62.0,0.125,2.0
52,60.0,0.125,2.0
53,57.0,0.125,2.0
54,60.0,0.5,2.0
55,64.0,0.125,2.0
56,62.0,0.5,5.0
57,60.0,0.125,5.0
58,62.0,0.25,5.0
59,69.0,0.875,5.0
60,64.0,0.25,1.0
61,62.0,0.125,4.0
62,64.0,0.125,4.0
63,62.0,0.125,4.0
64,60.0,0.125,4.0
65,60.0,0.25,4.0
66,55.0,0.125,4.0
67,60.0,0.125,4.0
68,62.0,0.125,4.0
69,60.0,0.125,4.0
70,57.0,0.125,4.0
71,55.0,1.625,1.0
72,57.0,0.125,4.0
73,60.0,0.125,4.0
74,62.0,0.25,4.0
75,64.0,0.125,1.0
76,62.0,0.125,1.0
77,62.0,0.125,1.0
78,60.0,0.125,1.0
79,57.0,0.875,1.0
80,60.0,0.125,4.0
81,62.0,0.125,4.0
82,60.0,0.375,4.0
83,60.0,0.125,4.0
84,57.0,0.125,4.0
85,55.0,1.5,1.0
86,64.0,0.125,4.0
87,62.0,0.125,4.0
88,64.0,0.25,4.0
89,55.0,0.5,4.0
90,57.0,0.5,1.0
91,60.0,0.5,2.0
92,62.0,0.25,4.0
93,64.0,0.25,5.0
94,55.0,0.25,5.0
95,55.0,0.25,1.0
96,57.0,0.25,1.0
97,64.0,0.25,2.0
98,62.0,0.125,2.0
99,60.0,0.125,4.0
100,57.0,0.125,4.0
101,60.0,0.25,4.0
102,62.0,0.25,4.0
103,60.0,0.125,5.0
104,57.0,0.25,5.0
105,60.0,0.125,5.0
106,55.0,0.375,1.0
107,60.0,0.125,1.0
108,55.0,0.375,1.0
109,64.0,0.125,1.0
110,60.0,0.375,1.0
111,55.0,0.125,1.0
112,57.0,0.125,1.0
113,60.0,0.375,1.0
114,60.0,0.125,2.0
115,62.0,0.125,2.0
116,60.0,0.125,2.0
117,57.0,0.125,2.0
118,60.0,0.375,2.0
119,64.0,0.125,2.0
120,62.0,0.375,5.0
121,69.0,0.5,5.0
122,64.0,0.375,5.0
123,69.0,0.125,1.0
124,64.0,4.0,1.0
125,60.0,0.125,4.0
126,62.0,0.25,4.0
127,64.0,1.625,4.0
128,57.0,0.125,4.0
129,60.0,0.25,4.0
130,62.0,1.875,4.0
131,69.0,0.25,5.0
132,64.0,0.25,5.0
133,67.0,0.125,3.0
134,64.0,0.625,3.0
135,62.0,0.125,3.0
136,60.0,0.125,3.0
137,57.0,0.625,3.0
138,64.0,0.25,5.0
139,64.0,0.125,5.0
140,64.0,0.125,5.0
141,62.0,0.125,1.0
142,60.0,0.125,1.0
143,60.0,0.125,1.0
144,62.0,0.125,1.0
145,64.0,0.125,1.0
146,60.0,0.125,1.0
147,60.0,0.125,1.0
148,57.0,0.5,1.0
149,62.0,0.5,4.0
150,60.0,0.125,4.0
151,57.0,0.125,4.0
152,59.0,0.125,1.0
153,57.0,0.125,1.0
154,55.0,0.25,1.0
155,53.0,0.125,1.0
