,note,length,diatonic root
0,60.0,0.25,1.0
1,60.0,0.125,1.0
2,60.0,0.125,1.0
3,60.0,0.125,1.0
4,60.0,0.125,1.0
5,55.0,0.125,1.0
6,55.0,0.125,1.0
7,55.0,0.125,1.0
8,55.0,0.25,1.0
9,55.0,0.125,1.0
10,57.0,2.5,1.0
11,50.0,0.125,4.0
12,55.0,0.25,4.0
13,55.0,0.125,1.0
14,55.0,0.125,1.0
15,55.0,0.125,1.0
16,64.0,0.125,1.0
17,52.0,0.125,1.0
18,50.0,0.125,1.0
19,48.0,0.25,1.0
20,48.0,0.125,1.0
21,48.0,2.5,1.0
22,60.0,0.375,1.0
23,60.0,0.125,1.0
24,60.0,0.125,1.0
25,60.0,0.25,1.0
26,55.0,0.25,1.0
27,55.0,0.25,1.0
28,55.0,0.125,1.0
29,57.0,0.25,1.0
30,55.0,0.125,4.0
31,53.0,2.0,4.0
32,53.0,0.125,4.0
33,55.0,0.125,4.0
34,55.0,0.375,1.0
35,55.0,0.125,1.0
36,67.0,0.125,1.0
37,52.0,0.125,1.0
38,50.0,0.125,1.0
39,48.0,0.25,1.0
40,48.0,0.25,1.0
41,48.0,0.125,1.0
42,50.0,0.125,1.0
43,52.0,1.875,1.0
44,53.0,0.125,1.0
45,55.0,0.125,1.0
46,53.0,0.125,1.0
47,55.0,0.25,1.0
48,55.0,0.125,1.0
49,55.0,0.25,1.0
50,64.0,0.125,1.0
51,52.0,0.125,1.0
52,50.0,0.125,1.0
53,48.0,0.25,1.0
54,48.0,0.25,1.0
55,48.0,4.0,1.0
56,60.0,0.125,1.0
57,60.0,0.25,1.0
58,60.0,0.125,1.0
59,60.0,0.125,1.0
60,69.0,0.125,1.0
61,55.0,0.125,1.0
62,55.0,0.125,1.0
63,55.0,0.25,1.0
64,55.0,0.125,1.0
65,55.0,0.125,1.0
66,57.0,2.25,1.0
67,53.0,0.125,4.0
68,55.0,0.125,4.0
69,53.0,0.125,1.0
70,55.0,0.125,1.0
71,55.0,0.125,1.0
72,55.0,0.125,1.0
73,64.0,0.125,1.0
74,52.0,0.125,1.0
75,50.0,0.125,1.0
76,48.0,0.125,1.0
77,48.0,0.125,1.0
78,48.0,0.125,1.0
79,48.0,0.25,1.0
80,43.0,2.25,1.0
81,60.0,0.125,1.0
82,60.0,0.25,1.0
83,60.0,0.125,1.0
84,60.0,0.375,1.0
85,55.0,0.25,1.0
86,55.0,0.125,1.0
87,55.0,0.25,1.0
88,55.0,0.125,1.0
89,57.0,0.125,4.0
90,69.0,2.0,4.0
91,50.0,0.125,4.0
92,55.0,0.25,4.0
93,55.0,0.125,1.0
94,55.0,0.125,1.0
95,55.0,0.125,1.0
96,67.0,0.125,1.0
97,52.0,0.125,1.0
98,50.0,0.125,1.0
99,48.0,0.25,1.0
100,48.0,0.25,1.0
101,48.0,2.25,1.0
102,55.0,0.125,1.0
103,55.0,0.25,1.0
104,55.0,0.125,1.0
105,55.0,0.25,1.0
106,64.0,0.125,1.0
107,52.0,0.125,1.0
108,50.0,0.125,1.0
109,48.0,0.25,1.0
110,48.0,0.125,1.0
111,48.0,4.0,1.0
112,60.0,0.25,1.0
113,60.0,0.125,1.0
114,60.0,0.125,1.0
115,60.0,0.125,1.0
116,60.0,0.125,1.0
117,55.0,0.125,1.0
118,55.0,0.125,1.0
119,55.0,0.125,1.0
120,55.0,0.25,1.0
121,55.0,0.125,1.0
122,55.0,0.125,1.0
123,57.0,0.125,1.0
124,55.0,0.125,4.0
125,53.0,2.0,4.0
126,50.0,0.125,4.0
127,55.0,0.25,4.0
128,55.0,0.125,1.0
129,55.0,0.125,1.0
130,55.0,0.125,1.0
131,64.0,0.125,1.0
132,52.0,0.125,1.0
133,50.0,0.125,1.0
134,48.0,0.25,1.0
135,48.0,0.125,1.0
136,48.0,2.5,1.0
137,60.0,0.125,1.0
138,60.0,0.25,1.0
139,60.0,0.125,1.0
140,60.0,0.25,1.0
141,69.0,0.125,1.0
142,55.0,0.25,1.0
143,55.0,0.25,1.0
144,55.0,0.25,1.0
145,55.0,0.125,1.0
146,57.0,2.25,4.0
147,50.0,0.125,4.0
148,55.0,0.25,4.0
149,55.0,0.25,1.0
150,55.0,0.125,1.0
151,64.0,0.125,1.0
152,52.0,0.125,1.0
153,50.0,0.125,1.0
154,48.0,0.25,1.0
155,48.0,0.25,1.0
156,48.0,0.125,1.0
157,50.0,0.125,1.0
158,52.0,2.0,1.0
159,55.0,0.125,1.0
160,55.0,0.25,1.0
161,55.0,0.25,1.0
162,55.0,0.125,1.0
163,64.0,0.125,1.0
164,52.0,0.125,1.0
165,50.0,0.125,1.0
166,48.0,0.25,1.0
167,48.0,0.25,1.0
