,note,length,diatonic root
0,55.0,0.125,1.0
1,60.0,0.125,1.0
2,62.0,0.125,1.0
3,64.0,0.125,1.0
4,62.0,0.125,1.0
5,62.0,0.125,1.0
6,60.0,0.125,1.0
7,62.0,0.25,5.0
8,55.0,0.75,5.0
9,52.0,0.125,6.0
10,55.0,0.125,6.0
11,55.0,0.125,6.0
12,55.0,0.125,6.0
13,55.0,0.125,6.0
14,55.0,0.125,6.0
15,53.0,1.5,6.0
16,60.0,0.125,1.0
17,60.0,0.125,1.0
18,60.0,0.125,1.0
19,62.0,0.125,1.0
20,64.0,0.125,1.0
21,62.0,0.125,1.0
22,62.0,0.125,1.0
23,60.0,0.125,1.0
24,62.0,0.25,5.0
25,57.0,0.125,5.0
26,55.0,0.625,5.0
27,52.0,0.125,6.0
28,55.0,0.125,6.0
29,55.0,0.125,6.0
30,55.0,0.125,6.0
31,55.0,0.125,6.0
32,55.0,0.125,6.0
33,53.0,1.5,6.0
34,60.0,0.125,1.0
35,55.0,0.125,1.0
36,57.0,0.125,1.0
37,60.0,0.125,1.0
38,60.0,0.125,1.0
39,60.0,0.125,1.0
40,60.0,0.125,1.0
41,60.0,0.125,1.0
42,62.0,0.125,1.0
43,62.0,0.125,5.0
44,64.0,0.125,5.0
45,64.0,0.125,5.0
46,62.0,0.125,5.0
47,64.0,0.125,5.0
48,62.0,0.125,5.0
49,60.0,0.125,5.0
50,62.0,0.625,5.0
51,52.0,0.125,6.0
52,55.0,0.125,6.0
53,55.0,0.125,6.0
54,55.0,0.125,6.0
55,55.0,0.125,6.0
56,60.0,0.125,6.0
57,60.0,0.125,6.0
58,60.0,1.5,6.0
59,60.0,0.125,1.0
60,55.0,0.125,1.0
61,60.0,0.125,1.0
62,60.0,0.125,1.0
63,60.0,0.125,1.0
64,55.0,0.125,1.0
65,57.0,0.125,1.0
66,55.0,0.125,1.0
67,60.0,0.125,1.0
68,60.0,0.125,1.0
69,62.0,0.125,1.0
70,64.0,0.125,5.0
71,64.0,0.125,5.0
72,62.0,0.125,5.0
73,64.0,0.125,5.0
74,62.0,0.125,5.0
75,60.0,0.125,5.0
76,62.0,0.375,5.0
77,57.0,0.125,5.0
78,60.0,0.125,5.0
79,60.0,0.25,6.0
80,55.0,0.125,6.0
81,57.0,0.125,6.0
82,60.0,0.125,6.0
83,60.0,0.125,6.0
84,57.0,0.125,6.0
85,60.0,0.125,6.0
86,60.0,0.125,6.0
87,62.0,0.125,6.0
88,62.0,0.125,3.0
89,62.0,0.75,3.0
90,60.0,0.125,3.0
91,65.0,0.25,3.0
92,60.0,0.125,7.0
93,59.0,0.125,7.0
94,57.0,0.125,7.0
95,57.0,0.625,7.0
96,62.0,0.125,7.0
97,60.0,0.125,7.0
98,59.0,0.125,7.0
99,57.0,0.125,7.0
100,57.0,0.25,7.0
101,62.0,0.125,4.0
102,62.0,2.5,4.0
103,55.0,0.125,1.0
104,60.0,0.125,1.0
105,62.0,0.125,1.0
106,64.0,0.125,1.0
107,62.0,0.125,1.0
108,62.0,0.125,1.0
109,62.0,0.125,1.0
110,62.0,0.125,1.0
111,62.0,0.125,1.0
112,60.0,0.125,1.0
113,60.0,0.125,1.0
114,62.0,0.25,5.0
115,59.0,0.125,5.0
116,57.0,0.125,5.0
117,55.0,0.125,5.0
118,57.0,0.625,5.0
119,52.0,0.125,6.0
120,55.0,0.125,6.0
121,55.0,0.25,6.0
122,55.0,0.125,6.0
123,55.0,0.125,6.0
124,55.0,0.125,6.0
125,53.0,0.375,6.0
126,52.0,0.125,1.0
127,53.0,0.125,1.0
128,55.0,0.125,1.0
129,50.0,0.25,1.0
130,55.0,0.5,5.0
131,64.0,0.125,1.0
132,64.0,0.125,1.0
133,62.0,0.125,1.0
134,64.0,0.125,1.0
135,62.0,0.125,1.0
136,60.0,0.125,1.0
137,62.0,0.125,1.0
138,62.0,0.125,1.0
139,60.0,0.125,1.0
140,62.0,0.125,1.0
141,62.0,0.125,5.0
142,62.0,0.125,5.0
143,62.0,0.125,5.0
144,62.0,0.5,5.0
145,62.0,0.125,5.0
146,62.0,0.125,5.0
147,60.0,0.125,5.0
148,60.0,0.125,6.0
149,62.0,0.125,6.0
150,57.0,0.375,6.0
151,62.0,0.125,6.0
152,62.0,0.125,6.0
153,60.0,0.125,6.0
154,62.0,0.125,6.0
