,note,length,diatonic root
0,45.0,0.125,1.0
1,48.0,0.125,1.0
2,48.0,0.125,1.0
3,45.0,0.125,1.0
4,50.0,0.125,1.0
5,45.0,1.5,1.0
6,33.0,0.125,6.0
7,45.0,0.125,6.0
8,47.0,0.125,6.0
9,48.0,0.125,6.0
10,45.0,0.125,6.0
11,50.0,1.5,6.0
12,45.0,0.125,1.0
13,48.0,0.125,1.0
14,48.0,0.125,1.0
15,45.0,0.125,1.0
16,50.0,0.125,1.0
17,48.0,0.125,4.0
18,48.0,0.25,4.0
19,45.0,0.25,4.0
20,48.0,0.75,4.0
21,43.0,0.125,6.0
22,52.0,0.125,6.0
23,50.0,0.125,6.0
24,48.0,0.25,6.0
25,45.0,0.125,6.0
26,50.0,0.625,7.0
27,48.0,0.25,7.0
28,50.0,0.375,7.0
29,64.0,0.25,1.0
30,64.0,0.75,1.0
31,64.0,0.125,6.0
32,64.0,0.75,6.0
33,52.0,0.125,4.0
34,52.0,0.125,4.0
35,64.0,0.25,4.0
36,64.0,0.125,4.0
37,62.0,0.5,4.0
38,52.0,0.125,1.0
39,52.0,0.125,1.0
40,64.0,1.0,1.0
41,64.0,0.125,1.0
42,64.0,0.75,1.0
43,52.0,0.125,6.0
44,64.0,0.125,6.0
45,64.0,0.25,6.0
46,64.0,0.125,6.0
47,62.0,0.125,6.0
48,57.0,0.5,6.0
49,64.0,0.125,4.0
50,64.0,0.25,4.0
51,64.0,0.25,4.0
52,60.0,0.125,4.0
53,55.0,0.125,4.0
54,55.0,0.125,4.0
55,64.0,0.25,1.0
56,64.0,0.375,1.0
57,60.0,0.125,1.0
58,57.0,0.125,1.0
59,57.0,4.0,1.0
60,45.0,0.125,1.0
61,48.0,0.125,1.0
62,48.0,0.125,1.0
63,45.0,0.125,1.0
64,50.0,0.125,1.0
65,48.0,1.125,4.0
66,43.0,0.125,6.0
67,45.0,0.125,6.0
68,45.0,0.125,6.0
69,45.0,0.125,6.0
70,47.0,0.25,6.0
71,48.0,0.125,6.0
72,45.0,0.125,6.0
73,50.0,1.5,7.0
74,45.0,0.125,1.0
75,45.0,0.125,1.0
76,47.0,0.125,1.0
77,48.0,0.125,1.0
78,48.0,0.125,1.0
79,45.0,0.125,1.0
80,50.0,0.25,1.0
81,48.0,0.875,4.0
82,45.0,0.125,6.0
83,45.0,0.125,6.0
84,45.0,0.125,6.0
85,52.0,0.125,6.0
86,50.0,0.125,6.0
87,48.0,0.125,6.0
88,45.0,0.125,6.0
89,50.0,0.625,6.0
90,48.0,0.125,7.0
91,50.0,0.5,7.0
92,64.0,0.125,1.0
93,64.0,0.875,1.0
94,64.0,0.125,6.0
95,64.0,0.75,6.0
96,53.0,0.125,4.0
97,64.0,0.125,4.0
98,64.0,0.125,4.0
99,64.0,0.25,4.0
100,62.0,0.125,4.0
101,60.0,0.25,4.0
102,62.0,0.125,1.0
103,64.0,0.125,1.0
104,64.0,0.75,1.0
105,52.0,0.125,1.0
106,64.0,0.5,1.0
107,52.0,0.125,1.0
108,52.0,0.25,1.0
109,62.0,0.125,6.0
110,62.0,0.125,6.0
111,60.0,0.125,6.0
112,57.0,0.125,6.0
113,57.0,0.125,6.0
114,55.0,0.375,6.0
115,64.0,0.125,4.0
116,64.0,0.125,4.0
