,note,length,diatonic root
0,43.0,0.125,1.0
1,45.0,0.125,1.0
2,43.0,0.125,1.0
3,45.0,0.125,1.0
4,43.0,0.125,1.0
5,45.0,0.125,1.0
6,48.0,0.125,1.0
7,45.0,1.125,1.0
8,43.0,0.125,1.0
9,45.0,0.125,1.0
10,43.0,0.125,1.0
11,45.0,0.125,1.0
12,45.0,0.125,1.0
13,45.0,0.125,1.0
14,50.0,0.25,1.0
15,48.0,0.5,1.0
16,45.0,0.125,1.0
17,45.0,0.25,1.0
18,45.0,0.625,1.0
19,45.0,0.375,1.0
20,48.0,0.125,1.0
21,50.0,0.125,1.0
22,52.0,0.125,1.0
23,48.0,0.75,1.0
24,43.0,0.125,1.0
25,45.0,0.25,1.0
26,48.0,0.125,1.0
27,43.0,0.125,1.0
28,43.0,0.125,1.0
29,43.0,0.125,1.0
30,45.0,1.875,1.0
31,48.0,0.125,1.0
32,52.0,0.125,1.0
33,48.0,0.125,1.0
34,50.0,0.125,1.0
35,48.0,0.125,1.0
36,50.0,0.125,1.0
37,48.0,0.125,1.0
38,45.0,0.125,1.0
39,48.0,0.125,1.0
40,45.0,0.125,1.0
41,45.0,0.75,1.0
42,45.0,0.125,1.0
43,40.0,0.125,1.0
44,41.0,0.125,1.0
45,40.0,0.125,1.0
46,45.0,0.125,1.0
47,43.0,0.25,1.0
48,43.0,0.125,1.0
49,45.0,0.25,1.0
50,45.0,0.125,1.0
51,45.0,0.125,1.0
52,48.0,0.125,1.0
53,45.0,0.5,1.0
54,48.0,0.125,1.0
55,48.0,0.125,1.0
56,50.0,0.125,1.0
57,48.0,0.125,1.0
58,50.0,0.125,1.0
59,48.0,0.125,1.0
60,50.0,0.125,1.0
61,52.0,0.125,1.0
62,48.0,0.5,1.0
63,40.0,0.125,1.0
64,43.0,0.125,1.0
65,45.0,0.125,1.0
66,45.0,0.125,1.0
67,48.0,0.125,1.0
68,45.0,2.0,1.0
69,45.0,0.125,1.0
70,45.0,0.125,1.0
71,45.0,0.125,1.0
72,43.0,0.125,1.0
73,45.0,0.25,1.0
74,45.0,0.125,1.0
75,48.0,1.125,1.0
76,48.0,0.125,1.0
77,48.0,0.125,1.0
78,45.0,0.125,1.0
79,48.0,0.125,1.0
80,48.0,0.125,1.0
81,45.0,0.125,1.0
82,48.0,0.25,1.0
83,45.0,0.125,1.0
84,45.0,0.125,1.0
85,45.0,0.5,1.0
86,52.0,0.125,1.0
87,57.0,0.125,1.0
88,57.0,0.25,1.0
89,57.0,0.5,1.0
90,52.0,0.125,1.0
91,48.0,0.125,1.0
92,50.0,0.125,1.0
93,45.0,0.125,1.0
94,48.0,0.25,1.0
95,43.0,0.125,1.0
96,45.0,0.125,1.0
97,45.0,0.125,1.0
98,48.0,0.125,1.0
99,45.0,1.5,1.0
100,43.0,0.125,1.0
101,45.0,0.375,1.0
102,43.0,0.125,1.0
103,45.0,0.125,1.0
104,45.0,0.125,1.0
105,43.0,0.125,1.0
