,note,length,diatonic root
0,50.0,0.125,4.0
1,50.0,0.25,4.0
2,52.0,0.25,4.0
3,53.0,0.25,4.0
4,57.0,0.25,7.0
5,59.0,0.25,7.0
6,60.0,0.25,7.0
7,60.0,0.25,7.0
8,59.0,0.25,1.0
9,57.0,0.25,1.0
10,55.0,0.25,1.0
11,53.0,3.5,1.0
12,50.0,0.125,4.0
13,50.0,0.25,4.0
14,52.0,0.25,4.0
15,53.0,0.25,4.0
16,57.0,0.25,7.0
17,59.0,0.25,7.0
18,60.0,0.25,7.0
19,60.0,0.25,7.0
20,59.0,0.25,1.0
21,57.0,0.25,1.0
22,55.0,0.25,1.0
23,53.0,0.75,1.0
24,55.0,1.125,6.0
25,52.0,0.25,1.0
26,53.0,1.875,1.0
27,57.0,0.125,6.0
28,57.0,0.125,6.0
29,55.0,0.75,6.0
30,52.0,0.25,1.0
31,53.0,3.0,1.0
32,50.0,0.125,4.0
33,50.0,0.25,4.0
34,48.0,0.25,4.0
35,47.0,0.375,4.0
36,47.0,0.125,7.0
37,50.0,0.25,7.0
38,52.0,0.25,7.0
39,52.0,0.25,7.0
40,50.0,0.25,1.0
41,48.0,0.25,1.0
42,47.0,0.25,1.0
43,48.0,0.125,1.0
44,47.0,0.125,1.0
45,45.0,3.0,1.0
46,50.0,0.125,4.0
47,50.0,0.25,4.0
48,52.0,0.25,4.0
49,53.0,0.25,4.0
50,52.0,0.25,7.0
51,50.0,0.25,7.0
52,53.0,0.25,7.0
53,52.0,0.25,7.0
54,50.0,0.25,1.0
55,48.0,0.25,1.0
56,47.0,0.25,1.0
57,48.0,0.625,1.0
58,50.0,0.5,6.0
59,48.0,0.75,6.0
60,52.0,0.25,1.0
61,53.0,1.875,1.0
62,57.0,0.125,6.0
63,57.0,0.125,6.0
64,55.0,0.75,6.0
65,52.0,0.25,1.0
66,53.0,4.0,1.0
67,53.0,0.25,1.0
68,55.0,0.125,1.0
69,57.0,0.125,6.0
70,60.0,0.125,6.0
71,57.0,0.125,6.0
72,55.0,0.125,6.0
73,53.0,0.125,6.0
74,53.0,0.125,6.0
75,57.0,0.125,6.0
76,59.0,1.125,6.0
77,53.0,0.125,6.0
78,57.0,0.125,6.0
79,60.0,0.125,6.0
80,57.0,0.125,6.0
81,55.0,0.125,6.0
82,53.0,0.125,6.0
83,53.0,0.125,6.0
84,53.0,0.125,6.0
85,57.0,0.125,6.0
86,59.0,4.0,6.0
87,65.0,0.125,1.0
88,64.0,0.125,6.0
89,62.0,0.125,6.0
90,64.0,0.125,6.0
91,62.0,0.25,6.0
92,64.0,0.125,6.0
93,59.0,0.125,6.0
94,59.0,0.125,6.0
95,59.0,0.125,6.0
96,59.0,0.25,6.0
97,57.0,0.125,6.0
98,60.0,0.125,6.0
99,62.0,0.125,6.0
100,62.0,0.125,6.0
101,62.0,0.125,6.0
102,62.0,0.125,6.0
103,62.0,0.125,6.0
104,62.0,0.125,6.0
105,57.0,0.5,6.0
106,59.0,0.125,6.0
107,62.0,0.125,2.0
108,62.0,0.125,2.0
109,62.0,0.125,2.0
110,62.0,0.125,2.0
111,64.0,0.125,2.0
112,62.0,0.125,2.0
113,62.0,0.125,2.0
114,62.0,0.125,2.0
115,62.0,0.125,2.0
116,62.0,0.125,2.0
117,62.0,0.125,6.0
118,62.0,0.125,6.0
119,62.0,0.125,6.0
120,62.0,0.125,6.0
121,62.0,0.125,6.0
122,62.0,0.125,6.0
123,62.0,0.125,6.0
124,60.0,0.125,6.0
125,60.0,0.125,6.0
126,60.0,0.125,6.0
127,60.0,0.125,6.0
128,60.0,1.875,1.0
129,69.0,4.0,6.0
130,60.0,0.5,6.0
131,59.0,0.75,1.0
132,62.0,0.25,5.0
133,60.0,0.25,5.0
134,62.0,0.125,6.0
135,64.0,0.125,6.0
136,65.0,0.5,6.0
137,64.0,0.375,2.0
138,64.0,0.25,6.0
139,62.0,1.125,2.0
140,62.0,0.25,7.0
141,64.0,0.125,7.0
142,65.0,0.25,7.0
143,60.0,0.5,4.0
144,62.0,0.25,5.0
145,64.0,0.125,5.0
146,65.0,0.25,5.0
147,60.0,0.25,4.0
148,59.0,0.125,4.0
149,64.0,0.25,3.0
150,65.0,0.125,3.0
151,64.0,0.5,3.0
152,57.0,0.125,3.0
153,60.0,0.25,6.0
154,62.0,0.125,6.0
155,60.0,0.5,6.0
156,60.0,0.5,6.0
157,59.0,0.75,1.0
158,62.0,0.25,5.0
159,60.0,0.25,5.0
160,62.0,0.125,6.0
161,64.0,0.125,6.0
162,65.0,0.5,6.0
163,67.0,0.25,2.0
