,note,length,diatonic root
0,62.0,0.125,1.0
1,62.0,0.25,1.0
2,62.0,0.25,1.0
3,62.0,0.25,1.0
4,62.0,0.25,1.0
5,62.0,0.25,1.0
6,62.0,0.125,1.0
7,60.0,0.25,1.0
8,60.0,0.25,4.0
9,60.0,0.25,4.0
10,60.0,0.125,4.0
11,60.0,0.125,4.0
12,62.0,0.25,4.0
13,57.0,1.125,4.0
14,57.0,0.125,4.0
15,64.0,0.125,4.0
16,67.0,0.25,4.0
17,69.0,0.25,4.0
18,67.0,0.25,4.0
19,69.0,0.375,4.0
20,67.0,0.125,4.0
21,62.0,0.125,4.0
22,62.0,0.125,4.0
23,60.0,2.5,4.0
24,62.0,0.125,1.0
25,62.0,0.25,1.0
26,62.0,0.25,1.0
27,62.0,0.25,1.0
28,62.0,0.25,1.0
29,62.0,0.25,1.0
30,62.0,0.125,1.0
31,60.0,0.125,1.0
32,60.0,0.25,4.0
33,60.0,0.25,4.0
34,60.0,0.25,4.0
35,62.0,0.25,4.0
36,57.0,1.125,4.0
37,55.0,0.125,4.0
38,64.0,0.125,4.0
39,67.0,0.25,4.0
40,69.0,0.25,4.0
41,67.0,0.375,4.0
42,67.0,0.25,4.0
43,67.0,0.25,4.0
44,62.0,0.125,4.0
45,62.0,0.125,1.0
46,60.0,1.125,1.0
47,57.0,0.125,1.0
48,64.0,0.125,1.0
49,67.0,0.125,1.0
50,69.0,0.25,1.0
51,64.0,0.25,1.0
52,62.0,0.25,5.0
53,62.0,0.375,5.0
54,64.0,0.5,5.0
55,57.0,0.125,5.0
56,64.0,0.125,5.0
57,67.0,0.125,5.0
58,69.0,0.125,5.0
59,64.0,0.125,5.0
60,62.0,0.125,5.0
61,60.0,1.5,5.0
62,57.0,0.125,1.0
63,64.0,0.125,1.0
64,67.0,0.125,1.0
65,69.0,0.125,1.0
66,64.0,0.375,1.0
67,62.0,0.375,5.0
68,62.0,0.25,5.0
69,55.0,0.625,5.0
70,67.0,0.125,5.0
71,67.0,0.25,5.0
72,62.0,0.125,5.0
73,62.0,0.125,5.0
74,60.0,1.5,5.0
75,57.0,0.125,1.0
76,64.0,0.125,1.0
77,67.0,0.25,1.0
78,69.0,0.75,1.0
79,67.0,0.875,5.0
80,69.0,0.125,5.0
81,67.0,0.25,5.0
82,62.0,0.125,5.0
83,62.0,0.125,5.0
84,60.0,1.625,5.0
85,60.0,0.875,1.0
86,57.0,0.125,7.0
87,59.0,0.25,7.0
88,55.0,0.25,7.0
89,55.0,0.375,7.0
90,59.0,0.125,7.0
91,59.0,0.25,7.0
92,59.0,2.0,7.0
93,64.0,0.125,7.0
94,67.0,0.375,1.0
95,67.0,0.125,1.0
96,67.0,0.25,1.0
97,67.0,0.625,1.0
98,64.0,0.25,1.0
99,64.0,0.125,1.0
100,67.0,0.75,1.0
101,62.0,0.125,1.0
102,62.0,0.5,1.0
103,60.0,0.75,1.0
104,62.0,0.5,1.0
105,59.0,0.375,7.0
106,55.0,0.25,7.0
107,55.0,0.375,7.0
108,57.0,0.125,7.0
109,55.0,0.25,7.0
110,59.0,2.0,7.0
111,60.0,0.25,7.0
112,67.0,0.375,1.0
113,67.0,0.25,1.0
114,67.0,0.25,1.0
115,67.0,0.375,1.0
116,64.0,0.625,1.0
117,64.0,0.375,1.0
118,67.0,0.25,1.0
119,67.0,0.375,1.0
120,67.0,0.375,1.0
121,62.0,0.125,1.0
122,62.0,0.125,1.0
123,60.0,4.0,1.0
124,62.0,0.125,1.0
125,62.0,0.25,1.0
126,62.0,0.25,1.0
127,62.0,0.25,1.0
128,62.0,0.25,1.0
129,62.0,0.125,1.0
130,57.0,0.25,1.0
131,57.0,0.125,1.0
132,60.0,0.375,4.0
133,60.0,0.25,4.0
134,60.0,0.125,4.0
135,62.0,0.25,4.0
136,57.0,1.125,4.0
137,57.0,0.125,4.0
138,64.0,0.25,4.0
139,67.0,0.25,4.0
140,69.0,0.125,4.0
141,67.0,0.25,4.0
142,67.0,0.375,4.0
143,60.0,0.125,4.0
