,note,length,diatonic root
0,48.0,0.25,1.0
1,48.0,0.25,1.0
2,48.0,0.125,1.0
3,48.0,0.125,1.0
4,48.0,0.25,1.0
5,48.0,0.125,1.0
6,48.0,0.125,1.0
7,48.0,0.25,1.0
8,48.0,0.5,1.0
9,52.0,0.25,1.0
10,52.0,0.25,1.0
11,52.0,0.125,1.0
12,52.0,0.125,1.0
13,52.0,0.125,1.0
14,52.0,0.25,1.0
15,52.0,0.125,1.0
16,52.0,0.125,1.0
17,52.0,0.25,1.0
18,52.0,0.5,1.0
19,55.0,0.25,1.0
20,55.0,0.125,1.0
21,55.0,0.125,1.0
22,55.0,0.125,1.0
23,55.0,0.125,1.0
24,55.0,0.125,1.0
25,55.0,0.25,1.0
26,55.0,0.125,1.0
27,55.0,0.125,1.0
28,55.0,0.25,1.0
29,55.0,0.125,1.0
30,55.0,0.125,1.0
31,55.0,0.125,1.0
32,55.0,0.125,1.0
33,55.0,0.375,1.0
34,55.0,0.125,5.0
35,55.0,0.375,5.0
36,55.0,0.125,5.0
37,55.0,0.25,5.0
38,55.0,0.125,5.0
39,55.0,0.25,5.0
40,55.0,0.125,5.0
41,55.0,0.125,5.0
42,55.0,0.125,5.0
43,48.0,0.25,5.0
44,52.0,0.25,1.0
45,55.0,0.5,1.0
46,48.0,0.25,1.0
47,52.0,0.125,1.0
48,55.0,0.5,1.0
49,43.0,0.125,1.0
50,48.0,0.25,1.0
51,52.0,0.25,1.0
52,55.0,0.25,1.0
53,57.0,0.125,1.0
54,55.0,0.125,1.0
55,57.0,0.25,1.0
56,55.0,0.25,1.0
57,50.0,0.125,1.0
58,50.0,0.125,1.0
59,48.0,0.125,1.0
60,48.0,0.125,1.0
61,55.0,0.375,1.0
62,53.0,0.125,4.0
63,50.0,0.25,4.0
64,48.0,0.25,4.0
65,55.0,0.25,4.0
66,53.0,0.125,4.0
67,50.0,0.25,4.0
68,55.0,0.125,4.0
69,55.0,0.125,4.0
70,55.0,0.125,4.0
71,55.0,0.25,4.0
72,53.0,0.25,1.0
73,52.0,0.25,1.0
74,48.0,0.25,1.0
75,55.0,0.25,1.0
76,53.0,0.125,1.0
77,52.0,0.25,1.0
78,52.0,0.125,1.0
79,53.0,0.125,1.0
80,52.0,0.125,1.0
81,53.0,0.25,1.0
82,53.0,0.125,5.0
83,52.0,0.125,5.0
84,53.0,0.125,5.0
85,55.0,0.125,5.0
86,53.0,0.25,5.0
87,55.0,0.25,5.0
88,53.0,0.125,5.0
89,52.0,0.375,5.0
90,48.0,0.125,5.0
91,48.0,1.875,5.0
92,48.0,0.125,1.0
93,48.0,0.125,1.0
94,48.0,0.25,1.0
95,52.0,0.25,1.0
96,55.0,0.5,1.0
97,48.0,0.125,1.0
98,52.0,0.25,1.0
99,55.0,0.375,1.0
100,55.0,0.125,1.0
101,55.0,0.125,1.0
102,48.0,0.25,1.0
103,52.0,0.25,1.0
104,55.0,0.25,1.0
105,57.0,0.25,1.0
106,57.0,0.25,1.0
107,55.0,0.125,1.0
108,50.0,0.25,1.0
109,48.0,0.125,1.0
110,50.0,0.125,1.0
111,48.0,0.125,1.0
112,55.0,0.375,1.0
113,53.0,0.125,4.0
114,50.0,0.25,4.0
115,48.0,0.25,4.0
116,55.0,0.25,4.0
117,53.0,0.125,4.0
118,50.0,0.25,4.0
119,55.0,0.125,4.0
120,55.0,0.125,4.0
121,55.0,0.125,4.0
122,55.0,0.25,4.0
123,53.0,0.25,1.0
124,52.0,0.25,1.0
125,48.0,0.25,1.0
126,55.0,0.25,1.0
127,53.0,0.125,1.0
128,52.0,0.25,1.0
129,52.0,0.125,1.0
130,53.0,0.125,1.0
131,52.0,0.125,1.0
132,53.0,0.25,1.0
133,53.0,0.125,5.0
134,52.0,0.125,5.0
135,53.0,0.125,5.0
136,55.0,0.125,5.0
137,53.0,0.25,5.0
138,55.0,0.25,5.0
139,53.0,0.125,5.0
140,50.0,0.375,5.0
141,48.0,0.125,5.0
142,48.0,4.0,5.0
143,48.0,0.25,1.0
144,48.0,0.125,1.0
145,48.0,0.25,1.0
146,52.0,0.25,1.0
147,55.0,0.5,1.0
148,48.0,0.125,1.0
149,52.0,0.25,1.0
150,55.0,0.125,1.0
151,55.0,0.5,1.0
152,48.0,0.25,1.0
153,52.0,0.25,1.0
154,55.0,0.25,1.0
155,57.0,0.25,1.0
156,57.0,0.125,1.0
157,55.0,0.25,1.0
158,50.0,0.125,1.0
159,50.0,0.125,1.0
160,48.0,0.125,1.0
161,50.0,0.125,1.0
162,48.0,0.125,1.0
163,55.0,0.375,1.0
164,53.0,0.125,4.0
165,50.0,0.25,4.0
166,48.0,0.25,4.0
167,55.0,0.25,4.0
168,53.0,0.125,4.0
169,50.0,0.25,4.0
170,55.0,0.125,4.0
171,55.0,0.125,4.0
172,55.0,0.125,4.0
173,55.0,0.25,4.0
174,53.0,0.25,1.0
175,52.0,0.25,1.0
176,48.0,0.25,1.0
177,55.0,0.25,1.0
178,53.0,0.125,1.0
179,52.0,0.25,1.0
180,52.0,0.125,1.0
181,53.0,0.125,1.0
182,52.0,0.125,1.0
183,53.0,0.25,1.0
184,53.0,0.125,5.0
185,52.0,0.125,5.0
186,53.0,0.125,5.0
187,55.0,0.125,5.0
188,53.0,0.25,5.0
189,55.0,0.25,5.0
190,53.0,0.125,5.0
191,50.0,0.375,5.0
192,48.0,0.125,5.0
193,48.0,1.875,5.0
194,48.0,0.125,1.0
195,48.0,0.125,1.0
196,48.0,0.25,1.0
197,52.0,0.25,1.0
198,55.0,0.375,1.0
199,48.0,0.125,1.0
200,48.0,0.125,1.0
201,52.0,0.25,1.0
202,55.0,0.375,1.0
203,48.0,0.125,1.0
204,48.0,0.125,1.0
205,48.0,0.25,1.0
206,52.0,0.25,1.0
207,55.0,0.25,1.0
208,55.0,0.25,1.0
209,55.0,0.25,1.0
210,50.0,0.125,1.0
211,48.0,0.25,1.0
212,48.0,0.125,1.0
213,50.0,0.125,1.0
214,48.0,0.125,1.0
215,55.0,0.375,1.0
216,53.0,0.125,4.0
217,50.0,0.25,4.0
218,48.0,0.25,4.0
219,55.0,0.25,4.0
220,53.0,0.125,4.0
221,50.0,0.25,4.0
222,55.0,0.125,4.0
223,55.0,0.125,4.0
224,55.0,0.125,4.0
225,55.0,0.25,4.0
226,53.0,0.25,1.0
227,52.0,0.25,1.0
228,48.0,0.25,1.0
229,55.0,0.25,1.0
230,53.0,0.125,1.0
231,52.0,0.25,1.0
232,52.0,0.125,1.0
233,53.0,0.125,1.0
234,52.0,0.125,1.0
235,53.0,0.25,1.0
236,53.0,0.125,5.0
237,52.0,0.125,5.0
238,53.0,0.125,5.0
239,55.0,0.125,5.0
240,53.0,0.25,5.0
241,55.0,0.25,5.0
242,53.0,0.125,5.0
243,52.0,0.375,5.0
244,48.0,0.125,5.0
245,48.0,4.0,5.0
246,48.0,0.125,1.0
247,48.0,0.125,1.0
248,48.0,0.25,1.0
249,52.0,0.25,1.0
250,55.0,0.25,1.0
251,55.0,0.25,1.0
252,48.0,0.125,1.0
253,52.0,0.25,1.0
254,55.0,0.25,1.0
255,55.0,0.25,1.0
256,55.0,0.125,1.0
257,48.0,0.25,1.0
258,52.0,0.25,1.0
259,55.0,0.375,1.0
260,55.0,0.125,1.0
261,55.0,0.25,1.0
262,50.0,0.125,1.0
263,50.0,0.25,1.0
264,48.0,0.125,1.0
265,50.0,0.125,1.0
266,48.0,0.125,1.0
267,55.0,0.375,1.0
268,53.0,0.125,4.0
269,50.0,0.25,4.0
270,48.0,0.25,4.0
271,55.0,0.25,4.0
272,53.0,0.125,4.0
273,50.0,0.25,4.0
274,55.0,0.125,4.0
275,55.0,0.125,4.0
276,55.0,0.125,4.0
277,55.0,0.25,4.0
278,53.0,0.25,1.0
279,52.0,0.25,1.0
280,48.0,0.25,1.0
281,55.0,0.25,1.0
282,53.0,0.125,1.0
283,52.0,0.25,1.0
284,52.0,0.125,1.0
285,53.0,0.125,1.0
286,52.0,0.125,1.0
287,53.0,0.25,1.0
288,53.0,0.125,5.0
289,52.0,0.125,5.0
290,53.0,0.125,5.0
291,55.0,0.125,5.0
292,53.0,0.25,5.0
293,55.0,0.25,5.0
294,53.0,0.125,5.0
295,50.0,0.375,5.0
296,52.0,0.125,5.0
297,52.0,0.125,5.0
