,note,length,diatonic root
0,57.0,0.125,6.0
1,59.0,0.125,6.0
2,60.0,0.125,1.0
3,60.0,0.125,1.0
4,60.0,0.125,1.0
5,60.0,1.125,1.0
6,60.0,0.25,6.0
7,60.0,0.125,6.0
8,57.0,0.25,1.0
9,57.0,0.25,1.0
10,55.0,1.125,1.0
11,60.0,0.125,6.0
12,60.0,0.125,6.0
13,60.0,0.125,6.0
14,57.0,0.125,1.0
15,57.0,0.125,1.0
16,57.0,0.125,1.0
17,60.0,1.125,1.0
18,60.0,0.125,6.0
19,60.0,0.125,6.0
20,60.0,0.125,6.0
21,57.0,0.125,1.0
22,57.0,0.125,1.0
23,57.0,0.125,1.0
24,57.0,1.125,1.0
25,60.0,0.125,6.0
26,60.0,0.125,6.0
27,60.0,0.25,6.0
28,60.0,0.125,1.0
29,60.0,0.25,1.0
30,57.0,0.125,1.0
31,57.0,0.125,1.0
32,55.0,0.125,1.0
33,55.0,0.25,1.0
34,55.0,0.125,7.0
35,57.0,0.375,7.0
36,60.0,0.125,6.0
37,60.0,0.125,6.0
38,60.0,0.125,6.0
39,57.0,0.125,1.0
40,57.0,0.125,1.0
41,57.0,0.125,1.0
42,57.0,0.125,1.0
43,57.0,0.125,1.0
44,57.0,0.125,1.0
45,55.0,0.125,1.0
46,55.0,0.125,1.0
47,55.0,0.125,7.0
48,55.0,0.25,7.0
49,57.0,0.25,7.0
50,60.0,0.25,6.0
51,60.0,0.25,6.0
52,57.0,0.25,1.0
53,57.0,0.125,1.0
54,57.0,0.125,1.0
55,57.0,0.125,1.0
56,57.0,0.125,1.0
57,55.0,0.25,1.0
58,55.0,0.125,7.0
59,57.0,0.375,7.0
60,60.0,0.125,6.0
61,60.0,0.125,6.0
62,60.0,0.125,6.0
63,57.0,0.125,1.0
64,57.0,0.125,1.0
65,57.0,0.25,1.0
66,57.0,0.125,1.0
67,57.0,0.125,1.0
68,57.0,0.125,1.0
69,60.0,0.125,1.0
70,57.0,0.25,7.0
71,57.0,0.25,7.0
72,55.0,0.875,6.0
73,60.0,0.125,3.0
74,60.0,0.25,3.0
75,59.0,0.25,3.0
76,59.0,0.125,7.0
77,59.0,0.125,7.0
78,59.0,0.125,7.0
79,60.0,0.25,7.0
80,57.0,2.75,7.0
81,60.0,0.125,3.0
82,60.0,0.25,3.0
83,59.0,0.25,3.0
84,59.0,0.125,7.0
85,59.0,0.125,7.0
86,59.0,0.125,7.0
87,60.0,0.25,7.0
88,57.0,2.75,7.0
89,60.0,0.125,3.0
90,60.0,0.25,3.0
91,59.0,0.25,3.0
92,59.0,0.125,7.0
93,59.0,0.125,7.0
94,59.0,0.125,7.0
95,60.0,0.25,7.0
96,57.0,2.75,7.0
97,60.0,0.125,3.0
98,60.0,0.25,3.0
99,59.0,0.25,3.0
100,59.0,0.125,7.0
101,59.0,0.125,7.0
102,59.0,0.125,7.0
103,60.0,0.25,7.0
104,57.0,4.0,7.0
105,57.0,0.125,6.0
106,60.0,0.125,6.0
107,60.0,0.125,6.0
108,60.0,0.125,6.0
109,57.0,0.125,1.0
110,57.0,0.125,1.0
111,57.0,0.125,1.0
112,57.0,1.125,1.0
113,60.0,0.125,6.0
114,60.0,0.125,6.0
115,60.0,0.125,6.0
116,57.0,0.125,1.0
117,57.0,0.125,1.0
118,57.0,0.125,1.0
119,57.0,1.125,1.0
120,60.0,0.125,6.0
121,60.0,0.125,6.0
122,60.0,0.25,6.0
123,57.0,0.25,1.0
124,57.0,1.125,1.0
125,60.0,0.125,6.0
126,60.0,0.125,6.0
127,60.0,0.125,6.0
128,57.0,0.125,1.0
129,57.0,0.25,1.0
130,57.0,1.125,1.0
131,60.0,0.125,6.0
132,60.0,0.125,6.0
133,60.0,0.125,6.0
134,59.0,0.125,1.0
135,60.0,0.125,1.0
136,60.0,0.125,1.0
137,57.0,0.25,1.0
138,57.0,0.125,1.0
139,57.0,0.125,1.0
140,62.0,0.125,1.0
141,57.0,0.125,7.0
142,57.0,0.125,7.0
143,57.0,0.125,7.0
144,57.0,0.375,7.0
145,57.0,0.125,6.0
146,60.0,0.25,6.0
147,57.0,0.125,1.0
148,57.0,0.25,1.0
149,57.0,0.125,1.0
150,57.0,0.125,1.0
151,55.0,0.125,1.0
152,55.0,0.25,1.0
153,55.0,0.125,7.0
154,57.0,0.375,7.0
155,60.0,0.25,6.0
156,60.0,0.25,6.0
157,60.0,0.25,1.0
158,60.0,0.25,1.0
159,60.0,0.125,1.0
160,60.0,0.125,1.0
161,60.0,0.125,1.0
162,60.0,0.125,7.0
163,60.0,0.125,7.0
164,60.0,0.125,7.0
165,57.0,0.25,7.0
166,60.0,0.125,6.0
167,60.0,0.125,6.0
168,60.0,0.125,6.0
169,57.0,0.125,1.0
170,57.0,0.125,1.0
171,57.0,0.125,1.0
172,57.0,0.25,1.0
173,60.0,0.125,1.0
174,60.0,0.125,1.0
175,60.0,0.125,1.0
176,57.0,0.125,7.0
177,57.0,0.25,7.0
178,57.0,1.0,7.0
179,60.0,0.125,3.0
180,60.0,0.25,3.0
181,59.0,0.25,3.0
182,59.0,0.125,7.0
183,59.0,0.125,7.0
184,59.0,0.125,7.0
185,60.0,0.25,7.0
186,57.0,2.75,7.0
187,60.0,0.125,3.0
188,60.0,0.25,3.0
189,59.0,0.25,3.0
190,59.0,0.125,7.0
191,59.0,0.125,7.0
192,59.0,0.125,7.0
193,60.0,0.25,7.0
194,57.0,2.75,7.0
195,60.0,0.125,3.0
196,60.0,0.25,3.0
197,59.0,0.25,3.0
198,59.0,0.125,7.0
199,59.0,0.125,7.0
200,59.0,0.125,7.0
201,60.0,0.25,7.0
202,57.0,2.75,7.0
203,60.0,0.125,3.0
204,60.0,0.25,3.0
205,59.0,0.25,3.0
206,59.0,0.125,7.0
207,59.0,0.125,7.0
208,59.0,0.125,7.0
209,60.0,0.25,7.0
210,57.0,4.0,7.0
211,60.0,0.125,6.0
212,60.0,0.125,6.0
213,60.0,0.125,6.0
214,60.0,0.125,6.0
215,57.0,0.125,1.0
216,57.0,0.125,1.0
217,57.0,0.125,1.0
218,57.0,1.125,1.0
219,60.0,0.125,6.0
220,60.0,0.125,6.0
221,60.0,0.25,6.0
222,57.0,0.25,1.0
223,57.0,1.125,1.0
224,60.0,0.125,6.0
225,60.0,0.125,6.0
226,60.0,0.125,6.0
227,60.0,0.25,6.0
228,57.0,0.25,1.0
229,57.0,0.25,1.0
230,57.0,0.125,1.0
231,57.0,0.125,1.0
232,55.0,0.25,1.0
233,55.0,0.25,7.0
234,57.0,2.0,7.0
235,60.0,0.125,6.0
236,60.0,0.125,6.0
237,60.0,0.125,6.0
238,60.0,0.125,6.0
239,57.0,0.125,1.0
240,57.0,0.125,1.0
241,57.0,0.25,1.0
242,57.0,0.125,1.0
243,57.0,0.25,1.0
244,55.0,0.125,1.0
245,55.0,0.25,7.0
246,57.0,0.375,7.0
247,60.0,0.25,6.0
248,60.0,0.125,6.0
249,57.0,0.125,1.0
250,57.0,0.25,1.0
251,57.0,0.125,1.0
252,57.0,0.125,1.0
253,57.0,0.125,1.0
254,57.0,0.125,1.0
255,55.0,0.125,1.0
256,55.0,0.25,7.0
257,57.0,0.375,7.0
258,60.0,0.125,6.0
259,60.0,0.125,6.0
260,60.0,0.25,6.0
261,60.0,0.125,1.0
262,60.0,0.125,1.0
263,60.0,0.125,1.0
264,57.0,0.125,1.0
265,60.0,0.25,1.0
266,60.0,0.125,1.0
267,60.0,0.125,7.0
268,60.0,0.125,7.0
269,60.0,0.375,7.0
270,60.0,0.25,6.0
271,60.0,0.25,6.0
272,60.0,0.125,1.0
273,60.0,0.375,1.0
274,60.0,0.125,1.0
275,60.0,0.125,1.0
276,60.0,0.25,1.0
277,57.0,0.125,7.0
278,57.0,0.25,7.0
279,55.0,0.875,6.0
280,60.0,0.125,3.0
281,60.0,0.25,3.0
282,59.0,0.25,3.0
283,59.0,0.125,7.0
284,59.0,0.125,7.0
285,59.0,0.125,7.0
286,60.0,0.25,7.0
287,57.0,2.75,7.0
288,60.0,0.125,3.0
289,60.0,0.25,3.0
290,59.0,0.25,3.0
291,59.0,0.125,7.0
292,59.0,0.125,7.0
293,59.0,0.125,7.0
294,60.0,0.25,7.0
295,57.0,2.75,7.0
296,60.0,0.125,3.0
297,60.0,0.25,3.0
298,59.0,0.25,3.0
299,59.0,0.125,7.0
300,59.0,0.125,7.0
301,59.0,0.125,7.0
302,60.0,0.25,7.0
303,57.0,2.75,7.0
304,60.0,0.125,3.0
305,60.0,0.25,3.0
306,59.0,0.25,3.0
307,59.0,0.125,7.0
308,59.0,0.125,7.0
309,59.0,0.125,7.0
310,60.0,0.25,7.0
311,57.0,0.625,7.0
312,55.0,0.125,6.0
