,note,length,diatonic root
0,52.0,0.125,1.0
1,55.0,0.25,1.0
2,60.0,0.25,4.0
3,50.0,0.5,4.0
4,57.0,0.25,3.0
5,55.0,0.125,6.0
6,53.0,0.125,6.0
7,52.0,0.375,6.0
8,53.0,0.125,1.0
9,52.0,0.375,1.0
10,53.0,0.125,4.0
11,50.0,0.375,4.0
12,50.0,0.125,3.0
13,52.0,0.25,3.0
14,50.0,0.125,6.0
15,48.0,0.125,6.0
16,47.0,0.375,6.0
17,52.0,0.125,1.0
18,55.0,0.25,1.0
19,60.0,0.25,4.0
20,50.0,0.375,4.0
21,48.0,0.125,3.0
22,57.0,0.25,3.0
23,55.0,0.125,6.0
24,53.0,0.125,6.0
25,52.0,0.375,6.0
26,53.0,0.125,1.0
27,52.0,0.375,1.0
28,53.0,0.125,4.0
29,50.0,0.375,4.0
30,50.0,0.125,3.0
31,52.0,0.25,3.0
32,50.0,0.125,6.0
33,48.0,0.125,6.0
34,47.0,0.375,6.0
35,48.0,0.125,1.0
36,47.0,0.375,1.0
37,50.0,0.125,4.0
38,50.0,0.375,4.0
39,48.0,0.125,3.0
40,47.0,0.25,3.0
41,48.0,0.125,6.0
42,47.0,0.125,6.0
43,47.0,0.125,6.0
44,45.0,0.25,6.0
45,48.0,0.125,1.0
46,47.0,0.375,1.0
47,50.0,0.125,4.0
48,50.0,0.375,4.0
49,48.0,0.125,3.0
50,47.0,0.25,3.0
51,48.0,0.125,6.0
52,47.0,0.125,6.0
53,47.0,0.125,6.0
54,45.0,0.25,6.0
55,48.0,0.125,1.0
56,47.0,0.375,1.0
57,50.0,0.125,4.0
58,50.0,0.375,4.0
59,48.0,0.125,3.0
60,47.0,0.25,3.0
61,48.0,0.125,6.0
62,47.0,0.125,6.0
63,47.0,0.125,6.0
64,45.0,0.25,6.0
65,48.0,0.125,1.0
66,47.0,0.375,1.0
67,50.0,0.125,4.0
68,50.0,0.375,4.0
69,48.0,0.125,3.0
70,47.0,0.25,3.0
71,60.0,0.125,6.0
72,59.0,0.125,6.0
73,59.0,0.25,6.0
74,57.0,0.5,1.0
75,65.0,0.125,4.0
76,65.0,0.125,4.0
77,65.0,0.25,4.0
78,60.0,0.5,3.0
79,53.0,0.125,6.0
80,53.0,0.125,6.0
81,53.0,0.25,6.0
82,52.0,0.5,1.0
83,65.0,0.125,4.0
84,65.0,0.125,4.0
85,65.0,0.25,4.0
86,60.0,0.5,3.0
87,60.0,0.125,6.0
88,59.0,0.125,6.0
89,59.0,0.25,6.0
90,57.0,0.5,1.0
91,65.0,0.125,4.0
92,65.0,0.125,4.0
93,65.0,0.25,4.0
94,60.0,0.5,3.0
95,53.0,0.125,6.0
96,53.0,0.125,6.0
97,53.0,0.25,6.0
98,52.0,0.5,1.0
99,65.0,0.125,4.0
100,65.0,0.125,4.0
101,65.0,0.25,4.0
102,60.0,0.5,3.0
103,60.0,0.125,6.0
104,59.0,0.125,6.0
105,59.0,0.25,6.0
106,57.0,0.5,1.0
107,65.0,0.125,4.0
108,65.0,0.125,4.0
109,65.0,0.25,4.0
110,60.0,0.5,3.0
111,53.0,0.125,6.0
112,53.0,0.125,6.0
113,53.0,0.25,6.0
114,52.0,0.5,1.0
115,65.0,0.125,4.0
116,65.0,0.125,4.0
117,65.0,0.25,4.0
118,60.0,0.625,3.0
119,60.0,4.0,6.0
120,52.0,0.125,1.0
121,55.0,0.25,1.0
122,60.0,0.25,4.0
123,50.0,0.5,4.0
124,57.0,0.25,3.0
125,55.0,0.125,6.0
126,53.0,0.125,6.0
127,52.0,0.375,6.0
128,53.0,0.125,1.0
129,52.0,0.375,1.0
130,53.0,0.125,4.0
131,50.0,0.375,4.0
132,50.0,0.125,3.0
