,note,length,diatonic root
0,55.0,0.125,1.0
1,57.0,0.125,1.0
2,55.0,0.125,1.0
3,60.0,0.125,1.0
4,60.0,0.125,1.0
5,60.0,0.125,1.0
6,60.0,0.125,1.0
7,57.0,0.25,1.0
8,55.0,0.125,1.0
9,52.0,0.125,1.0
10,55.0,0.125,1.0
11,55.0,0.125,1.0
12,55.0,0.125,1.0
13,55.0,0.125,1.0
14,52.0,0.125,1.0
15,50.0,0.125,1.0
16,48.0,1.875,1.0
17,55.0,0.125,1.0
18,57.0,0.125,1.0
19,55.0,0.125,1.0
20,60.0,0.125,1.0
21,60.0,0.125,1.0
22,60.0,0.25,1.0
23,57.0,0.125,1.0
24,57.0,0.125,1.0
25,55.0,0.125,1.0
26,52.0,0.125,1.0
27,53.0,0.125,1.0
28,53.0,0.125,1.0
29,55.0,0.125,1.0
30,55.0,0.125,1.0
31,50.0,0.25,1.0
32,48.0,1.75,1.0
33,53.0,0.375,1.0
34,53.0,0.125,1.0
35,53.0,0.125,1.0
36,53.0,0.125,4.0
37,53.0,0.125,4.0
38,50.0,0.125,4.0
39,53.0,0.125,4.0
40,48.0,0.375,4.0
41,59.0,0.125,4.0
42,59.0,0.125,4.0
43,60.0,0.125,4.0
44,60.0,0.125,4.0
45,59.0,0.375,4.0
46,48.0,0.125,4.0
47,50.0,0.25,4.0
48,43.0,0.125,1.0
49,38.0,0.125,1.0
50,38.0,0.25,1.0
51,36.0,0.125,1.0
52,36.0,0.125,1.0
53,36.0,0.125,1.0
54,36.0,0.125,1.0
55,36.0,0.25,1.0
56,36.0,0.5,1.0
57,53.0,0.125,1.0
58,53.0,0.25,4.0
59,50.0,0.125,4.0
60,53.0,0.125,4.0
61,48.0,0.25,4.0
62,50.0,0.125,4.0
63,60.0,0.125,4.0
64,60.0,0.125,4.0
65,60.0,0.125,4.0
66,60.0,0.125,4.0
67,55.0,0.25,4.0
68,55.0,0.125,4.0
69,57.0,0.125,4.0
70,60.0,0.25,4.0
71,60.0,0.25,1.0
72,57.0,0.125,1.0
73,57.0,0.125,1.0
74,55.0,0.125,1.0
75,48.0,0.125,1.0
76,50.0,0.25,1.0
77,60.0,0.25,1.0
78,50.0,0.25,1.0
79,50.0,0.25,1.0
80,48.0,4.0,1.0
81,55.0,0.125,1.0
82,57.0,0.125,1.0
83,55.0,0.125,1.0
84,60.0,0.125,1.0
85,60.0,0.125,1.0
86,60.0,0.125,1.0
87,60.0,0.125,1.0
88,57.0,0.125,1.0
89,57.0,0.125,1.0
90,55.0,0.125,1.0
91,52.0,0.125,1.0
92,55.0,0.125,1.0
93,55.0,0.125,1.0
94,55.0,0.125,1.0
95,55.0,0.125,1.0
96,50.0,0.125,1.0
97,50.0,0.125,1.0
98,48.0,1.875,1.0
99,55.0,0.125,1.0
100,57.0,0.125,1.0
101,55.0,0.125,1.0
102,60.0,0.125,1.0
103,60.0,0.125,1.0
104,60.0,0.125,1.0
105,60.0,0.125,1.0
106,57.0,0.125,1.0
107,57.0,0.125,1.0
108,55.0,0.125,1.0
109,52.0,0.125,1.0
110,55.0,0.125,1.0
111,55.0,0.125,1.0
112,55.0,0.25,1.0
113,50.0,0.25,1.0
114,48.0,1.875,1.0
115,53.0,0.125,1.0
116,53.0,0.125,1.0
117,53.0,0.125,1.0
118,53.0,0.125,1.0
119,53.0,0.125,4.0
120,53.0,0.125,4.0
121,50.0,0.125,4.0
122,53.0,0.25,4.0
123,53.0,0.125,4.0
124,53.0,0.125,4.0
125,59.0,0.125,4.0
126,60.0,0.125,4.0
127,59.0,0.25,4.0
128,60.0,0.25,4.0
129,40.0,0.125,4.0
130,38.0,0.125,4.0
131,40.0,0.25,4.0
132,38.0,0.125,1.0
133,38.0,0.125,1.0
134,36.0,0.25,1.0
135,36.0,0.125,1.0
136,36.0,0.125,1.0
137,36.0,0.125,1.0
138,36.0,0.125,1.0
139,36.0,0.125,1.0
140,36.0,0.125,1.0
141,36.0,0.5,1.0
142,50.0,0.125,1.0
143,53.0,0.25,4.0
144,50.0,0.125,4.0
145,53.0,0.125,4.0
146,48.0,0.25,4.0
147,53.0,0.125,4.0
148,60.0,0.125,4.0
149,60.0,0.125,4.0
150,60.0,0.125,4.0
151,60.0,0.125,4.0
152,55.0,0.25,4.0
153,55.0,0.125,4.0
154,57.0,0.125,4.0
155,60.0,0.25,4.0
156,60.0,0.25,1.0
157,57.0,0.125,1.0
158,57.0,0.125,1.0
159,55.0,0.125,1.0
160,48.0,0.125,1.0
161,50.0,0.25,1.0
162,60.0,0.25,1.0
163,50.0,0.25,1.0
164,50.0,0.25,1.0
165,48.0,4.0,1.0
166,55.0,0.125,1.0
167,57.0,0.125,1.0
168,55.0,0.125,1.0
169,60.0,0.25,1.0
170,60.0,0.25,1.0
171,57.0,0.125,1.0
172,57.0,0.125,1.0
173,55.0,0.125,1.0
174,52.0,0.125,1.0
175,55.0,0.125,1.0
176,55.0,0.125,1.0
177,55.0,0.125,1.0
178,57.0,0.125,1.0
179,52.0,0.125,1.0
180,50.0,0.125,1.0
181,48.0,1.875,1.0
182,55.0,0.125,1.0
183,57.0,0.125,1.0
184,55.0,0.125,1.0
185,60.0,0.25,1.0
186,60.0,0.25,1.0
187,57.0,0.125,1.0
188,57.0,0.125,1.0
189,55.0,0.125,1.0
