,note,length,diatonic root
0,60.0,0.125,1.0
1,60.0,0.125,1.0
2,60.0,0.125,1.0
3,60.0,0.375,1.0
4,52.0,0.125,1.0
5,55.0,0.125,1.0
6,55.0,0.125,1.0
7,55.0,0.125,1.0
8,55.0,0.125,1.0
9,57.0,0.75,1.0
10,55.0,0.125,1.0
11,55.0,0.125,1.0
12,55.0,0.125,1.0
13,55.0,0.125,1.0
14,57.0,0.25,1.0
15,57.0,0.125,1.0
16,55.0,0.125,1.0
17,50.0,0.125,1.0
18,50.0,0.125,1.0
19,50.0,0.125,1.0
20,48.0,0.625,1.0
21,55.0,0.125,1.0
22,55.0,0.125,1.0
23,55.0,0.125,1.0
24,55.0,0.125,1.0
25,57.0,0.25,1.0
26,57.0,0.125,1.0
27,55.0,0.125,1.0
28,52.0,0.125,1.0
29,50.0,0.125,1.0
30,50.0,0.125,1.0
31,50.0,0.125,1.0
32,48.0,0.625,1.0
33,55.0,0.125,1.0
34,55.0,0.125,1.0
35,55.0,0.125,1.0
36,55.0,0.125,1.0
37,57.0,0.25,1.0
38,57.0,0.125,1.0
39,52.0,0.125,1.0
40,55.0,0.125,1.0
41,53.0,0.125,1.0
42,50.0,0.125,1.0
43,50.0,0.125,1.0
44,48.0,0.125,1.0
45,55.0,0.125,7.0
46,57.0,0.125,7.0
47,57.0,0.125,4.0
48,60.0,0.75,4.0
49,53.0,0.125,6.0
50,55.0,0.125,6.0
51,57.0,0.25,6.0
52,55.0,0.125,3.0
53,50.0,0.125,3.0
54,48.0,0.5,3.0
55,57.0,0.125,3.0
56,57.0,0.125,7.0
57,57.0,0.125,7.0
58,57.0,0.125,7.0
59,55.0,0.125,7.0
60,57.0,0.375,7.0
61,55.0,0.125,7.0
62,57.0,0.5,7.0
63,53.0,0.125,4.0
64,53.0,0.125,4.0
65,53.0,0.125,4.0
66,50.0,0.375,4.0
67,57.0,0.125,4.0
68,60.0,0.375,4.0
69,62.0,0.375,4.0
70,62.0,0.25,4.0
71,62.0,0.25,4.0
72,62.0,0.25,4.0
73,60.0,0.25,4.0
74,60.0,0.125,4.0
75,55.0,1.5,1.0
76,55.0,0.125,1.0
77,55.0,0.125,1.0
78,55.0,0.125,1.0
79,57.0,1.125,1.0
80,55.0,0.125,1.0
81,55.0,0.125,1.0
82,55.0,0.125,1.0
83,53.0,0.125,1.0
84,52.0,0.125,1.0
85,55.0,0.125,1.0
86,57.0,0.25,1.0
87,55.0,0.125,1.0
88,52.0,0.125,1.0
89,53.0,0.875,1.0
90,55.0,0.125,1.0
91,55.0,0.125,1.0
92,55.0,0.25,1.0
93,55.0,0.125,1.0
94,55.0,0.125,1.0
95,57.0,2.25,1.0
96,60.0,0.125,1.0
97,60.0,0.125,1.0
98,60.0,0.125,1.0
99,60.0,0.375,1.0
100,52.0,0.125,1.0
101,55.0,0.125,1.0
102,55.0,0.125,1.0
103,55.0,0.125,1.0
104,55.0,0.125,1.0
105,57.0,0.75,1.0
106,55.0,0.125,1.0
107,55.0,0.125,1.0
108,55.0,0.125,1.0
109,57.0,0.375,1.0
110,57.0,0.125,1.0
111,55.0,0.125,1.0
112,50.0,0.125,1.0
113,50.0,0.125,1.0
114,50.0,0.125,1.0
115,48.0,0.625,1.0
116,55.0,0.125,1.0
117,55.0,0.125,1.0
118,55.0,0.125,1.0
119,55.0,0.125,1.0
120,57.0,0.25,1.0
121,57.0,0.125,1.0
122,55.0,0.125,1.0
123,52.0,0.125,1.0
124,50.0,0.125,1.0
125,50.0,0.125,1.0
126,50.0,0.125,1.0
127,48.0,0.625,1.0
128,55.0,0.125,1.0
129,55.0,0.125,1.0
130,55.0,0.125,1.0
131,57.0,0.25,1.0
132,57.0,0.125,1.0
133,57.0,0.125,1.0
134,55.0,0.125,1.0
135,53.0,0.125,1.0
136,50.0,0.125,1.0
137,50.0,0.125,1.0
138,48.0,0.125,1.0
139,55.0,0.125,7.0
140,57.0,0.125,7.0
141,57.0,0.125,4.0
142,60.0,0.75,4.0
143,53.0,0.125,6.0
144,55.0,0.125,6.0
145,57.0,0.25,6.0
146,55.0,0.125,3.0
147,50.0,0.125,3.0
148,48.0,0.5,3.0
149,57.0,0.125,3.0
150,57.0,0.125,3.0
151,57.0,0.125,7.0
152,57.0,0.125,7.0
153,55.0,0.125,7.0
154,57.0,0.375,7.0
155,55.0,0.125,7.0
156,62.0,0.25,7.0
157,65.0,0.125,4.0
158,65.0,0.125,4.0
159,62.0,0.125,4.0
160,60.0,0.375,4.0
161,62.0,0.875,4.0
162,72.0,1.125,4.0
163,69.0,4.0,4.0
164,62.0,0.25,6.0
165,60.0,0.75,6.0
166,60.0,0.25,4.0
167,60.0,0.75,4.0
168,62.0,0.125,6.0
169,62.0,0.125,6.0
170,60.0,0.75,6.0
171,60.0,0.25,4.0
172,60.0,0.75,4.0
173,60.0,0.125,3.0
174,60.0,0.125,3.0
175,59.0,0.25,3.0
176,57.0,0.125,3.0
177,59.0,0.625,3.0
178,62.0,0.125,5.0
179,62.0,0.125,5.0
180,65.0,0.75,5.0
181,62.0,0.375,5.0
182,67.0,0.125,5.0
183,62.0,0.25,5.0
184,60.0,0.25,5.0
185,67.0,0.25,5.0
186,72.0,1.625,5.0
187,60.0,0.125,1.0
188,59.0,0.125,1.0
189,59.0,0.125,1.0
190,57.0,0.125,1.0
191,57.0,0.125,1.0
192,53.0,4.0,1.0
193,60.0,0.125,1.0
194,60.0,0.125,1.0
195,60.0,0.125,1.0
196,60.0,0.375,1.0
197,52.0,0.125,1.0
198,55.0,0.125,1.0
199,55.0,0.125,1.0
200,55.0,0.125,1.0
201,55.0,0.125,1.0
202,57.0,0.75,1.0
203,55.0,0.125,1.0
204,55.0,0.125,1.0
205,55.0,0.125,1.0
206,57.0,0.375,1.0
207,57.0,0.125,1.0
208,55.0,0.125,1.0
209,50.0,0.125,1.0
210,50.0,0.125,1.0
211,50.0,0.125,1.0
212,48.0,0.625,1.0
213,55.0,0.125,1.0
214,55.0,0.125,1.0
215,55.0,0.125,1.0
216,55.0,0.125,1.0
217,57.0,0.25,1.0
218,57.0,0.125,1.0
219,55.0,0.125,1.0
220,52.0,0.125,1.0
221,50.0,0.125,1.0
222,50.0,0.125,1.0
223,50.0,0.125,1.0
224,48.0,0.625,1.0
225,55.0,0.125,1.0
226,55.0,0.125,1.0
227,55.0,0.125,1.0
228,55.0,0.125,1.0
229,57.0,0.25,1.0
230,57.0,0.125,1.0
231,55.0,0.125,1.0
232,53.0,0.125,1.0
233,50.0,0.125,1.0
234,50.0,0.125,1.0
235,48.0,0.125,1.0
236,55.0,0.125,7.0
237,57.0,0.125,7.0
238,57.0,0.125,4.0
239,60.0,0.75,4.0
240,53.0,0.125,6.0
241,55.0,0.125,6.0
242,57.0,0.25,6.0
243,55.0,0.125,3.0
244,55.0,0.625,3.0
245,57.0,0.125,3.0
246,57.0,0.125,7.0
247,57.0,0.125,7.0
248,57.0,0.125,7.0
249,55.0,0.125,7.0
250,57.0,0.375,7.0
251,55.0,0.125,7.0
252,62.0,0.125,7.0
253,55.0,0.125,7.0
254,60.0,0.25,4.0
255,62.0,0.5,4.0
256,65.0,0.5,4.0
257,62.0,0.375,4.0
258,72.0,1.5,4.0
259,72.0,1.5,1.0
260,55.0,0.125,1.0
261,57.0,0.125,1.0
262,55.0,0.125,1.0
263,57.0,1.625,1.0
264,60.0,0.125,1.0
265,59.0,0.125,1.0
266,59.0,0.125,1.0
267,57.0,0.125,1.0
268,57.0,0.125,1.0
269,55.0,1.5,1.0
