,note,length,diatonic root
0,50.0,0.125,1.0
1,50.0,0.125,1.0
2,52.0,0.125,1.0
3,52.0,0.125,1.0
4,50.0,0.125,1.0
5,48.0,0.125,1.0
6,50.0,0.125,1.0
7,47.0,0.125,7.0
8,47.0,0.125,7.0
9,40.0,0.25,7.0
10,47.0,0.125,7.0
11,52.0,0.25,1.0
12,52.0,0.125,1.0
13,52.0,0.125,1.0
14,48.0,0.125,1.0
15,50.0,0.5,1.0
16,48.0,0.125,7.0
17,52.0,0.125,1.0
18,52.0,0.125,1.0
19,50.0,0.125,1.0
20,48.0,0.125,1.0
21,50.0,0.125,1.0
22,47.0,0.125,7.0
23,48.0,0.125,7.0
24,43.0,0.125,7.0
25,43.0,0.125,7.0
26,45.0,0.25,7.0
27,48.0,0.125,4.0
28,45.0,0.125,4.0
29,48.0,0.5,4.0
30,50.0,0.125,4.0
31,52.0,0.125,1.0
32,48.0,0.125,1.0
33,52.0,0.125,1.0
34,50.0,0.125,1.0
35,50.0,0.125,1.0
36,47.0,0.125,7.0
37,47.0,0.125,7.0
38,40.0,0.25,7.0
39,48.0,0.125,7.0
40,52.0,0.125,1.0
41,52.0,0.125,1.0
42,52.0,0.125,1.0
43,48.0,0.125,1.0
44,50.0,0.5,1.0
45,40.0,0.125,7.0
46,47.0,0.125,7.0
47,52.0,0.125,1.0
48,52.0,0.125,1.0
49,52.0,0.125,1.0
50,50.0,0.125,1.0
51,48.0,0.125,1.0
52,50.0,0.125,1.0
53,47.0,0.125,7.0
54,48.0,0.125,7.0
55,43.0,0.125,7.0
56,43.0,0.125,7.0
57,43.0,0.125,7.0
58,45.0,0.125,4.0
59,45.0,0.125,4.0
60,45.0,0.125,4.0
61,50.0,0.125,4.0
62,48.0,0.125,4.0
63,41.0,0.5,4.0
64,48.0,0.125,4.0
65,50.0,0.125,4.0
66,50.0,0.125,5.0
67,50.0,0.125,5.0
68,50.0,0.125,5.0
69,50.0,0.125,5.0
70,50.0,0.125,5.0
71,52.0,0.125,5.0
72,52.0,0.125,6.0
73,52.0,0.125,6.0
74,57.0,0.25,6.0
75,55.0,0.125,6.0
76,52.0,0.125,1.0
77,52.0,0.125,1.0
78,52.0,0.125,1.0
79,52.0,0.125,1.0
80,53.0,0.625,1.0
81,50.0,0.125,5.0
82,50.0,0.125,5.0
83,50.0,0.125,5.0
84,50.0,0.125,5.0
85,50.0,0.125,5.0
86,52.0,0.125,5.0
87,57.0,0.25,6.0
88,55.0,0.125,6.0
89,57.0,0.125,6.0
90,55.0,0.125,1.0
91,55.0,0.125,1.0
92,52.0,0.125,1.0
93,55.0,0.25,1.0
94,50.0,0.125,4.0
95,48.0,0.125,4.0
96,50.0,1.0,4.0
97,53.0,0.25,5.0
98,50.0,0.25,7.0
99,50.0,0.125,7.0
100,48.0,0.25,4.0
101,48.0,4.0,4.0
102,50.0,0.125,1.0
103,52.0,0.25,1.0
104,52.0,0.125,1.0
105,52.0,0.125,1.0
106,48.0,0.125,1.0
107,50.0,0.125,1.0
108,47.0,0.25,7.0
109,47.0,0.375,7.0
110,50.0,0.125,1.0
111,52.0,0.125,1.0
112,52.0,0.125,1.0
113,52.0,0.125,1.0
114,52.0,0.625,1.0
115,48.0,0.125,1.0
116,52.0,0.125,1.0
117,52.0,0.125,1.0
118,52.0,0.125,1.0
119,50.0,0.125,1.0
120,48.0,0.125,1.0
121,50.0,0.125,1.0
122,47.0,0.125,7.0
123,48.0,0.125,7.0
124,43.0,0.125,7.0
125,43.0,0.125,7.0
126,43.0,0.125,7.0
127,45.0,0.125,4.0
128,45.0,0.125,4.0
129,45.0,0.125,4.0
130,48.0,0.125,4.0
131,48.0,0.125,4.0
132,48.0,0.5,4.0
133,55.0,0.125,4.0
134,55.0,0.125,4.0
135,55.0,0.125,1.0
136,55.0,0.125,1.0
137,53.0,0.125,1.0
138,53.0,0.125,1.0
139,50.0,0.125,7.0
140,50.0,0.125,7.0
141,52.0,0.25,7.0
142,45.0,0.125,7.0
143,52.0,0.125,7.0
144,55.0,0.125,1.0
145,55.0,0.125,1.0
146,53.0,0.125,1.0
147,53.0,0.625,1.0
148,55.0,0.125,1.0
149,55.0,0.125,1.0
150,53.0,0.125,1.0
151,52.0,0.125,1.0
152,53.0,0.125,1.0
153,50.0,0.125,7.0
154,52.0,0.125,7.0
155,45.0,0.125,7.0
156,45.0,0.125,7.0
157,45.0,0.125,7.0
158,48.0,0.125,4.0
159,48.0,0.125,4.0
160,48.0,0.125,4.0
161,48.0,0.5,4.0
162,48.0,0.125,4.0
163,50.0,0.125,4.0
164,50.0,0.125,5.0
165,50.0,0.125,5.0
166,50.0,0.25,5.0
167,50.0,0.125,5.0
168,52.0,0.125,5.0
169,52.0,0.125,6.0
170,57.0,0.125,6.0
171,57.0,0.125,6.0
172,60.0,0.125,6.0
173,55.0,0.125,1.0
174,55.0,0.125,1.0
175,53.0,0.125,1.0
176,52.0,0.125,1.0
177,55.0,0.625,1.0
178,45.0,0.125,5.0
179,50.0,0.125,5.0
180,50.0,0.125,5.0
181,50.0,0.125,5.0
182,50.0,0.125,5.0
183,48.0,0.125,5.0
184,50.0,0.125,5.0
185,52.0,0.125,6.0
186,57.0,0.125,6.0
187,57.0,0.125,6.0
188,57.0,0.125,6.0
189,55.0,0.125,1.0
190,57.0,0.125,1.0
191,48.0,0.125,1.0
192,50.0,0.125,1.0
193,48.0,0.125,4.0
194,48.0,0.125,4.0
195,48.0,0.125,4.0
196,48.0,0.125,4.0
197,50.0,1.125,4.0
198,53.0,0.25,5.0
199,47.0,0.25,7.0
200,47.0,0.125,7.0
201,45.0,0.25,4.0
202,50.0,4.0,4.0
203,50.0,0.125,1.0
204,50.0,0.125,1.0
205,50.0,0.125,1.0
206,50.0,0.125,1.0
207,48.0,0.125,1.0
208,48.0,0.125,1.0
209,50.0,0.125,1.0
210,47.0,0.125,7.0
211,48.0,0.25,7.0
212,48.0,0.125,7.0
213,52.0,0.125,1.0
214,52.0,0.125,1.0
215,52.0,0.125,1.0
216,52.0,0.125,1.0
217,50.0,0.125,1.0
218,48.0,0.125,1.0
219,50.0,0.375,1.0
220,47.0,0.125,7.0
221,48.0,0.125,7.0
222,48.0,0.125,7.0
223,52.0,0.125,1.0
224,53.0,0.125,1.0
225,55.0,0.125,1.0
226,48.0,0.125,1.0
227,50.0,0.125,1.0
228,47.0,0.125,7.0
229,48.0,0.125,7.0
230,43.0,0.125,7.0
231,43.0,0.125,7.0
232,45.0,0.125,7.0
233,48.0,0.125,4.0
234,48.0,0.125,4.0
235,43.0,0.125,4.0
236,41.0,0.375,4.0
237,55.0,0.125,4.0
238,55.0,0.125,4.0
239,55.0,0.25,4.0
240,55.0,0.125,1.0
241,55.0,0.25,1.0
242,53.0,0.125,1.0
243,53.0,0.125,1.0
244,50.0,0.125,7.0
245,52.0,0.125,7.0
246,45.0,0.125,7.0
247,45.0,0.125,7.0
248,48.0,0.125,7.0
249,50.0,0.125,1.0
250,50.0,0.125,1.0
251,50.0,0.125,1.0
252,50.0,0.125,1.0
253,48.0,0.125,1.0
254,50.0,0.5,1.0
255,48.0,0.125,7.0
256,52.0,0.125,1.0
257,52.0,0.125,1.0
258,52.0,0.125,1.0
259,52.0,0.125,1.0
260,50.0,0.125,1.0
261,48.0,0.125,1.0
262,50.0,0.125,1.0
263,47.0,0.125,7.0
264,48.0,0.125,7.0
265,43.0,0.125,7.0
266,43.0,0.125,7.0
267,48.0,0.125,4.0
268,48.0,0.125,4.0
269,48.0,0.125,4.0
270,48.0,0.125,4.0
271,53.0,0.5,4.0
272,50.0,0.125,4.0
273,50.0,0.125,5.0
274,50.0,0.125,5.0
275,50.0,0.25,5.0
276,48.0,0.125,5.0
277,50.0,0.125,5.0
278,52.0,0.125,6.0
279,55.0,0.25,6.0
280,52.0,0.125,6.0
281,55.0,0.125,6.0
282,52.0,0.125,1.0
283,55.0,0.125,1.0
284,52.0,0.125,1.0
285,53.0,0.5,1.0
286,48.0,0.125,4.0
287,50.0,0.125,5.0
288,50.0,0.125,5.0
289,50.0,0.125,5.0
290,48.0,0.125,5.0
291,52.0,0.125,5.0
292,52.0,0.375,5.0
293,53.0,0.125,6.0
294,55.0,0.125,6.0
295,57.0,0.125,6.0
296,57.0,0.125,1.0
297,55.0,0.125,1.0
298,57.0,0.125,1.0
299,53.0,0.125,1.0
300,57.0,0.25,1.0
301,48.0,0.125,4.0
302,48.0,0.125,4.0
303,48.0,0.125,4.0
304,50.0,1.0,4.0
305,53.0,0.25,5.0
306,48.0,0.25,7.0
307,50.0,0.125,7.0
308,48.0,0.375,4.0
309,50.0,4.0,4.0
310,52.0,0.125,1.0
311,52.0,0.25,1.0
312,52.0,0.125,1.0
313,52.0,0.125,1.0
314,50.0,0.125,1.0
315,48.0,0.125,1.0
316,50.0,0.125,1.0
317,45.0,0.125,7.0
318,47.0,0.125,7.0
319,45.0,0.125,7.0
320,48.0,0.125,7.0
321,52.0,0.25,1.0
322,52.0,0.125,1.0
323,52.0,0.125,1.0
324,48.0,0.125,1.0
325,50.0,0.5,1.0
326,45.0,0.125,7.0
327,48.0,0.125,7.0
328,52.0,0.125,1.0
329,52.0,0.125,1.0
330,52.0,0.125,1.0
331,50.0,0.125,1.0
332,48.0,0.125,1.0
333,50.0,0.125,1.0
334,48.0,0.125,7.0
335,45.0,0.125,7.0
336,48.0,0.125,7.0
337,43.0,0.125,7.0
338,43.0,0.125,7.0
339,45.0,0.25,7.0
340,45.0,0.125,4.0
341,48.0,0.125,4.0
342,45.0,0.5,4.0
