,note,length,diatonic root
0,45.0,0.125,1.0
1,48.0,0.125,1.0
2,48.0,0.125,1.0
3,48.0,0.125,1.0
4,52.0,0.125,1.0
5,52.0,0.125,3.0
6,52.0,0.25,3.0
7,52.0,0.125,3.0
8,50.0,0.125,3.0
9,48.0,0.125,4.0
10,48.0,0.125,4.0
11,48.0,0.125,4.0
12,48.0,0.125,4.0
13,48.0,0.5,4.0
14,45.0,0.125,1.0
15,48.0,0.125,1.0
16,48.0,0.125,1.0
17,48.0,0.125,1.0
18,52.0,0.375,1.0
19,52.0,0.25,3.0
20,50.0,0.125,3.0
21,48.0,0.125,4.0
22,48.0,0.125,4.0
23,48.0,0.125,4.0
24,57.0,0.125,4.0
25,52.0,0.125,1.0
26,55.0,0.5,1.0
27,57.0,0.125,1.0
28,57.0,0.125,1.0
29,57.0,0.125,1.0
30,57.0,0.125,1.0
31,55.0,0.125,1.0
32,57.0,0.125,1.0
33,52.0,0.125,3.0
34,52.0,0.125,3.0
35,50.0,0.125,3.0
36,50.0,0.125,3.0
37,48.0,0.125,4.0
38,48.0,0.125,4.0
39,45.0,0.125,4.0
40,48.0,0.625,4.0
41,45.0,0.125,1.0
42,48.0,0.125,1.0
43,48.0,0.25,1.0
44,48.0,0.125,1.0
45,52.0,0.125,1.0
46,52.0,0.125,3.0
47,52.0,0.25,3.0
48,50.0,0.125,3.0
49,48.0,0.125,4.0
50,48.0,0.125,4.0
51,48.0,0.125,4.0
52,48.0,0.125,4.0
53,48.0,0.75,4.0
54,55.0,0.125,1.0
55,55.0,0.125,1.0
56,55.0,0.125,1.0
57,52.0,0.125,5.0
58,48.0,0.125,5.0
59,48.0,0.5,4.0
60,55.0,0.125,1.0
61,55.0,0.125,1.0
62,55.0,0.125,1.0
63,48.0,0.125,5.0
64,52.0,0.625,5.0
65,55.0,0.125,1.0
66,55.0,0.125,1.0
67,55.0,0.125,1.0
68,52.0,0.125,5.0
69,48.0,0.125,5.0
70,48.0,0.625,4.0
71,48.0,0.75,4.0
72,45.0,0.125,4.0
73,48.0,0.125,4.0
74,45.0,0.125,4.0
75,48.0,0.125,4.0
76,48.0,0.125,4.0
77,48.0,0.25,4.0
78,52.0,2.5,4.0
79,45.0,0.125,1.0
80,48.0,0.125,1.0
81,48.0,0.125,1.0
82,48.0,0.125,1.0
83,52.0,0.375,1.0
84,50.0,0.125,3.0
85,52.0,0.125,3.0
86,50.0,0.125,3.0
87,48.0,0.125,4.0
88,48.0,0.125,4.0
89,45.0,0.125,4.0
90,48.0,0.125,4.0
91,45.0,0.125,4.0
92,48.0,0.625,4.0
93,48.0,0.125,1.0
94,45.0,0.125,1.0
95,48.0,0.25,1.0
96,52.0,0.125,1.0
97,52.0,0.125,3.0
98,52.0,0.125,3.0
99,52.0,0.125,3.0
100,52.0,0.125,3.0
101,52.0,0.125,3.0
102,50.0,0.125,3.0
103,48.0,0.125,4.0
104,48.0,0.125,4.0
105,48.0,0.125,4.0
106,55.0,0.125,4.0
107,50.0,0.125,1.0
108,52.0,0.625,1.0
109,48.0,0.125,1.0
110,57.0,0.125,1.0
111,57.0,0.125,1.0
112,57.0,0.125,1.0
113,52.0,0.25,3.0
114,52.0,0.125,3.0
115,50.0,0.125,3.0
116,48.0,0.125,3.0
