,note,length,diatonic root
0,57.0,0.125,4.0
1,55.0,0.125,4.0
2,60.0,0.125,4.0
3,57.0,0.25,4.0
4,55.0,0.375,1.0
5,52.0,0.125,1.0
6,50.0,0.125,1.0
7,55.0,0.125,1.0
8,52.0,0.25,1.0
9,50.0,0.375,5.0
10,45.0,0.125,5.0
11,43.0,0.125,5.0
12,52.0,0.125,5.0
13,50.0,0.25,5.0
14,48.0,0.25,4.0
15,45.0,1.125,4.0
16,57.0,0.125,4.0
17,55.0,0.125,4.0
18,60.0,0.125,4.0
19,57.0,0.25,4.0
20,55.0,0.375,1.0
21,52.0,0.125,1.0
22,50.0,0.125,1.0
23,55.0,0.125,1.0
24,52.0,0.25,1.0
25,50.0,0.375,5.0
26,45.0,0.125,5.0
27,43.0,0.125,5.0
28,52.0,0.125,5.0
29,50.0,0.25,5.0
30,48.0,0.25,4.0
31,45.0,1.125,4.0
32,53.0,0.125,4.0
33,55.0,0.25,4.0
34,57.0,1.625,4.0
35,64.0,0.125,6.0
36,62.0,0.25,6.0
37,57.0,1.5,6.0
38,55.0,0.125,5.0
39,57.0,0.125,5.0
40,55.0,0.125,5.0
41,60.0,0.125,5.0
42,57.0,0.25,5.0
43,55.0,0.375,1.0
44,52.0,0.125,1.0
45,50.0,0.125,1.0
46,55.0,0.125,1.0
47,52.0,0.25,1.0
48,50.0,0.375,5.0
49,45.0,0.125,5.0
50,43.0,0.125,5.0
51,52.0,0.125,5.0
52,50.0,0.125,5.0
53,48.0,0.125,5.0
54,45.0,2.25,4.0
55,62.0,0.125,2.0
56,62.0,0.125,2.0
57,62.0,0.125,2.0
58,60.0,0.375,2.0
59,60.0,0.125,2.0
60,59.0,0.125,2.0
61,59.0,0.125,2.0
62,59.0,0.375,2.0
63,57.0,0.125,2.0
64,59.0,0.25,2.0
65,57.0,0.125,5.0
66,55.0,1.875,5.0
67,45.0,0.125,2.0
68,62.0,0.125,2.0
69,62.0,0.125,2.0
70,62.0,0.125,2.0
71,60.0,0.125,2.0
72,60.0,0.125,2.0
73,59.0,0.25,2.0
74,60.0,0.25,2.0
75,59.0,0.125,2.0
76,57.0,0.5,2.0
77,55.0,0.125,2.0
78,55.0,0.125,5.0
79,55.0,0.125,5.0
80,57.0,0.25,5.0
81,59.0,0.25,5.0
82,57.0,0.125,5.0
