,note,length,diatonic root
0,45.0,0.125,7.0
1,45.0,0.125,1.0
2,45.0,0.125,1.0
3,45.0,0.375,1.0
4,47.0,0.125,1.0
5,45.0,0.125,1.0
6,43.0,0.875,1.0
7,43.0,0.125,7.0
8,43.0,0.125,7.0
9,43.0,0.125,7.0
10,43.0,0.125,7.0
11,43.0,0.125,7.0
12,43.0,0.375,7.0
13,43.0,0.125,7.0
14,43.0,0.125,7.0
15,45.0,0.875,7.0
16,43.0,0.125,1.0
17,45.0,0.125,1.0
18,45.0,0.125,1.0
19,45.0,0.125,1.0
20,45.0,0.375,1.0
21,47.0,0.125,1.0
22,45.0,0.125,1.0
23,43.0,0.125,1.0
24,43.0,0.875,7.0
25,43.0,0.125,7.0
26,43.0,0.125,7.0
27,40.0,0.125,7.0
28,43.0,0.25,7.0
29,40.0,0.375,7.0
30,43.0,0.25,7.0
31,43.0,0.125,5.0
32,47.0,0.25,5.0
33,48.0,0.25,5.0
34,48.0,0.125,5.0
35,48.0,0.125,5.0
36,45.0,0.125,1.0
37,45.0,0.125,1.0
38,45.0,0.375,1.0
39,47.0,0.125,1.0
40,45.0,0.25,1.0
41,43.0,0.75,7.0
42,40.0,0.125,7.0
43,43.0,0.125,7.0
44,43.0,0.125,7.0
45,40.0,0.125,7.0
46,43.0,0.25,7.0
47,43.0,0.125,7.0
48,40.0,0.125,7.0
49,43.0,0.125,7.0
50,40.0,1.0,7.0
51,45.0,0.25,1.0
52,45.0,0.125,1.0
53,45.0,0.375,1.0
54,47.0,0.25,1.0
55,45.0,0.125,1.0
56,43.0,0.125,7.0
57,43.0,0.125,7.0
58,45.0,0.25,7.0
59,47.0,0.5,7.0
60,43.0,0.125,7.0
61,43.0,0.125,7.0
62,43.0,0.125,7.0
63,43.0,0.375,7.0
64,43.0,0.125,7.0
65,43.0,0.125,7.0
66,47.0,0.125,5.0
67,47.0,0.25,5.0
68,48.0,0.125,5.0
69,50.0,0.375,5.0
70,48.0,0.125,5.0
71,45.0,0.125,1.0
72,45.0,0.125,1.0
73,45.0,0.25,1.0
74,45.0,0.125,1.0
75,47.0,0.125,1.0
76,45.0,0.25,1.0
77,43.0,0.75,7.0
78,43.0,0.125,7.0
79,43.0,0.125,7.0
80,43.0,0.125,7.0
81,43.0,0.125,7.0
82,43.0,0.25,7.0
83,43.0,0.125,7.0
84,43.0,0.125,7.0
85,45.0,0.125,7.0
86,45.0,1.0,7.0
87,45.0,0.125,1.0
88,45.0,0.125,1.0
89,45.0,0.125,1.0
90,45.0,0.25,1.0
91,45.0,0.125,1.0
92,47.0,0.125,1.0
93,45.0,0.25,1.0
94,43.0,0.875,7.0
95,43.0,0.125,7.0
96,43.0,0.125,7.0
97,43.0,0.125,7.0
98,43.0,0.25,7.0
99,43.0,0.25,7.0
100,43.0,0.125,7.0
101,43.0,0.25,7.0
102,43.0,0.25,5.0
103,47.0,0.25,5.0
104,48.0,0.25,5.0
105,48.0,0.125,5.0
106,45.0,0.125,1.0
107,45.0,0.125,1.0
